trade_date,session,version,scenario,condition,direction,ref_price,fired,first_touch_ct,window_start_ct,window_end_ct,window_min
2026-08-20,ASIA,1,S1,acceptance,short,29323.0,FIRED,08-20 17:51,08-20 17:04,08-21 01:30,506
2026-08-20,ASIA,1,S2,reject,short,29338.5,FIRED,08-20 19:06,08-20 17:04,08-21 01:30,506
2026-08-20,ASIA,1,S3,reclaim,long,29345.25,FIRED,08-20 19:11,08-20 17:04,08-21 01:30,506
2026-08-20,LONDON,1,S1,breakout_retest,long,29688.5,NOT_FIRED,,08-20 01:59,08-20 08:30,390
2026-08-20,LONDON,1,S2,reject,short,29688.5,NOT_FIRED,,08-20 01:59,08-20 08:30,390
2026-08-20,LONDON,1,S3,acceptance,short,29617.0,FIRED,08-20 02:23,08-20 01:59,08-20 08:30,390
2026-08-20,NY,1,S1,acceptance,short,29275.0,FIRED,08-20 10:45,08-20 08:28,08-20 15:00,392
2026-08-20,NY,1,S2,reject,short,29375.75,FIRED,08-20 08:30,08-20 08:28,08-20 15:00,392
2026-08-20,NY,1,S3,reclaim,long,29375.75,FIRED,08-20 08:30,08-20 08:28,08-20 15:00,392
2026-08-21,LONDON,1,S1,sweep_reclaim,long,29346.0,NOT_FIRED,,08-21 02:03,08-21 08:30,387
2026-08-21,LONDON,1,S2,reject,short,29402.25,FIRED,08-21 02:04,08-21 02:03,08-21 08:30,387
2026-08-21,LONDON,1,S3,acceptance,short,29358.25,NOT_FIRED,,08-21 02:03,08-21 08:30,387
2026-08-21,NY,1,S1,reject,short,29470.25,FIRED,08-21 08:30,08-21 08:29,08-21 15:00,391
2026-08-21,NY,1,S2,acceptance,short,29358.25,FIRED,08-21 08:33,08-21 08:29,08-21 15:00,391
2026-08-21,NY,1,S3,breakout_retest,short,29273.5,FIRED,08-21 08:54,08-21 08:29,08-21 15:00,391
2026-08-24,ASIA,1,S1,reject,short,29186.88,FIRED,08-24 22:33,08-24 17:04,08-25 01:30,505
2026-08-24,ASIA,1,S2,acceptance,short,29116.0,FIRED,08-24 17:31,08-24 17:04,08-25 01:30,505
2026-08-24,ASIA,1,S3,breakout_retest,short,29125.0,FIRED,08-24 17:07,08-24 17:04,08-25 01:30,505
2026-08-24,NY,1,S1,reject,short,29263.25,NOT_FIRED,,08-24 08:31,08-24 15:00,388
2026-08-24,NY,1,S2,breakout_retest,short,29192.0,FIRED,08-24 10:46,08-24 08:31,08-24 15:00,388
2026-08-24,NY,1,S3,sweep_reclaim,long,29116.75,FIRED,08-24 08:32,08-24 08:31,08-24 15:00,388
2026-08-25,ASIA,1,S1,breakout_retest,long,29310.0,NOT_FIRED,,08-25 17:05,08-26 01:30,505
2026-08-25,ASIA,1,S2,hold,long,29283.5,FIRED,08-25 17:21,08-25 17:05,08-26 01:30,505
2026-08-25,ASIA,1,S3,hold,long,29243.75,FIRED,08-25 18:30,08-25 17:05,08-26 01:30,505
2026-08-25,ASIA,1,S4,sweep_reclaim,long,29199.75,FIRED,08-25 19:00,08-25 17:05,08-26 01:30,505
2026-08-25,LONDON,1,S1,hold,long,29243.75,FIRED,08-25 02:16,08-25 02:04,08-25 08:30,386
2026-08-25,LONDON,1,S2,reject,short,29288.0,FIRED,08-25 02:05,08-25 02:04,08-25 08:30,386
