trade_date,session,version,scenario,condition,direction,ref_price,fired,first_touch_ct,window_start_ct,window_end_ct,window_min
2026-08-20,ASIA,1,S1,acceptance,short,29323.0,FIRED,08-20 17:51,08-20 17:04,08-20 19:19,136
2026-08-20,ASIA,1,S2,reject,short,29338.5,FIRED,08-20 19:06,08-20 17:04,08-20 19:19,136
2026-08-20,ASIA,1,S3,reclaim,long,29345.25,FIRED,08-20 19:11,08-20 17:04,08-20 19:19,136
2026-08-20,ASIA,2,S1,reject,short,29365.0,FIRED,08-20 20:49,08-20 19:19,08-20 21:33,134
2026-08-20,ASIA,2,S2,breakout_retest,short,29338.5,FIRED,08-20 19:22,08-20 19:19,08-20 21:33,134
2026-08-20,ASIA,2,S3,reclaim,long,29375.75,FIRED,08-20 21:15,08-20 19:19,08-20 21:33,134
2026-08-20,ASIA,3,S1,reject,short,29395.0,FIRED,08-20 21:36,08-20 21:33,08-21 01:30,236
2026-08-20,ASIA,3,S2,acceptance,short,29331.0,FIRED,08-20 23:27,08-20 21:33,08-21 01:30,236
2026-08-20,ASIA,3,S3,reject,short,29485.0,NOT_FIRED,,08-20 21:33,08-21 01:30,236
2026-08-20,LONDON,1,S1,breakout_retest,long,29688.5,NOT_FIRED,,08-20 01:59,08-20 03:22,83
2026-08-20,LONDON,1,S2,reject,short,29688.5,NOT_FIRED,,08-20 01:59,08-20 03:22,83
2026-08-20,LONDON,1,S3,acceptance,short,29617.0,FIRED,08-20 02:23,08-20 01:59,08-20 03:22,83
2026-08-20,LONDON,2,S1,breakout_retest,short,29515.25,FIRED,08-20 03:23,08-20 03:22,08-20 08:30,308
2026-08-20,LONDON,2,S2,reject,short,29557.5,FIRED,08-20 05:12,08-20 03:22,08-20 08:30,308
2026-08-20,LONDON,2,S3,reject,short,29617.0,NOT_FIRED,,08-20 03:22,08-20 08:30,308
2026-08-20,NY,1,S1,acceptance,short,29275.0,NOT_FIRED,,08-20 08:28,08-20 08:47,20
2026-08-20,NY,1,S2,reject,short,29375.75,FIRED,08-20 08:30,08-20 08:28,08-20 08:47,20
2026-08-20,NY,1,S3,reclaim,long,29375.75,FIRED,08-20 08:30,08-20 08:28,08-20 08:47,20
