position_id,side,entry,R_pts,mfe_pts,mfe_R,mae_pts,pnl_corrected,stop_source
521,SHORT,29623.5,22.75,71.25,3.131868131868132,16.0,138.0,decision 30040
522,SHORT,29558.25,30.25,10.25,0.33884297520661155,49.25,-60.5,decision 30071
523,SHORT,29466.5,48.75,79.5,1.6307692307692307,11.5,118.0,decision 30084
524,SHORT,29650.75,21.75,137.5,6.32183908045977,16.5,273.5,decision 30123
525,LONG,29647.0,21.5,19.75,0.9186046511627907,21.75,-43.0,decision 30297
526,SHORT,29626.25,62.25,2.75,0.04417670682730924,57.5,-69.42857199999708,decision 30357
527,SHORT,29604.5,43.75,5.0,0.11428571428571428,44.25,-88.0,decision 30417
528,SHORT,29503.25,48.75,48.0,0.9846153846153847,49.0,-97.5,decision 30557
529,SHORT,29539.25,45.25,91.0,2.0110497237569063,43.75,168.0,decision 30616
530,SHORT,29342.25,38.0,10.0,0.2631578947368421,6.25,13.0,decision 30698
531,LONG,29443.75,73.75,16.25,0.22033898305084745,75.0,-147.5,decision 30713
532,SHORT,29395.75,65.75,156.75,2.3840304182509504,61.5,311.0,decision 30744
533,SHORT,29322.25,27.25,36.0,1.3211009174311927,30.25,-54.5,decision 30962
534,SHORT,29332.25,33.0,40.5,1.2272727272727273,36.75,-66.0,decision 31002
535,SHORT,29360.75,15.5,7.0,0.45161290322580644,17.75,-31.0,decision 31057
536,SHORT,29393.0,18.25,62.25,3.410958904109589,6.75,124.0,decision 31070
537,SHORT,29360.25,39.75,20.25,0.5094339622641509,42.0,-79.5,decision 31155
538,SHORT,29388.25,18.0,16.25,0.9027777777777778,2.75,30.5,decision 31192
539,SHORT,29453.0,42.25,42.25,1.0,43.0,-84.5,decision 31255
540,LONG,29509.0,49.0,6.5,0.1326530612244898,50.0,-98.0,decision 31289
541,LONG,29511.75,41.5,28.0,0.6746987951807228,42.25,-83.0,decision 31331
542,SHORT,29310.0,92.75,89.75,0.967654986522911,35.5,0.0,decision 31401
543,SHORT,29355.75,44.25,25.0,0.5649717514124294,45.0,-88.5,decision 31443
544,SHORT,29445.0,30.75,19.5,0.6341463414634146,31.5,-61.5,decision 31462
545,LONG,29298.5,14.75,3.0,0.2033898305084746,15.25,-29.5,decision 31749
546,LONG,29222.5,43.75,9.75,0.22285714285714286,51.0,-88.5,decision 31993
547,SHORT,28968.75,69.75,15.25,0.21863799283154123,73.25,-139.5,decision 32044
548,SHORT,29092.75,27.25,58.5,2.146788990825688,44.75,-54.5,decision 32065
549,SHORT,29201.5,38.75,85.5,2.206451612903226,10.5,169.5,decision 32108
550,SHORT,29123.75,42.25,20.25,0.47928994082840237,42.5,-84.5,decision 32344
551,SHORT,29163.0,6.5,69.75,10.73076923076923,0.5,0.0,decision 32374
552,SHORT,29166.25,3.75,10.0,2.6666666666666665,5.5,-7.5,decision 32390
553,SHORT,29178.5,13.5,0.0,0.0,18.0,-27.0,decision 32402
554,SHORT,29269.0,31.0,58.0,1.8709677419354838,58.75,-62.0,decision 32486
555,LONG,29328.0,31.25,92.0,2.944,22.5,168.0,decision 32546
556,LONG,29336.0,19.75,0.75,0.0379746835443038,33.5,-40.0,decision 32599
557,LONG,29337.5,40.0,71.75,1.79375,17.25,46.5,decision 32605
558,LONG,29339.25,29.25,5.75,0.19658119658119658,27.5,-22.5,decision 32656
559,LONG,29246.25,39.25,23.5,0.5987261146496815,100.75,-78.5,decision 32687
560,SHORT,29263.0,21.0,50.5,2.4047619047619047,3.0,81.0,decision 32807
561,LONG,29221.25,26.0,17.5,0.6730769230769231,30.0,-52.0,decision 32923
562,SHORT,29212.0,49.25,25.75,0.5228426395939086,51.25,-98.5,decision 33115
563,LONG,29244.0,24.75,34.75,1.404040404040404,29.5,-49.5,decision 33229
564,SHORT,29585.25,34.5,6.75,0.1956521739130435,36.75,-69.0,decision 33793
565,SHORT,29580.0,31.25,4.25,0.136,32.75,-62.5,decision 33841
567,SHORT,29621.0,21.0,28.5,1.3571428571428572,21.5,-42.0,arm 5
570,LONG,29463.25,43.25,66.25,1.5317919075144508,14.5,17.0,arm 9
578,LONG,29413.0,49.75,47.25,0.949748743718593,24.75,92.0,arm 21
581,SHORT,29466.0,34.25,73.5,2.145985401459854,2.5,190.5,decision 35508
583,LONG,29213.25,41.25,25.0,0.6060606060606061,43.25,-82.5,decision 35621
584,SHORT,29138.0,24.0,58.0,2.4166666666666665,0.0,106.0,arm 24
586,LONG,29082.75,27.0,0.0,0.0,27.5,-54.0,arm 28
587,LONG,29079.25,31.25,25.75,0.824,33.0,-62.5,decision 36122
588,LONG,29082.5,32.5,0.0,0.0,33.25,-65.0,decision 36336
589,LONG,29192.5,77.5,10.25,0.13225806451612904,80.5,-155.0,decision 36394
590,LONG,29193.25,49.5,1.0,0.020202020202020204,49.75,-99.0,decision 36422
591,SHORT,29285.0,66.62847289963975,43.5,0.652874035782309,75.0,-140.0,arm 35
