pos_id,side,entry,fill_time_source,bar_open_ct,o,h,l,c,pos_in_range,pnl_corrected,inside_bar,at_high,at_low,adverse_extreme,favorable_extreme,fill_time_ms
521,SHORT,29623.5,trader_fills,,,,,,,138.0,,,,,,1787127723937
522,SHORT,29558.25,trader_fills,,,,,,,-60.5,,,,,,1787141851167
523,SHORT,29466.5,trader_fills,,,,,,,118.0,,,,,,1787148412405
524,SHORT,29650.75,trader_fills,08-19 11:18,29651.75,29666.25,29648.75,29665.0,0.114,273.5,True,False,False,False,False,1787156295772
525,LONG,29647.0,trader_fills,08-19 18:22,29645.75,29648.5,29644.0,29648.0,0.667,-43.0,True,False,False,False,False,1787181724759
526,SHORT,29626.25,trader_fills,08-19 20:28,29627.0,29635.25,29623.5,29633.25,0.234,-69.42857199999708,True,False,False,False,False,1787189302086
527,SHORT,29604.5,trader_fills,08-19 22:37,29607.25,29607.75,29600.0,29601.25,0.581,-88.0,True,False,False,False,False,1787197048861
528,SHORT,29503.25,trader_fills,08-20 03:26,29505.0,29512.5,29498.75,29510.0,0.327,-97.5,True,False,False,False,False,1787214391408
529,SHORT,29539.25,trader_fills,08-20 05:26,29540.75,29544.25,29526.25,29541.5,0.722,168.0,True,False,False,False,False,1787221593302
531,LONG,29443.75,trader_fills,08-20 08:41,29403.0,29455.0,29390.0,29434.5,0.827,-147.5,True,False,False,False,False,1787233297684
532,SHORT,29395.75,trader_fills,08-20 09:41,29411.75,29415.25,29393.0,29396.5,0.124,311.0,True,False,False,False,False,1787236917047
533,SHORT,29322.25,trader_fills,08-20 17:59,29323.0,29324.5,29320.5,29322.0,0.438,-54.5,True,False,False,False,False,1787266758372
534,SHORT,29332.25,trader_fills,08-20 19:22,29328.5,29341.0,29328.5,29339.5,0.3,-66.0,True,False,False,False,False,1787271748346
535,SHORT,29360.75,trader_fills,08-20 21:08,29360.75,29365.0,29359.5,29364.25,0.227,-31.0,True,False,False,False,False,1787278123496
536,SHORT,29393.0,trader_fills,08-20 21:36,29392.75,29395.0,29391.25,29393.25,0.467,124.0,True,False,False,False,False,1787279779760
537,SHORT,29360.25,trader_fills,08-21 00:25,29360.75,29366.0,29360.25,29366.0,0.0,-79.5,True,False,True,True,False,1787289910848
538,SHORT,29388.25,trader_fills,08-21 01:40,29390.25,29390.5,29387.0,29388.0,0.357,30.5,True,False,False,False,False,1787294426611
540,LONG,29509.0,trader_fills,08-21 05:04,29506.5,29511.0,29506.25,29508.5,0.579,-98.0,True,False,False,False,False,1787306680459
541,LONG,29511.75,trader_fills,08-21 06:26,29524.0,29524.25,29508.5,29508.5,0.206,-83.0,True,False,False,False,False,1787311607781
542,SHORT,29310.0,trader_fills,08-21 08:49,29310.75,29340.25,29308.5,29340.0,0.047,0.0,True,False,False,False,False,1787320143287
543,SHORT,29355.75,trader_fills,08-21 10:12,29357.5,29362.5,29353.75,29359.25,0.229,-88.5,True,False,False,False,False,1787325163212
544,SHORT,29445.0,trader_fills,08-21 10:47,29443.25,29448.75,29441.0,29441.5,0.516,-61.5,True,False,False,False,False,1787327265785
547,SHORT,28968.75,trader_fills,08-24 09:09,28971.0,28982.0,28960.5,28977.75,0.384,-139.5,True,False,False,False,False,1787580585132
548,SHORT,29092.75,trader_fills,08-24 09:55,29096.75,29099.75,29087.0,29090.75,0.451,-54.5,True,False,False,False,False,1787583313782
549,SHORT,29201.5,trader_fills,08-24 11:26,29204.25,29206.5,29198.25,29204.25,0.394,169.5,True,False,False,False,False,1787588810348
550,SHORT,29123.75,trader_fills,08-24 20:43,29124.0,29140.25,29122.0,29135.5,0.096,-84.5,True,False,False,False,False,1787622214374
551,SHORT,29163.0,trader_fills,08-24 21:43,29165.5,29166.5,29147.5,29156.75,0.816,0.0,True,False,False,False,False,1787625786794
552,SHORT,29166.25,trader_fills,08-24 22:17,29166.0,29168.0,29157.5,29158.0,0.833,-7.5,True,False,False,False,False,1787627825014
553,SHORT,29178.5,trader_fills,08-24 23:03,29177.75,29183.25,29176.0,29180.5,0.345,-27.0,True,False,False,False,False,1787630586855
554,SHORT,29269.0,trader_fills,08-25 02:09,29270.25,29273.75,29268.75,29270.25,0.05,-62.0,True,False,False,False,False,1787641758859
555,LONG,29328.0,trader_fills,08-25 04:19,29330.5,29334.5,29326.0,29329.5,0.235,168.0,True,False,False,False,False,1787649559285
556,LONG,29336.0,trader_fills,08-25 06:04,29338.25,29339.5,29333.0,29335.25,0.462,-40.0,True,False,False,False,False,1787655848497
557,LONG,29337.5,trader_fills,08-25 06:14,29334.25,29341.5,29333.0,29340.5,0.529,46.5,True,False,False,False,False,1787656476928
558,LONG,29339.25,trader_fills,08-25 07:56,29337.5,29340.0,29333.25,29339.5,0.889,-22.5,True,False,False,False,False,1787662601772
559,LONG,29246.25,trader_fills,08-25 09:14,29260.5,29263.5,29239.5,29245.5,0.281,-78.5,True,False,False,False,False,1787667281452
560,SHORT,29263.0,trader_fills,08-25 13:53,29266.0,29267.5,29259.25,29260.25,0.455,81.0,True,False,False,False,False,1787683989347
561,LONG,29221.25,trader_fills,08-25 19:11,29221.25,29228.0,29218.25,29225.5,0.308,-52.0,True,False,False,False,False,1787703104201
562,SHORT,29212.0,trader_fills,08-26 02:22,29213.0,29216.0,29210.25,29215.25,0.304,-98.5,True,False,False,False,False,1787728926640
563,LONG,29244.0,trader_fills,08-26 06:12,29243.0,29252.0,29243.0,29251.75,0.111,-49.5,True,False,False,False,False,1787742765380
564,SHORT,29585.25,trader_fills,08-27 04:19,29577.0,29590.25,29573.75,29587.25,0.697,-69.0,True,False,False,False,False,1787822385605
565,SHORT,29580.0,trader_fills,08-27 05:53,29577.5,29590.0,29577.25,29588.0,0.216,-62.5,True,False,False,False,False,1787827992772
567,SHORT,29621.0,"entry_time(materialized,late)",08-28 01:22,29615.0,29621.75,29615.0,29617.5,0.889,-42.0,True,False,False,False,False,1787898124014
568,SHORT,29642.0,nt8_log:888bcd99,08-28 07:18,29633.75,29645.75,29632.5,29637.25,0.717,-32.0,True,False,False,False,False,1787919516835
569,SHORT,29700.0,"entry_time(materialized,late)",08-28 08:44,29693.0,29696.5,29676.5,29687.25,1.175,63.0,False,False,False,False,False,1787924668684
570,LONG,29463.25,nt8_log:54ece976,08-28 12:09,29464.0,29467.5,29450.0,29450.5,0.757,17.0,True,False,False,False,False,1787936941720
575,SHORT,29437.0,nt8_log:0aa6032e,08-31 09:57,29426.5,29443.5,29425.25,29442.0,0.644,32.5,True,False,False,False,False,1788188263729
578,LONG,29413.0,nt8_log:f0bbe9af,08-31 12:25,29418.5,29420.0,29404.25,29405.5,0.556,92.0,True,False,False,False,False,1788197121664
581,SHORT,29466.0,trader_fills,09-01 02:52,29464.5,29470.0,29461.25,29464.0,0.543,190.5,True,False,False,False,False,1788249164038
582,SHORT,29246.75,nt8_log:0c77307d,09-01 05:23,29244.0,29248.25,29243.25,29244.75,0.7,129.5,True,False,False,False,False,1788258197557
583,LONG,29213.25,trader_fills,09-01 06:35,29212.25,29218.75,29210.0,29214.0,0.371,-82.5,True,False,False,False,False,1788262504776
584,SHORT,29138.0,nt8_log:6b5b89c6,09-01 08:35,29099.5,29140.5,29093.75,29117.25,0.947,106.0,True,False,False,False,False,1788269725808
585,SHORT,29182.0,nt8_log:18a7cc55,09-01 09:30,29165.25,29188.0,29162.5,29186.5,0.765,-77.5,True,False,False,False,False,1788273040623
586,LONG,29082.75,nt8_log:d5fed440,09-01 13:31,29086.0,29090.75,29082.5,29085.5,0.03,-54.0,True,False,False,False,False,1788287499245
587,LONG,29079.25,trader_fills,09-02 00:17,29073.0,29083.75,29069.0,29083.75,0.695,-62.5,True,False,False,False,False,1788326264538
588,LONG,29082.5,trader_fills,09-02 07:41,29080.75,29083.25,29076.75,29081.5,0.885,-65.0,True,False,False,False,False,1788352865663
589,LONG,29192.5,trader_fills,09-02 09:41,29193.75,29197.5,29178.75,29182.0,0.733,-155.0,True,False,False,False,False,1788360064832
590,LONG,29193.25,trader_fills,09-02 10:37,29200.0,29200.0,29191.25,29193.5,0.229,-99.0,True,False,False,False,False,1788363437167
