id,reason,side,exit_price,exit_time,provenance
521,tp,SHORT,29554.5,1787132616909,nearest log side/exit-price within 5 minutes; not execution-id proof
522,sl,SHORT,29588.5,1787142784995,nearest log side/exit-price within 5 minutes; not execution-id proof
523,tp,SHORT,29407.5,1787148669853,nearest log side/exit-price within 5 minutes; not execution-id proof
524,tp,SHORT,29514.0,1787160091498,nearest log side/exit-price within 5 minutes; not execution-id proof
525,sl,LONG,29625.5,1787183980456,nearest log side/exit-price within 5 minutes; not execution-id proof
526,manual,SHORT,29660.964286,1787192187436,nearest log side/exit-price within 5 minutes; not execution-id proof
527,sl,SHORT,29648.5,1787198834030,nearest log side/exit-price within 5 minutes; not execution-id proof
528,sl,SHORT,29552.0,1787220704886,nearest log side/exit-price within 5 minutes; not execution-id proof
529,tp,SHORT,29455.25,1787224917648,nearest log side/exit-price within 5 minutes; not execution-id proof
531,sl,LONG,29370.0,1787233704110,nearest log side/exit-price within 5 minutes; not execution-id proof
532,tp,SHORT,29240.25,1787249147278,nearest log side/exit-price within 5 minutes; not execution-id proof
533,sl,SHORT,29349.5,1787271163275,nearest log side/exit-price within 5 minutes; not execution-id proof
534,sl,SHORT,29365.25,1787276995308,nearest log side/exit-price within 5 minutes; not execution-id proof
535,sl,SHORT,29376.25,1787278857194,nearest log side/exit-price within 5 minutes; not execution-id proof
536,tp,SHORT,29331.0,1787286454106,nearest log side/exit-price within 5 minutes; not execution-id proof
537,sl,SHORT,29400.0,1787294140952,nearest log side/exit-price within 5 minutes; not execution-id proof
538,manual,SHORT,29373.0,1787294701430,nearest log side/exit-price within 5 minutes; not execution-id proof
540,sl,LONG,29460.0,1787310076685,nearest log side/exit-price within 5 minutes; not execution-id proof
541,sl,LONG,29470.25,1787318022696,nearest log side/exit-price within 5 minutes; not execution-id proof
542,sl,SHORT,29310.0,1787322462787,nearest log side/exit-price within 5 minutes; not execution-id proof
543,sl,SHORT,29400.0,1787326470700,nearest log side/exit-price within 5 minutes; not execution-id proof
544,sl,SHORT,29475.75,1787327509227,nearest log side/exit-price within 5 minutes; not execution-id proof
547,sl,SHORT,29038.5,1787581850877,nearest log side/exit-price within 5 minutes; not execution-id proof
548,sl,SHORT,29120.0,1787585344309,nearest log side/exit-price within 5 minutes; not execution-id proof
549,tp,SHORT,29116.75,1787594145174,nearest log side/exit-price within 5 minutes; not execution-id proof
550,sl,SHORT,29166.0,1787625115057,nearest log side/exit-price within 5 minutes; not execution-id proof
551,sl,SHORT,29163.0,1787627344859,nearest log side/exit-price within 5 minutes; not execution-id proof
552,sl,SHORT,29170.0,1787627988172,nearest log side/exit-price within 5 minutes; not execution-id proof
553,sl,SHORT,29192.0,1787630723285,nearest log side/exit-price within 5 minutes; not execution-id proof
554,sl,SHORT,29300.0,1787646277376,nearest log side/exit-price within 5 minutes; not execution-id proof
555,tp,LONG,29412.0,1787651863713,nearest log side/exit-price within 5 minutes; not execution-id proof
556,sl,LONG,29316.0,1787656183070,nearest log side/exit-price within 5 minutes; not execution-id proof
557,sl,LONG,29360.75,1787661054988,nearest log side/exit-price within 5 minutes; not execution-id proof
558,limit,LONG,29328.0,1787663702041,nearest log side/exit-price within 5 minutes; not execution-id proof
559,sl,LONG,29207.0,1787668202197,nearest log side/exit-price within 5 minutes; not execution-id proof
560,limit,SHORT,29222.5,1787686216895,nearest log side/exit-price within 5 minutes; not execution-id proof
561,sl,LONG,29195.25,1787703939651,nearest log side/exit-price within 5 minutes; not execution-id proof
562,sl,SHORT,29261.25,1787742109269,nearest log side/exit-price within 5 minutes; not execution-id proof
563,sl,LONG,29219.25,1787744284225,nearest log side/exit-price within 5 minutes; not execution-id proof
564,sl,SHORT,29619.75,1787823144273,nearest log side/exit-price within 5 minutes; not execution-id proof
565,sl,SHORT,29611.25,1787828737791,nearest log side/exit-price within 5 minutes; not execution-id proof
567,sl,SHORT,29642.0,1787900267898,nearest log side/exit-price within 5 minutes; not execution-id proof
568,sl,SHORT,29658.0,1787919782166,nearest log side/exit-price within 5 minutes; not execution-id proof
569,limit,SHORT,29668.5,1787924728951,nearest log side/exit-price within 5 minutes; not execution-id proof
570,sl,LONG,29471.75,1787942914951,nearest log side/exit-price within 5 minutes; not execution-id proof
575,manual,SHORT,29420.75,1788189328351,nearest log side/exit-price within 5 minutes; not execution-id proof
578,unknown,LONG,29459.0,1788199848747,nearest log side/exit-price within 5 minutes; not execution-id proof
581,tp,SHORT,29370.75,1788249993712,nearest log side/exit-price within 5 minutes; not execution-id proof
582,tp,SHORT,29182.0,1788260734279,nearest log side/exit-price within 5 minutes; not execution-id proof
583,sl,LONG,29172.0,1788263807259,nearest log side/exit-price within 5 minutes; not execution-id proof
584,tp,SHORT,29085.0,1788269899464,nearest log side/exit-price within 5 minutes; not execution-id proof
585,sl,SHORT,29220.75,1788273640760,nearest log side/exit-price within 5 minutes; not execution-id proof
586,sl,LONG,29055.75,1788288074189,nearest log side/exit-price within 5 minutes; not execution-id proof
587,sl,LONG,29048.0,1788329021861,nearest log side/exit-price within 5 minutes; not execution-id proof
588,sl,LONG,29050.0,1788353498565,nearest log side/exit-price within 5 minutes; not execution-id proof
589,sl,LONG,29115.0,1788361167398,nearest log side/exit-price within 5 minutes; not execution-id proof
590,sl,LONG,29143.75,1788364170319,nearest log side/exit-price within 5 minutes; not execution-id proof
591,sl,SHORT,29355.0,1788445245677,nearest log side/exit-price within 5 minutes; not execution-id proof
