id,side,entry,exit,entry_ct,pnl,mae,mfe,reason,risk_pts,atr5m,floor,src,band,scen
521,SHORT,29623.5,29554.5,08-19 03:22,138.0,16.0,71.25,tp,,,,system,,S1
522,SHORT,29558.25,29588.5,08-19 07:17,-60.5,49.25,10.25,sl,30.25,,,system,,S3
523,SHORT,29466.5,29407.5,08-19 09:06,118.0,11.5,79.5,tp,,,,system,,S1
524,SHORT,29650.75,29514.0,08-19 11:18,273.5,16.5,137.5,tp,,,,system,,S1
525,LONG,29647.0,29625.5,08-19 18:22,-43.0,21.75,19.75,sl,21.5,,,system,,S1
526,SHORT,29626.25,29660.964286,08-19 20:28,-69.42857199999708,57.5,2.75,manual,,,,system,,S2
527,SHORT,29604.5,29648.5,08-19 22:37,-88.0,44.25,5.0,sl,44.0,,,system,,S2
528,SHORT,29503.25,29552.0,08-20 03:26,-97.5,49.0,48.0,sl,48.75,,,system,,S1
529,SHORT,29539.25,29455.25,08-20 05:26,168.0,43.75,91.0,tp,,,,system,,S2
530,SHORT,29342.25,29335.75,08-20 08:12,13.0,6.25,10.0,manual,,,,system,,off-plan
531,LONG,29443.75,29370.0,08-20 08:41,-147.5,75.0,16.25,sl,73.75,,,system,,S3
532,SHORT,29395.75,29240.25,08-20 09:41,311.0,61.5,156.75,tp,,,,system,,S1
533,SHORT,29322.25,29349.5,08-20 17:59,-54.5,30.25,36.0,sl,27.25,,,system,,S2
534,SHORT,29332.25,29365.25,08-20 19:22,-66.0,36.75,40.5,sl,33.0,,,system,,S2
535,SHORT,29360.75,29376.25,08-20 21:08,-31.0,17.75,7.0,sl,15.5,,,system,,S1
536,SHORT,29393.0,29331.0,08-20 21:36,124.0,6.75,62.25,tp,,,,system,,S1
537,SHORT,29360.25,29400.0,08-21 00:25,-79.5,42.0,20.25,sl,39.75,,,system,,S1
538,SHORT,29388.25,29373.0,08-21 01:40,30.5,2.75,16.25,manual,,,,system,,S1
539,SHORT,29453.0,29495.25,08-21 03:54,-84.5,43.0,42.25,sl,42.25,,,system,,off-plan
540,LONG,29509.0,29460.0,08-21 05:04,-98.0,50.0,6.5,sl,49.0,,,system,,S1
541,LONG,29511.75,29470.25,08-21 06:26,-83.0,42.25,28.0,sl,41.5,,,system,,S1
542,SHORT,29310.0,29310.0,08-21 08:49,0.0,35.5,89.75,sl,0.0,,,system,,S2
543,SHORT,29355.75,29400.0,08-21 10:12,-88.5,45.0,25.0,sl,44.25,,,system,,S2
544,SHORT,29445.0,29475.75,08-21 10:47,-61.5,31.5,19.5,sl,30.75,,,system,,S1
545,LONG,29298.5,29283.75,08-23 22:28,-29.5,15.25,3.0,sl,14.75,,,system,,
546,LONG,29222.5,29178.25,08-24 07:06,-88.5,51.0,9.75,sl,44.25,,,system,,
547,SHORT,28968.75,29038.5,08-24 09:09,-139.5,73.25,15.25,sl,69.75,,,system,,S2
548,SHORT,29092.75,29120.0,08-24 09:55,-54.5,44.75,58.5,sl,27.25,,,system,,S1
549,SHORT,29201.5,29116.75,08-24 11:26,169.5,10.5,85.5,tp,,,,system,,S2
550,SHORT,29123.75,29166.0,08-24 20:43,-84.5,42.5,20.25,sl,42.25,30.27,45.4,system,,S2
551,SHORT,29163.0,29163.0,08-24 21:43,0.0,0.5,69.75,sl,0.0,28.02,42.03,system,,S2
552,SHORT,29166.25,29170.0,08-24 22:17,-7.5,5.5,10.0,sl,3.75,26.64,39.96,system,,S2
553,SHORT,29178.5,29192.0,08-24 23:03,-27.0,18.0,0.0,sl,13.5,22.5,33.75,system,,S2
554,SHORT,29269.0,29300.0,08-25 02:09,-62.0,58.75,58.0,sl,31.0,20.91,31.37,system,,S2
555,LONG,29328.0,29412.0,08-25 04:19,168.0,22.5,92.0,tp,,31.89,47.84,system,,S2
556,LONG,29336.0,29316.0,08-25 06:04,-40.0,33.5,0.75,sl,20.0,19.84,29.76,system,,S1
557,LONG,29337.5,29360.75,08-25 06:14,46.5,17.25,71.75,sl,23.25,19.61,29.41,system,,S1
558,LONG,29339.25,29328.0,08-25 07:56,-22.5,27.5,5.75,limit,,22.54,33.8,system,,S1
559,LONG,29246.25,29207.0,08-25 09:14,-78.5,100.75,23.5,sl,39.25,50.18,75.27,system,,S4
560,SHORT,29263.0,29222.5,08-25 13:53,81.0,3.0,50.5,limit,,16.27,24.4,system,,S3
561,LONG,29221.25,29195.25,08-25 19:11,-52.0,30.0,17.5,sl,26.0,17.36,26.04,system,,S1
562,SHORT,29212.0,29261.25,08-26 02:22,-98.5,51.25,25.75,sl,49.25,23.45,35.17,system,,S2
563,LONG,29244.0,29219.25,08-26 06:12,-49.5,29.5,34.75,sl,24.75,19.62,29.44,system,,S1
564,SHORT,29585.25,29619.75,08-27 04:19,-69.0,36.75,6.75,sl,34.5,28.64,42.96,system,,S3
565,SHORT,29580.0,29611.25,08-27 05:53,-62.5,32.75,4.25,sl,31.25,18.93,28.39,system,,S1
566,LONG,29611.5,29660.0,08-27 11:32,97.0,,,tp,,32.16,48.24,reconcile,,
567,SHORT,29621.0,29642.0,08-28 01:22,-42.0,21.5,28.5,sl,21.0,13.57,20.36,reconcile,armed_fill,S1
568,SHORT,29642.0,29658.0,08-28 07:19,-32.0,17.0,1.75,sl,16.0,14.52,21.78,reconcile,armed_fill,S1
569,SHORT,29700.0,29668.5,08-28 08:44,63.0,0.0,36.0,limit,,28.98,43.47,reconcile,armed_fill,S1
570,LONG,29463.25,29471.75,08-28 12:10,17.0,14.5,66.25,sl,8.5,48.04,72.05,reconcile,armed_fill,S2
571,LONG,29437.0,29414.75,08-30 17:38,-44.5,22.5,17.0,sl,22.25,22.59,33.88,reconcile,,
575,SHORT,29437.0,29420.75,08-31 09:59,32.5,6.0,41.5,manual,,43.39,65.09,reconcile,armed_fill,S2
578,LONG,29413.0,29459.0,08-31 12:26,92.0,24.75,47.25,unknown,,21.34,32.01,reconcile,armed_fill,S1
580,SHORT,29417.25,29397.5,08-31 13:37,39.5,0.0,20.75,tp,,21.52,32.28,reconcile,,
