id,entry_time,exit_time,created_at,symbol,side,entry_quantity,entry_price,exit_price,pnl_corrected,fee,plan_id,plan_session,source,close_reason,mae,mfe,session_day_ct,exit_day_ct,entry_ct,exit_ct,created_ms
521,1787127723941,1787132616909,1787127723941,MNQ,SHORT,1.0,29623.5,29554.5,138.0,0.0,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,16.0,71.25,2026-08-18,2026-08-18,2026-08-19T03:22:03.941000-05:00,2026-08-19T04:43:36.909000-05:00,1787127723941
522,1787141851173,1787142784995,1787141851173,MNQ,SHORT,1.0,29558.25,29588.5,-60.5,0.0,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,49.25,10.25,2026-08-18,2026-08-18,2026-08-19T07:17:31.173000-05:00,2026-08-19T07:33:04.995000-05:00,1787141851173
523,1787148412409,1787148669853,1787148412409,MNQ,SHORT,1.0,29466.5,29407.5,118.0,0.0,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,11.5,79.5,2026-08-18,2026-08-18,2026-08-19T09:06:52.409000-05:00,2026-08-19T09:11:09.853000-05:00,1787148412409
524,1787156295776,1787160091498,1787156295776,MNQ,SHORT,1.0,29650.75,29514.0,273.5,0.0,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,16.5,137.5,2026-08-18,2026-08-18,2026-08-19T11:18:15.776000-05:00,2026-08-19T12:21:31.498000-05:00,1787156295776
525,1787181724764,1787183980456,1787181724764,MNQ,LONG,1.0,29647.0,29625.5,-43.0,0.0,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,21.75,19.75,2026-08-19,2026-08-19,2026-08-19T18:22:04.764000-05:00,2026-08-19T18:59:40.456000-05:00,1787181724764
526,1787189302092,1787192187436,1787189302092,MNQ,SHORT,1.0,29626.25,29660.964286,-69.42857199999708,0.0,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,57.5,2.75,2026-08-19,2026-08-19,2026-08-19T20:28:22.092000-05:00,2026-08-19T21:16:27.436000-05:00,1787189302092
527,1787197048862,1787198834030,1787197048862,MNQ,SHORT,1.0,29604.5,29648.5,-88.0,0.0,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,44.25,5.0,2026-08-19,2026-08-19,2026-08-19T22:37:28.862000-05:00,2026-08-19T23:07:14.030000-05:00,1787197048862
528,1787214391412,1787220704886,1787214391412,MNQ,SHORT,1.0,29503.25,29552.0,-97.5,0.0,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,49.0,48.0,2026-08-19,2026-08-19,2026-08-20T03:26:31.412000-05:00,2026-08-20T05:11:44.886000-05:00,1787214391412
529,1787221593307,1787224917648,1787221593307,MNQ,SHORT,1.0,29539.25,29455.25,168.0,0.0,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,43.75,91.0,2026-08-19,2026-08-19,2026-08-20T05:26:33.307000-05:00,2026-08-20T06:21:57.648000-05:00,1787221593307
531,1787233297689,1787233704110,1787233297689,MNQ,LONG,1.0,29443.75,29370.0,-147.5,0.0,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,75.0,16.25,2026-08-19,2026-08-19,2026-08-20T08:41:37.689000-05:00,2026-08-20T08:48:24.110000-05:00,1787233297689
532,1787236917055,1787249147278,1787236917055,MNQ,SHORT,1.0,29395.75,29240.25,311.0,0.0,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,61.5,156.75,2026-08-19,2026-08-19,2026-08-20T09:41:57.055000-05:00,2026-08-20T13:05:47.278000-05:00,1787236917055
533,1787266758375,1787271163275,1787266758375,MNQ,SHORT,1.0,29322.25,29349.5,-54.5,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,30.25,36.0,2026-08-20,2026-08-20,2026-08-20T17:59:18.375000-05:00,2026-08-20T19:12:43.275000-05:00,1787266758375
534,1787271748349,1787276995308,1787271748349,MNQ,SHORT,1.0,29332.25,29365.25,-66.0,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,36.75,40.5,2026-08-20,2026-08-20,2026-08-20T19:22:28.349000-05:00,2026-08-20T20:49:55.308000-05:00,1787271748349
535,1787278123499,1787278857194,1787278123499,MNQ,SHORT,1.0,29360.75,29376.25,-31.0,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,17.75,7.0,2026-08-20,2026-08-20,2026-08-20T21:08:43.499000-05:00,2026-08-20T21:20:57.194000-05:00,1787278123499
536,1787279779762,1787286454106,1787279779762,MNQ,SHORT,1.0,29393.0,29331.0,124.0,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,6.75,62.25,2026-08-20,2026-08-20,2026-08-20T21:36:19.762000-05:00,2026-08-20T23:27:34.106000-05:00,1787279779762
537,1787289910852,1787294140952,1787289910852,MNQ,SHORT,1.0,29360.25,29400.0,-79.5,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,42.0,20.25,2026-08-20,2026-08-20,2026-08-21T00:25:10.852000-05:00,2026-08-21T01:35:40.952000-05:00,1787289910852
538,1787294426615,1787294701430,1787294426615,MNQ,SHORT,1.0,29388.25,29373.0,30.5,0.0,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,2.75,16.25,2026-08-20,2026-08-20,2026-08-21T01:40:26.615000-05:00,2026-08-21T01:45:01.430000-05:00,1787294426615
540,1787306680461,1787310076685,1787306680461,MNQ,LONG,1.0,29509.0,29460.0,-98.0,0.0,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,50.0,6.5,2026-08-20,2026-08-20,2026-08-21T05:04:40.461000-05:00,2026-08-21T06:01:16.685000-05:00,1787306680461
541,1787311607785,1787318022696,1787311607785,MNQ,LONG,1.0,29511.75,29470.25,-83.0,0.0,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,42.25,28.0,2026-08-20,2026-08-20,2026-08-21T06:26:47.785000-05:00,2026-08-21T08:13:42.696000-05:00,1787311607785
542,1787320143292,1787322462787,1787320143292,MNQ,SHORT,1.0,29310.0,29310.0,0.0,0.0,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,35.5,89.75,2026-08-20,2026-08-20,2026-08-21T08:49:03.292000-05:00,2026-08-21T09:27:42.787000-05:00,1787320143292
543,1787325163217,1787326470700,1787325163217,MNQ,SHORT,1.0,29355.75,29400.0,-88.5,0.0,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,45.0,25.0,2026-08-20,2026-08-20,2026-08-21T10:12:43.217000-05:00,2026-08-21T10:34:30.700000-05:00,1787325163217
544,1787327265787,1787327509227,1787327265787,MNQ,SHORT,1.0,29445.0,29475.75,-61.5,0.0,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,31.5,19.5,2026-08-20,2026-08-20,2026-08-21T10:47:45.787000-05:00,2026-08-21T10:51:49.227000-05:00,1787327265787
547,1787580585134,1787581850877,1787580585134,MNQ,SHORT,1.0,28968.75,29038.5,-139.5,0.0,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,73.25,15.25,2026-08-23,2026-08-23,2026-08-24T09:09:45.134000-05:00,2026-08-24T09:30:50.877000-05:00,1787580585134
548,1787583313785,1787585344309,1787583313785,MNQ,SHORT,1.0,29092.75,29120.0,-54.5,0.0,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,44.75,58.5,2026-08-23,2026-08-23,2026-08-24T09:55:13.785000-05:00,2026-08-24T10:29:04.309000-05:00,1787583313785
549,1787588810349,1787594145174,1787588810349,MNQ,SHORT,1.0,29201.5,29116.75,169.5,0.0,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,10.5,85.5,2026-08-23,2026-08-23,2026-08-24T11:26:50.349000-05:00,2026-08-24T12:55:45.174000-05:00,1787588810349
550,1787622214378,1787625115057,1787622214378,MNQ,SHORT,1.0,29123.75,29166.0,-84.5,0.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,42.5,20.25,2026-08-24,2026-08-24,2026-08-24T20:43:34.378000-05:00,2026-08-24T21:31:55.057000-05:00,1787622214378
551,1787625786798,1787627344859,1787625786798,MNQ,SHORT,1.0,29163.0,29163.0,0.0,0.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,0.5,69.75,2026-08-24,2026-08-24,2026-08-24T21:43:06.798000-05:00,2026-08-24T22:09:04.859000-05:00,1787625786798
552,1787627825020,1787627988172,1787627825020,MNQ,SHORT,1.0,29166.25,29170.0,-7.5,0.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,5.5,10.0,2026-08-24,2026-08-24,2026-08-24T22:17:05.020000-05:00,2026-08-24T22:19:48.172000-05:00,1787627825020
553,1787630586859,1787630723285,1787630586859,MNQ,SHORT,1.0,29178.5,29192.0,-27.0,0.0,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,18.0,0.0,2026-08-24,2026-08-24,2026-08-24T23:03:06.859000-05:00,2026-08-24T23:05:23.285000-05:00,1787630586859
554,1787641758864,1787646277376,1787641758864,MNQ,SHORT,1.0,29269.0,29300.0,-62.0,0.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,58.75,58.0,2026-08-24,2026-08-24,2026-08-25T02:09:18.864000-05:00,2026-08-25T03:24:37.376000-05:00,1787641758864
555,1787649559289,1787651863713,1787649559289,MNQ,LONG,1.0,29328.0,29412.0,168.0,0.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,22.5,92.0,2026-08-24,2026-08-24,2026-08-25T04:19:19.289000-05:00,2026-08-25T04:57:43.713000-05:00,1787649559289
556,1787655848500,1787656183070,1787655848500,MNQ,LONG,1.0,29336.0,29316.0,-40.0,0.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,33.5,0.75,2026-08-24,2026-08-24,2026-08-25T06:04:08.500000-05:00,2026-08-25T06:09:43.070000-05:00,1787655848500
557,1787656476930,1787661054988,1787656476930,MNQ,LONG,1.0,29337.5,29360.75,46.5,0.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,17.25,71.75,2026-08-24,2026-08-24,2026-08-25T06:14:36.930000-05:00,2026-08-25T07:30:54.988000-05:00,1787656476930
558,1787662601774,1787663702041,1787662601774,MNQ,LONG,1.0,29339.25,29328.0,-22.5,0.0,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,27.5,5.75,2026-08-24,2026-08-24,2026-08-25T07:56:41.774000-05:00,2026-08-25T08:15:02.041000-05:00,1787662601774
559,1787667281458,1787668202197,1787667281458,MNQ,LONG,1.0,29246.25,29207.0,-78.5,0.0,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,100.75,23.5,2026-08-24,2026-08-24,2026-08-25T09:14:41.458000-05:00,2026-08-25T09:30:02.197000-05:00,1787667281458
560,1787683989352,1787686216895,1787683989352,MNQ,SHORT,1.0,29263.0,29222.5,81.0,0.0,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,3.0,50.5,2026-08-24,2026-08-24,2026-08-25T13:53:09.352000-05:00,2026-08-25T14:30:16.895000-05:00,1787683989352
561,1787703104205,1787703939651,1787703104205,MNQ,LONG,1.0,29221.25,29195.25,-52.0,0.0,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,30.0,17.5,2026-08-25,2026-08-25,2026-08-25T19:11:44.205000-05:00,2026-08-25T19:25:39.651000-05:00,1787703104205
562,1787728926645,1787742109269,1787728926645,MNQ,SHORT,1.0,29212.0,29261.25,-98.5,0.0,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,51.25,25.75,2026-08-25,2026-08-25,2026-08-26T02:22:06.645000-05:00,2026-08-26T06:01:49.269000-05:00,1787728926645
563,1787742765384,1787744284225,1787742765384,MNQ,LONG,1.0,29244.0,29219.25,-49.5,0.0,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,29.5,34.75,2026-08-25,2026-08-25,2026-08-26T06:12:45.384000-05:00,2026-08-26T06:38:04.225000-05:00,1787742765384
564,1787822385609,1787823144273,1787822385609,MNQ,SHORT,1.0,29585.25,29619.75,-69.0,0.0,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,36.75,6.75,2026-08-26,2026-08-26,2026-08-27T04:19:45.609000-05:00,2026-08-27T04:32:24.273000-05:00,1787822385609
565,1787827992777,1787828737791,1787827992777,MNQ,SHORT,1.0,29580.0,29611.25,-62.5,0.0,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,32.75,4.25,2026-08-26,2026-08-26,2026-08-27T05:53:12.777000-05:00,2026-08-27T06:05:37.791000-05:00,1787827992777
567,1787898124014,1787900267898,1787898124014,MNQ,SHORT,1.0,29621.0,29642.0,-42.0,0.0,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,reconcile,sync,21.5,28.5,2026-08-27,2026-08-27,2026-08-28T01:22:04.014000-05:00,2026-08-28T01:57:47.898000-05:00,1787898124014
568,1787919586429,1787919782166,1787919586429,MNQ,SHORT,1.0,29642.0,29658.0,-32.0,0.0,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,reconcile,sync,17.0,1.75,2026-08-27,2026-08-27,2026-08-28T07:19:46.429000-05:00,2026-08-28T07:23:02.166000-05:00,1787919586429
569,1787924668684,1787924728951,1787924668684,MNQ,SHORT,1.0,29700.0,29668.5,63.0,0.0,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,0.0,36.0,2026-08-27,2026-08-27,2026-08-28T08:44:28.684000-05:00,2026-08-28T08:45:28.951000-05:00,1787924668684
570,1787937021714,1787942914951,1787937021714,MNQ,LONG,1.0,29463.25,29471.75,17.0,0.0,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,14.5,66.25,2026-08-27,2026-08-27,2026-08-28T12:10:21.714000-05:00,2026-08-28T13:48:34.951000-05:00,1787937021714
575,1788188358333,1788189328351,1788188358333,MNQ,SHORT,1.0,29437.0,29420.75,32.5,0.0,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,6.0,41.5,2026-08-30,2026-08-30,2026-08-31T09:59:18.333000-05:00,2026-08-31T10:15:28.351000-05:00,1788188358333
578,1788197208950,1788199848747,1788197208950,MNQ,LONG,1.0,29413.0,29459.0,92.0,0.0,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,24.75,47.25,2026-08-30,2026-08-30,2026-08-31T12:26:48.950000-05:00,2026-08-31T13:10:48.747000-05:00,1788197208950
581,1788249164041,1788249993712,1788249164041,MNQ,SHORT,1.0,29466.0,29370.75,190.5,0.0,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,2.5,73.5,2026-08-31,2026-08-31,2026-09-01T02:52:44.041000-05:00,2026-09-01T03:06:33.712000-05:00,1788249164041
582,1788258208858,1788260734279,1788258208858,MNQ,SHORT,1.0,29246.75,29182.0,129.5,0.0,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,armed_entry,sync,11.25,69.25,2026-08-31,2026-08-31,2026-09-01T05:23:28.858000-05:00,2026-09-01T06:05:34.279000-05:00,1788258208858
583,1788262504776,1788263807259,1788262504776,MNQ,LONG,1.0,29213.25,29172.0,-82.5,0.0,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,43.25,25.0,2026-08-31,2026-08-31,2026-09-01T06:35:04.776000-05:00,2026-09-01T06:56:47.259000-05:00,1788262504776
584,1788269807953,1788269899464,1788269807953,MNQ,SHORT,1.0,29138.0,29085.0,106.0,0.0,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,reconcile,sync,0.0,58.0,2026-08-31,2026-08-31,2026-09-01T08:36:47.953000-05:00,2026-09-01T08:38:19.464000-05:00,1788269807953
585,1788273068046,1788273640760,1788273068046,MNQ,SHORT,1.0,29182.0,29220.75,-77.5,0.0,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,armed_entry,sync,38.75,0.0,2026-08-31,2026-08-31,2026-09-01T09:31:08.046000-05:00,2026-09-01T09:40:40.760000-05:00,1788273068046
586,1788287586496,1788288074189,1788287586496,MNQ,LONG,1.0,29082.75,29055.75,-54.0,0.0,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,27.5,0.0,2026-08-31,2026-08-31,2026-09-01T13:33:06.496000-05:00,2026-09-01T13:41:14.189000-05:00,1788287586496
587,1788326264539,1788329021861,1788326264539,MNQ,LONG,1.0,29079.25,29048.0,-62.5,0.0,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,sync,33.0,25.75,2026-09-01,2026-09-01,2026-09-02T00:17:44.539000-05:00,2026-09-02T01:03:41.861000-05:00,1788326264539
588,1788352865663,1788353498565,1788352865663,MNQ,LONG,1.0,29082.5,29050.0,-65.0,0.0,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,sync,33.25,0.0,2026-09-01,2026-09-01,2026-09-02T07:41:05.663000-05:00,2026-09-02T07:51:38.565000-05:00,1788352865663
589,1788360064833,1788361167398,1788360064833,MNQ,LONG,1.0,29192.5,29115.0,-155.0,0.0,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,80.5,10.25,2026-09-01,2026-09-01,2026-09-02T09:41:04.833000-05:00,2026-09-02T09:59:27.398000-05:00,1788360064833
590,1788363437167,1788364170319,1788363437167,MNQ,LONG,1.0,29193.25,29143.75,-99.0,0.0,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,sync,49.75,1.0,2026-09-01,2026-09-01,2026-09-02T10:37:17.167000-05:00,2026-09-02T10:49:30.319000-05:00,1788363437167
591,1788444314627,1788445245677,1788444314627,MNQ,SHORT,1.0,29285.0,29355.0,-140.0,0.0,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,reconcile,sync,75.0,43.5,2026-09-02,2026-09-02,2026-09-03T09:05:14.627000-05:00,2026-09-03T09:20:45.677000-05:00,1788444314627
