id,session,condition,pnl_corrected,session_day_ct,created_ms,created_ct,source,plan_id,side,entry_price,exit_price,mae,mfe,close_reason
521,LONDON,S1,138.0,2026-08-18,1787127723941,2026-08-19 03:22:03,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29623.5,29554.5,16.0,71.25,sync
522,LONDON,S3,-60.5,2026-08-18,1787141851173,2026-08-19 07:17:31,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29558.25,29588.5,49.25,10.25,sync
523,NY,S1,118.0,2026-08-18,1787148412409,2026-08-19 09:06:52,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29466.5,29407.5,11.5,79.5,sync
524,NY,S1,273.5,2026-08-18,1787156295776,2026-08-19 11:18:15,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29650.75,29514.0,16.5,137.5,sync
525,ASIA,S1,-43.0,2026-08-19,1787181724764,2026-08-19 18:22:04,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONG,29647.0,29625.5,21.75,19.75,sync
526,ASIA,S2,-69.42857199999708,2026-08-19,1787189302092,2026-08-19 20:28:22,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29626.25,29660.964286,57.5,2.75,sync
527,ASIA,S2,-88.0,2026-08-19,1787197048862,2026-08-19 22:37:28,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29604.5,29648.5,44.25,5.0,sync
528,LONDON,S1,-97.5,2026-08-19,1787214391412,2026-08-20 03:26:31,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29503.25,29552.0,49.0,48.0,sync
529,LONDON,S2,168.0,2026-08-19,1787221593307,2026-08-20 05:26:33,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,SHORT,29539.25,29455.25,43.75,91.0,sync
530,,off-plan,13.0,2026-08-19,1787231522210,2026-08-20 08:12:02,system,UNRESOLVABLE,SHORT,29342.25,29335.75,6.25,10.0,sync
