id,source,plan_id,plan_version,cited_scenario_id,plan_session,entry_time,exit_time,pnl_corrected,session_day_17ct,condition
521,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,1787127723941,1787132616909,138.0,2026-08-19,reject
522,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,LONDON,1787141851173,1787142784995,-60.5,2026-08-19,acceptance
523,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,NY,1787148412409,1787148669853,118.0,2026-08-19,reject
524,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,NY,1787156295776,1787160091498,273.5,2026-08-19,reject
525,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,ASIA,1787181724764,1787183980456,-43.0,2026-08-20,reclaim
526,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,1787189302092,1787192187436,-69.42857199999708,2026-08-20,acceptance
527,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,1787197048862,1787198834030,-88.0,2026-08-20,acceptance
528,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,1787214391412,1787220704886,-97.5,2026-08-20,breakout_retest
529,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,LONDON,1787221593307,1787224917648,168.0,2026-08-20,reject
531,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,NY,1787233297689,1787233704110,-147.5,2026-08-20,reclaim
532,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,NY,1787236917055,1787249147278,311.0,2026-08-20,acceptance
533,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,ASIA,1787266758375,1787271163275,-54.5,2026-08-21,reject
534,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,ASIA,1787271748349,1787276995308,-66.0,2026-08-21,breakout_retest
535,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,ASIA,1787278123499,1787278857194,-31.0,2026-08-21,reject
536,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,1787279779762,1787286454106,124.0,2026-08-21,reject
537,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,1787289910852,1787294140952,-79.5,2026-08-21,reject
538,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,1787294426615,1787294701430,30.5,2026-08-21,reject
540,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,1787306680461,1787310076685,-98.0,2026-08-21,reclaim
541,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,1787311607785,1787318022696,-83.0,2026-08-21,reclaim
542,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,NY,1787320143292,1787322462787,0.0,2026-08-21,acceptance
543,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,NY,1787325163217,1787326470700,-88.5,2026-08-21,acceptance
544,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,NY,1787327265787,1787327509227,-61.5,2026-08-21,reject
547,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,NY,1787580585134,1787581850877,-139.5,2026-08-24,reject
548,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,NY,1787583313785,1787585344309,-54.5,2026-08-24,reject
549,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,S2,NY,1787588810349,1787594145174,169.5,2026-08-24,reject
550,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,1787622214378,1787625115057,-84.5,2026-08-25,reject
551,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,1787625786798,1787627344859,0.0,2026-08-25,reject
552,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,1787627825020,1787627988172,-7.5,2026-08-25,reject
553,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,1787630586859,1787630723285,-27.0,2026-08-25,reject
554,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,LONDON,1787641758864,1787646277376,-62.0,2026-08-25,reject
555,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,LONDON,1787649559289,1787651863713,168.0,2026-08-25,hold
556,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,1787655848500,1787656183070,-40.0,2026-08-25,breakout_retest
557,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,1787656476930,1787661054988,46.5,2026-08-25,breakout_retest
558,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,1787662601774,1787663702041,-22.5,2026-08-25,breakout_retest
559,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,NY,1787667281458,1787668202197,-78.5,2026-08-25,sweep_reclaim
560,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,NY,1787683989352,1787686216895,81.0,2026-08-25,reject
561,system,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S1,ASIA,1787703104205,1787703939651,-52.0,2026-08-26,sweep_reclaim
562,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,LONDON,1787728926645,1787742109269,-98.5,2026-08-26,breakout_retest
563,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S1,LONDON,1787742765384,1787744284225,-49.5,2026-08-26,breakout_retest
564,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,LONDON,1787822385609,1787823144273,-69.0,2026-08-27,reject
565,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,LONDON,1787827992777,1787828737791,-62.5,2026-08-27,reject
567,reconcile,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S1,ASIA,1787898124014,1787900267898,-42.0,2026-08-28,reject
568,reconcile,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,LONDON,1787919586429,1787919782166,-32.0,2026-08-28,sweep_reclaim
569,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,NY,1787924668684,1787924728951,63.0,2026-08-28,reject
570,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,NY,1787937021714,1787942914951,17.0,2026-08-28,reject
575,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,NY,1788188358333,1788189328351,32.5,2026-08-31,reject
578,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,NY,1788197208950,1788199848747,92.0,2026-08-31,sweep_reclaim
581,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,1788249164041,1788249993712,190.5,2026-09-01,reject
582,armed_entry,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,LONDON,1788258208858,1788260734279,129.5,2026-09-01,reject
583,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,LONDON,1788262504776,1788263807259,-82.5,2026-09-01,sweep_reclaim
584,reconcile,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,LONDON,1788269807953,1788269899464,106.0,2026-09-01,reject
585,armed_entry,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,NY,1788273068046,1788273640760,-77.5,2026-09-01,reject
586,reconcile,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,NY,1788287586496,1788288074189,-54.0,2026-09-01,sweep_reclaim
587,system,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,ASIA,1788326264539,1788329021861,-62.5,2026-09-02,reject
588,system,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,LONDON,1788352865663,1788353498565,-65.0,2026-09-02,reclaim
589,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,NY,1788360064833,1788361167398,-155.0,2026-09-02,breakout_retest
590,system,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S4,NY,1788363437167,1788364170319,-99.0,2026-09-02,breakout_retest
591,reconcile,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,NY,1788444314627,1788445245677,-140.0,2026-09-03,reject
