id,trade_date,session,attempt,reason,created_ct
69,2026-09-01,NY,2,"arm on S2 needs EXACTLY 2 legs (split contract), got 1","2026-09-01 11:59:57"
70,2026-09-01,NY,3,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here","2026-09-01 12:06:32"
71,2026-09-01,NY,1,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)","2026-09-01 12:33:07"
72,2026-09-01,NY,2,"stream interrupted: context deadline exceeded (Client.Timeout or context cancellation while reading body)","2026-09-01 12:43:07"
73,2026-09-01,NY,3,"S2 breakdown_continue: a close came back across 29125.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 12:52:48"
74,2026-09-01,NY,1,"S1 breakdown_continue: a close came back across 29100.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 12:59:12"
75,2026-09-01,ASIA,1,"S1 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 17:10:09"
76,2026-09-01,ASIA,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)","2026-09-01 17:15:51"
77,2026-09-01,ASIA,3,"S2 breakdown_continue: a close came back across 29130.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 17:23:14"
78,2026-09-01,ASIA,1,"scenario[0].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here","2026-09-01 17:47:32"
79,2026-09-01,ASIA,2,"scenario[0].confirm2.rule ""2x5m"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)","2026-09-01 17:53:33"
80,2026-09-01,ASIA,3,"arm legs on breakdown_continue — arm_legs_sweep_reclaim_only (the split entry is the sweep_reclaim contract; other conditions arm single)","2026-09-01 18:00:41"
81,2026-09-01,ASIA,1,"scenario[3].confirm2.rule ""touch"" not allowed for breakup_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m legal ONLY here","2026-09-01 20:59:42"
82,2026-09-01,ASIA,2,"scenario[3].confirm2.rule ""displacement"" invalid (touch|1x5m_close|2x5m_close|1m_mss|time_hold)","2026-09-01 21:05:17"
83,2026-09-01,ASIA,3,"S4 breakdown_continue: a close came back across 29047.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 21:14:51"
84,2026-09-01,ASIA,1,"arm on S1 needs EXACTLY 2 legs (split contract), got 1","2026-09-01 21:44:29"
85,2026-09-01,ASIA,2,"arm on S1 top-level entry/stop/target must equal leg 1's (legacy readers read the top-level)","2026-09-01 21:47:23"
86,2026-09-01,ASIA,3,"arm on S1 leg 2 must chain (wait_confirm true) on its confirm rule","2026-09-01 21:53:46"
87,2026-09-01,ASIA,1,"still failed after 2 retries: stream interrupted: unexpected EOF","2026-09-01 23:47:33"
88,2026-09-01,ASIA,2,"S3 breakup_continue: a close came back across 29068.05 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-01 23:55:06"
89,2026-09-01,ASIA,1,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}","2026-09-02 01:15:50"
90,2026-09-01,ASIA,2,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}","2026-09-02 01:15:53"
91,2026-09-01,ASIA,3,"still failed after 2 retries: API error (status 503): {""error"":{""message"":""Server Overloaded"",""type"":""service_unavailable_error"",""param"":null,""code"":""service_unavailable_error""}}","2026-09-02 01:15:57"
92,2026-09-02,LONDON,1,"S1 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 01:32:54"
93,2026-09-02,LONDON,2,"scenario[0].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)","2026-09-02 01:35:04"
94,2026-09-02,LONDON,3,"S2 breakdown_continue: a close came back across 29021.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 01:37:44"
95,2026-09-02,NY,1,"S4 broken level 29001.75 is 168.0 pts from price 29169.75 (> 5.0×ATR5m=119.4 — the retest is unreachable; author a nearer broken level)","2026-09-02 12:57:32"
96,2026-09-02,NY,2,"S4 breakdown_continue: a close came back across 29058.75 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 13:00:14"
97,2026-09-02,NY,1,"too many levels: 13 (max 12)","2026-09-02 13:56:32"
98,2026-09-02,NY,1,"S2 breakdown_continue: a close came back across 29167.66 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 14:22:33"
99,2026-09-02,NY,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)","2026-09-02 14:23:37"
100,2026-09-02,NY,3,"S3 breakdown_continue: a close came back across 29109.65 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 14:25:17"
101,2026-09-02,ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 18:00:42"
102,2026-09-02,ASIA,1,"S4 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 18:13:41"
103,2026-09-02,ASIA,1,"S3 breakdown_continue: a close came back across 29149.00 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 18:38:26"
104,2026-09-02,ASIA,2,"scenario[2].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)","2026-09-02 18:39:44"
105,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 19:35:00"
106,2026-09-02,ASIA,2,"scenario[1].confirm.rule ""1x5m_close"" — fade_requires_touch (a reject fade enters on the touch at the level, never on a close-confirm: touch-entry at the level (limit), stop behind structure by ≥2 ticks)","2026-09-02 19:35:38"
107,2026-09-02,ASIA,3,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 19:38:17"
108,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 20:03:55"
109,2026-09-02,ASIA,1,"S2 breakdown_continue: a close came back across 29176.29 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 20:36:47"
110,2026-09-02,ASIA,2,"S2 breakdown_continue: a close came back across 29141.25 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 20:58:23"
111,2026-09-02,ASIA,1,"S4 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 21:29:06"
112,2026-09-02,ASIA,1,"scenario[1].confirm2.rule ""1m_mss"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here","2026-09-02 21:44:50"
113,2026-09-02,ASIA,2,"S2 breakdown_continue: a close came back across 29132.50 — the breakdown is void; author a `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-02 21:46:34"
114,2026-09-02,ASIA,1,"S3 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (15.2 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-03 00:07:05"
115,2026-09-02,ASIA,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (21.5 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-03 00:33:15"
116,2026-09-03,ASIA,1,"gap-up at 29622.25 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below","2026-09-04 00:37:17"
117,2026-09-04,LONDON,1,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (34.7 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-04 07:52:37"
118,2026-09-04,NY,1,"scenario[0].confirm2.rule ""touch"" not allowed for breakdown_continue — entry law: 1 confirming close + displacement ≥ BD_MIN_DISP_ATR×ATR5m OR stop-entry (E7); 2x5m_close legal ONLY here","2026-09-04 08:07:20"
119,2026-09-04,NY,2,"S1 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)","2026-09-04 08:09:03"
120,2026-09-04,NY,3,"S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)","2026-09-04 08:11:45"
121,2026-09-04,LONDON,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)","2026-09-04 08:25:34"
122,2026-09-04,LONDON,2,"S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)","2026-09-04 08:28:32"
123,2026-09-04,NY,1,"gap-up at 29607.75 (> PDH 29601.00): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below","2026-09-04 08:41:25"
124,2026-09-04,NY,1,"S2 breakdown_continue: the tape shows NO confirming close beyond 29481.50 yet (1 confirming close(s) needed — BD_MIN_CLOSES, displacement + reclaim-check unchanged) — author it only after the displacement exists (or set entry_mode=immediate and accept the confirming-close trigger)","2026-09-04 09:37:05"
125,2026-09-04,NY,2,"S2 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)","2026-09-04 09:37:52"
126,2026-09-04,NY,3,"S2 breakdown_continue: measured displacement 0.00 pts < BD_MIN_DISP_ATR 1.0×ATR5m (40.9 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)","2026-09-04 09:43:31"
