id,plan_id,version,armed_under_version,session,scenario,side,entry_px,stop_px,target_px,state,state_reason,signal_id,fill_price,fill_quantity,created_at,updated_at,leg_index,leg_count,kind,condition,placement_seq
29,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,0,ASIA,S1,long,29044.0,29025.0,29099.85,cancelled,no order_update within stale window (reconnect/reconcile),d00abc07-fe32-4534-9eae-f6fa0e31a070,0.0,0,2026-09-01 23:21:03.013182766-05:00,2026-09-02 05:31:48.052876346+00:00,0,0,limit,,0
30,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,0,ASIA,S1,long,29035.25,29018.0,29071.41,cancelled,no order_update within stale window (reconnect/reconcile),c86c5cd0-6649-4615-949d-f15a5fc2f81a,0.0,0,2026-09-01 23:49:02.907625315-05:00,2026-09-02 05:07:07.058645402+00:00,1,2,,,0
31,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,0,ASIA,S3,long,29068.05,29044.0,29131.66,cancelled,no order_update within stale window (reconnect/reconcile),dc8405f1-2c8b-44ab-a376-ca2f4804c9d8,0.0,0,2026-09-02 00:16:32.809202456-05:00,2026-09-02 05:31:48.052988525+00:00,0,0,limit,,0
32,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,0,NY,S3,long,29070.0,29019.66913116825,29171.25,cancelled,session ended (EOD flat),,0.0,0,2026-09-02 10:30:30.558472118-05:00,2026-09-02 19:45:01.048940843+00:00,1,2,,,0
33,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,0,NY,S3,short,29166.8,29199.5,29058.75,cancelled,"level accepted through — marketable, never placed",,0.0,0,2026-09-02 14:10:29.738953457-05:00,2026-09-02 19:10:29.739748922+00:00,0,0,limit,,0
34,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,0,ASIA,S1,short,29199.5,29226.0,29132.5,cancelled,"level accepted through — marketable, never placed",,0.0,0,2026-09-02 22:15:01.042240848-05:00,2026-09-03 03:15:01.045828857+00:00,0,0,limit,,0
35,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,0,NY,S1,short,29285.0,29351.62847289964,29144.5,filled,,f2b1eb20-f89e-4a88-bcff-5ce971d17861,29285.0,0,2026-09-03 09:02:54.662235809-05:00,2026-09-03 15:28:29.204123431+00:00,0,0,limit,,0
36,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,short,29351.05,29418.934363141587,29209.25,cancelled,"level accepted through — marketable, never placed",,0.0,0,2026-09-03 09:20:47.70823979-05:00,2026-09-03 14:20:47.71075005+00:00,0,0,limit,,0
37,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,7,NY,S3,short,29543.75,29592.5,29397.11,cancelled,cancelled in NT8,43512e1d-123f-4925-b852-a7f953735c6f,0.0,0,2026-09-03 11:58:33.110688496-05:00,2026-09-03 17:15:01.127106542+00:00,0,0,limit,,0
38,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,3,NY,S2,SHORT,29591.02,29645.62037041913,29481.5,cancelled,gate changed: rr,e38f1774-9b80-46b2-907a-5fc35485a188,0.0,0,2026-09-04 10:05:00.181030108-05:00,2026-09-04 15:06:05.160526516+00:00,0,0,stop_entry,sweep_reclaim,0
39,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,3,NY,S1,SHORT,29657.38,29720.5,29503.38,cancelled,no order_update within stale window (reconnect/reconcile),89339298-8a82-490f-ad06-91b29c81fa33,0.0,0,2026-09-04 09:10:08.770332577-05:00,2026-09-04 14:26:06.286255893+00:00,0,0,limit,reject,0
62,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,f869f788-7715-44b3-8018-da6e8f3c694f,0.0,0,2026-09-04 10:10:04.740887461-05:00,2026-09-04 15:12:04.432623481+00:00,0,0,stop_entry,reclaim,1
65,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,c1d016b2-fd6f-43e1-945c-4475b38973f8,0.0,0,2026-09-04 10:15:01.051822819-05:00,2026-09-04 15:18:03.633384705+00:00,0,0,stop_entry,reclaim,2
67,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,a0054682-f336-49f3-980e-a290f08dfe31,0.0,0,2026-09-04 10:16:03.798180025-05:00,2026-09-04 15:18:03.633665035+00:00,0,0,stop_entry,reclaim,3
70,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,gate changed: rr,ccaab035-4f94-4a93-aac7-12086c2591e7,0.0,0,2026-09-04 10:20:03.552095773-05:00,2026-09-04 15:22:03.240860509+00:00,0,0,stop_entry,reclaim,4
73,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.25,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),719f4bbb-069a-4c81-8df0-f0d1e112335a,0.0,0,2026-09-04 10:25:01.027419193-05:00,2026-09-04 15:40:01.394607446+00:00,0,0,stop_entry,reclaim,5
75,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),c794d0ce-0ca7-4c03-894c-25ddf4468935,0.0,0,2026-09-04 10:26:02.820174595-05:00,2026-09-04 15:42:01.195667232+00:00,0,0,stop_entry,reclaim,6
77,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,0,NY,S2,SHORT,29591.02,29645.5759174815,29481.5,cancelled,no order_update within stale window (reconnect/reconcile),4646df81-f408-48bc-9834-477105ed801c,0.0,0,2026-09-04 10:28:02.470581389-05:00,2026-09-04 15:44:01.240221148+00:00,0,0,stop_entry,reclaim,7
