rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
431608,MNQ,1m,1788127200000,29535.0,29543.5,29501.0,29503.5,2920.0,
431609,MNQ,1m,1788127260000,29503.5,29541.75,29503.5,29531.75,1969.0,
431610,MNQ,1m,1788127320000,29531.75,29537.75,29502.0,29502.5,1890.0,
431611,MNQ,1m,1788127380000,29502.0,29503.0,29455.5,29475.0,5114.0,
431612,MNQ,1m,1788127440000,29474.5,29478.5,29463.25,29466.5,1870.0,
431613,MNQ,1m,1788127500000,29465.5,29472.5,29461.5,29464.0,1211.0,
431614,MNQ,1m,1788127560000,29465.0,29469.5,29454.75,29468.0,1701.0,
431615,MNQ,1m,1788127620000,29467.25,29470.5,29455.0,29460.75,954.0,
431616,MNQ,1m,1788127680000,29461.75,29469.5,29457.75,29464.5,881.0,
431617,MNQ,1m,1788127740000,29465.0,29465.0,29447.0,29457.5,1612.0,
431618,MNQ,1m,1788127800000,29457.75,29460.0,29449.25,29453.25,1075.0,
431619,MNQ,1m,1788127860000,29452.25,29455.25,29447.25,29451.0,836.0,
431620,MNQ,1m,1788127920000,29450.5,29471.0,29447.25,29465.25,1593.0,
431621,MNQ,1m,1788127980000,29466.25,29470.0,29465.25,29468.25,577.0,
431622,MNQ,1m,1788128040000,29469.0,29471.25,29465.75,29470.75,561.0,
431623,MNQ,1m,1788128100000,29470.75,29475.75,29468.25,29474.75,621.0,
431624,MNQ,1m,1788128160000,29475.0,29477.25,29467.0,29472.75,817.0,
431625,MNQ,1m,1788128220000,29474.0,29477.5,29469.25,29474.25,890.0,
431626,MNQ,1m,1788128280000,29474.5,29474.5,29469.0,29472.5,421.0,
431627,MNQ,1m,1788128340000,29472.25,29490.0,29471.75,29484.75,2223.0,
431628,MNQ,1m,1788128400000,29486.0,29495.0,29484.5,29489.5,1482.0,
431629,MNQ,1m,1788128460000,29489.75,29492.0,29488.25,29488.25,592.0,
431630,MNQ,1m,1788128520000,29488.75,29492.0,29483.5,29489.0,879.0,
431631,MNQ,1m,1788128580000,29489.75,29493.5,29486.5,29486.75,613.0,
431632,MNQ,1m,1788128640000,29487.5,29490.0,29478.75,29479.5,683.0,
431633,MNQ,1m,1788128700000,29480.25,29483.25,29475.5,29477.0,907.0,
431634,MNQ,1m,1788128760000,29478.0,29481.5,29470.0,29478.0,915.0,
431635,MNQ,1m,1788128820000,29478.0,29478.75,29470.75,29472.0,459.0,
431636,MNQ,1m,1788128880000,29472.75,29479.75,29472.25,29476.75,575.0,
431637,MNQ,1m,1788128940000,29477.0,29477.25,29472.5,29473.25,349.0,
431638,MNQ,1m,1788129000000,29474.0,29476.75,29468.0,29474.25,955.0,
431639,MNQ,1m,1788129060000,29474.5,29475.0,29468.75,29472.5,774.0,
431640,MNQ,1m,1788129120000,29473.25,29476.25,29472.25,29474.0,379.0,
431641,MNQ,1m,1788129180000,29474.75,29475.5,29469.75,29472.0,301.0,
431642,MNQ,1m,1788129240000,29473.0,29473.5,29452.25,29455.5,1849.0,
431643,MNQ,1m,1788129300000,29456.0,29462.5,29451.0,29452.25,1349.0,
431644,MNQ,1m,1788129360000,29452.75,29454.25,29432.75,29434.75,2713.0,
431645,MNQ,1m,1788129420000,29435.0,29443.5,29433.5,29441.25,1269.0,
431646,MNQ,1m,1788129480000,29442.0,29450.75,29442.0,29448.75,1298.0,
431647,MNQ,1m,1788129540000,29448.75,29451.5,29443.5,29446.0,799.0,
431648,MNQ,1m,1788129600000,29446.0,29451.0,29438.75,29449.5,1286.0,
431649,MNQ,1m,1788129660000,29450.0,29454.0,29442.75,29444.25,892.0,
431650,MNQ,1m,1788129720000,29443.5,29447.25,29427.0,29431.0,2008.0,
431651,MNQ,1m,1788129780000,29431.5,29438.5,29430.25,29437.0,1176.0,
431652,MNQ,1m,1788129840000,29436.5,29438.75,29434.25,29437.0,347.0,
431653,MNQ,1m,1788129900000,29436.5,29441.0,29434.25,29440.5,597.0,
431654,MNQ,1m,1788129960000,29440.0,29453.25,29440.0,29445.75,1622.0,
431655,MNQ,1m,1788130020000,29446.0,29448.5,29442.75,29447.5,439.0,
431656,MNQ,1m,1788130080000,29447.0,29447.5,29441.75,29445.0,400.0,
431657,MNQ,1m,1788130140000,29444.5,29446.75,29439.25,29443.0,497.0,
431658,MNQ,1m,1788130200000,29443.25,29446.5,29440.25,29442.75,444.0,
431659,MNQ,1m,1788130260000,29443.25,29443.25,29437.75,29442.0,502.0,
431660,MNQ,1m,1788130320000,29442.5,29446.0,29440.5,29442.75,321.0,
431661,MNQ,1m,1788130380000,29442.25,29447.25,29441.75,29446.25,276.0,
431662,MNQ,1m,1788130440000,29446.0,29447.25,29444.75,29446.5,245.0,
431663,MNQ,1m,1788130500000,29445.75,29447.5,29435.0,29441.0,844.0,
