source,line,text
/home/hoang/nofx/data/nofx_2026-09-02.log,41,09-02 00:01:07 [INFO] clone-c39/main.go:240 🔐 BOOT INTEGRITY OK — rev aeb11179df5a · built 2026-09-02T04:12:33Z · expected aeb11179df5a · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,75,"09-02 00:01:07 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,115,09-02 00:01:07 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
/home/hoang/nofx/data/nofx_2026-09-02.log,132,"09-02 00:01:07 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
/home/hoang/nofx/data/nofx_2026-09-02.log,248,09-02 00:03:07 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,400,09-02 00:05:07 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,548,09-02 00:07:07 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✕ armed S1 cancelled — no order_update for 15m (reconnect/reconcile)
/home/hoang/nofx/data/nofx_2026-09-02.log,817,09-02 00:10:21 [ERRO] clonepnl/main.go:236 🔐 BOOT INTEGRITY REFUSED — rev 23f56f49a536 · built 2026-09-02T05:06:06Z · expected aeb11179df5a · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,818,"09-02 00:10:21 [ERRO] clonepnl/main.go:237 🔐 TRADING REFUSED — binary is revision ""23f56f49a536"" but the intended release is ""aeb11179df5a"" — a stale binary is running"
/home/hoang/nofx/data/nofx_2026-09-02.log,845,"09-02 00:10:21 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
