opportunity,plan_id,version,date,session,born,start,end,scenario,direction,condition,quality,arm_enabled,bias,doc
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,1788325096814,1788325200000,1788326386268,S1,long,reject,A,True,long,"{""id"": ""S1"", ""trigger"": ""Price touches 29044.00 (SWG-L\u00b715m) and rejects upward"", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29068.05, 29099.85], ""invalid"": ""5m close below 29029.88 invalidates the bounce"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29044, ""side"": ""below""}, ""quality"": ""A"", ""arm"": {""enabled"": true, ""entry"": 29044, ""stop"": 29025, ""target"": 29099.85, ""wait_confirm"": true}}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S2,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,1788325096814,1788325200000,1788326386268,S2,long,reclaim,C,False,long,"{""id"": ""S2"", ""trigger"": ""Price reclaims 29062.75 (OR-L) with a 5m close above"", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29068.05, 29099.85], ""invalid"": ""5m close below 29044.00 invalidates the reclaim"", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29062.75, ""side"": ""above""}, ""quality"": ""C""}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,1788325096814,1788325200000,1788326386268,S3,long,reject,B,True,long,"{""id"": ""S3"", ""trigger"": ""Price touches 29068.05 (VWAP\u22121\u03c3) and rejects upward"", ""condition"": ""reject"", ""direction"": ""long"", ""target_chain"": [29099.85, 29113.23], ""invalid"": ""5m close below 29062.75 invalidates the rejection"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29068.05, ""side"": ""below""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29068.05, ""stop"": 29044, ""target"": 29131.66, ""wait_confirm"": true}}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S1,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,1788326386268,1788326386268,1788328032316,S1,long,sweep_reclaim,B,False,long,"{""id"": ""S1"", ""trigger"": ""Sweep of ONL 29035.25 followed by a 5m close back above 29035.25; entry on that reclaim close."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29065.3, 29085, 29097.88], ""invalid"": ""A 5m close below 29035.25 before the reclaim close is a breakdown, not a sweep; S1 void."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29035.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 29035.25, ""side"": ""above""}}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S2,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,1788326386268,1788326386268,1788328032316,S2,long,reclaim,B,False,long,"{""id"": ""S2"", ""trigger"": ""After a dip back under PDC 29058.75, a 5m close back above 29058.75; entry on that close."", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29065.3, 29085, 29097.88, 29113.23], ""invalid"": ""A 5m close back below 29035.25 before reaching VWAP\u22121\u03c3 29065.30 voids S2."", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29058.75, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S3,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,1788326386268,1788326386268,1788328032316,S3,long,breakout_retest,B,False,long,"{""id"": ""S3"", ""trigger"": ""A 5m close above VWAP 29097.88 followed by a retest of 29097.88 that holds; entry at the retest or stop-entry."", ""condition"": ""breakout_retest"", ""direction"": ""long"", ""target_chain"": [29113.23, 29130.45, 29171.25], ""invalid"": ""A 5m close back below the 1h bull OB 29085.00 voids S3."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29097.88, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S1,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,1788328032316,1788328032316,1788331881943,S1,long,sweep_reclaim,B,False,long,"{""id"": ""S1"", ""trigger"": ""Price sweeps ONL 29035.25 with a wick below, then closes back above it"", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29065.05, 29085, 29096.67], ""invalid"": ""5m close below 29001.75 PDL"", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29035.25, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1x5m_close"", ""ref_price"": 29035.25, ""side"": ""above""}}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S2,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,1788328032316,1788328032316,1788331881943,S2,long,reclaim,B,False,long,"{""id"": ""S2"", ""trigger"": ""Pullback to PDC 29058.75 and 5m close back above it"", ""condition"": ""reclaim"", ""direction"": ""long"", ""target_chain"": [29096.67, 29113.23, 29128.29, 29171.25], ""invalid"": ""5m close below 29035.25 ONL"", ""confirm"": {""rule"": ""1x5m_close"", ""ref_price"": 29058.75, ""side"": ""above""}, ""quality"": ""B""}"
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S0,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,LONDON,1788331064942,1788332400000,1788351326915,S0,long,hold,B,False,neutral,"{""id"": ""S0"", ""trigger"": ""none"", ""condition"": ""hold"", ""direction"": ""long"", ""target_chain"": null, ""invalid"": ""n/a"", ""quality"": ""B""}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S1,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,1788331881943,1788331881943,1788332400000,S1,long,sweep_reclaim,B,False,long,"{""id"": ""S1"", ""trigger"": ""Price sweeps 29016.50 ONL, wicks below, then closes back above on 5m (reclaim close on decision TF)."", ""condition"": ""sweep_reclaim"", ""direction"": ""long"", ""target_chain"": [29058.75, 29091, 29113.23], ""invalid"": ""5m close below 28970.38 OB(bull)\u00b74h invalidates the long."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29016.5, ""side"": ""below""}, ""quality"": ""B"", ""confirm2"": {""rule"": ""1m_mss"", ""ref_price"": 29016.5, ""side"": ""above""}}"
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S2,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,1788331881943,1788331881943,1788332400000,S2,short,reject,B,True,long,"{""id"": ""S2"", ""trigger"": ""Price rallies into 29317.25 RTH-H and rejects with a 5m close back below the level."", ""condition"": ""reject"", ""direction"": ""short"", ""target_chain"": [29212.5, 29171.25, 29124.64], ""invalid"": ""2x5m close above 29324.50 OB(bull)\u00b71h invalidates the short."", ""confirm"": {""rule"": ""touch"", ""ref_price"": 29317.25, ""side"": ""above""}, ""quality"": ""B"", ""arm"": {""enabled"": true, ""entry"": 29317.25, ""stop"": 29342, ""target"": 29212.5, ""wait_confirm"": true}}"
