plan_id,version,trade_date,session,created_at,lifecycle,trigger_reason,start,end,scenarios
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,2026-09-02 04:58:16.814850757+00:00,active,level_event,1788325200000,1788326386268,3
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,2026-09-02 05:19:46.268265315+00:00,active,level_event,1788326386268,1788328032316,3
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,2026-09-02 05:47:12.316108722+00:00,active,"rearmed:2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)",1788328032316,1788331881943,2
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,LONDON,2026-09-02 06:37:44.942514709+00:00,no_trade,planner_fail_closed,1788332400000,1788351326915,1
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-01,ASIA,2026-09-02 06:51:21.943448972+00:00,active,level_event,1788331881943,1788332400000,2
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,LONDON,2026-09-02 12:15:26.91598776+00:00,active,owner_reset,1788351326915,1788351719485,3
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,LONDON,2026-09-02 12:21:59.485958261+00:00,active,level_event,1788351719485,1788353043782,5
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,LONDON,2026-09-02 12:44:03.782123565+00:00,active,level_event,1788353043782,1788354110097,5
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,LONDON,2026-09-02 13:01:50.097892616+00:00,active,level_event,1788354110097,1788355247995,3
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,NY,2026-09-02 13:09:44.227918797+00:00,dormant,"dormant:flip:flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long",1788355800000,1788356728139,4
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,LONDON,2026-09-02 13:20:47.995221513+00:00,active,level_event,1788355247995,1788355800000,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,NY,2026-09-02 13:45:28.139602858+00:00,active,level_event,1788356728139,1788358878759,3
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,NY,2026-09-02 14:21:18.759691004+00:00,active,level_event,1788358878759,1788360352139,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,NY,2026-09-02 14:45:52.139962106+00:00,active,level_event,1788360352139,1788362553001,2
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,NY,2026-09-02 15:22:33.001174371+00:00,active,level_event,1788362553001,1788364253844,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,NY,2026-09-02 15:50:53.844862786+00:00,active,level_event,1788364253844,1788366019936,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-02,NY,2026-09-02 16:20:19.936863683+00:00,active,level_event,1788366019936,1788367630850,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-02,NY,2026-09-02 16:47:10.850446345+00:00,active,level_event,1788367630850,1788369910337,2
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-02,NY,2026-09-02 17:25:10.337787249+00:00,active,level_event,1788369910337,1788372135540,3
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-02,NY,2026-09-02 18:02:15.540077361+00:00,active,level_event,1788372135540,1788373716708,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,2026-09-02,NY,2026-09-02 18:28:36.708566299+00:00,active,level_event,1788373716708,1788375419111,4
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,2026-09-02,NY,2026-09-02 18:56:59.111797481+00:00,active,level_event,1788375419111,1788378300000,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,ASIA,2026-09-02 21:36:02.903601661+00:00,active,ASIA_scheduled_read,1788386400000,1788387509638,4
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-02,ASIA,2026-09-02 22:18:29.638859317+00:00,active,level_event,1788387509638,1788389456643,2
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-02,ASIA,2026-09-02 22:50:56.64361078+00:00,active,level_event,1788389456643,1788390282447,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-02,ASIA,2026-09-02 23:04:42.447685949+00:00,active,level_event,1788390282447,1788391265610,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-02,ASIA,2026-09-02 23:21:05.610804944+00:00,active,level_event,1788391265610,1788392613086,4
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-02,ASIA,2026-09-02 23:43:33.086273923+00:00,active,level_event,1788392613086,1788393759227,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-02,ASIA,2026-09-03 00:02:39.227442626+00:00,active,level_event,1788393759227,1788397555400,2
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-02,ASIA,2026-09-03 01:05:55.400310302+00:00,dormant,"dormant:flip:flip-condition: 2x5m close above 29175.66 (buffer 0.5×ATR14, 2× 5m closes) → bias long",1788397555400,1788399500096,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-02,ASIA,2026-09-03 01:38:20.096131858+00:00,active,level_event,1788399500096,1788400983446,2
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,2026-09-02,ASIA,2026-09-03 02:03:03.446167573+00:00,active,level_event,1788400983446,1788402718603,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,11,2026-09-02,ASIA,2026-09-03 02:31:58.603310651+00:00,active,level_event,1788402718603,1788403797931,4
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,2026-09-02,ASIA,2026-09-03 02:49:57.931222128+00:00,active,level_event,1788403797931,1788405162599,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,2026-09-02,ASIA,2026-09-03 03:12:42.599271575+00:00,active,"rearmed:5m_close close back below 29211.00 (buffer 0.5×ATR14, 2× 5m closes)",1788405162599,1788412125841,3
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,14,2026-09-02,ASIA,2026-09-03 05:08:45.841316629+00:00,active,level_event,1788412125841,1788413654308,4
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,15,2026-09-02,ASIA,2026-09-03 05:34:14.308317854+00:00,dormant,"dormant:death:death-condition: 5m_close close above 29132.50 (buffer 0.5×ATR14, 2× 5m closes)",1788413654308,1788418800000,2
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,LONDON,2026-09-03 06:34:53.723760378+00:00,dormant,"dormant:flip:flip-condition: 2x5m close above 29221.98 (buffer 0.5×ATR14, 2× 5m closes) → bias long",1788418800000,1788441344050,2
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-03,NY,2026-09-03 13:05:19.635757107+00:00,dormant,"dormant:death:death-condition: 2x5m close above 29293.00 (buffer 0.5×ATR14, 2× 5m closes)",1788442200000,1788443105993,3
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,LONDON,2026-09-03 13:15:44.050765563+00:00,active,level_event,1788441344050,1788442200000,3
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-03,NY,2026-09-03 13:45:05.993352176+00:00,active,level_event,1788443105993,1788444931491,3
