phase,variant,opportunity,send_checkpoints,post_checkpoint_entry_reach,first_reach_time_ms,bar_rowid,price_reference,fill_count_lower,fill_count_upper,scope
all,implemented,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,2,True,1788325440000,434792,29044.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,16,True,1788376200000,435638,29166.8,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,5,True,1788444660000,440241,29285.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,9,True,1788445260000,440273,29351.05,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,5,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,3,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,implemented,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,40,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,2,True,1788325440000,434792,29044.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,16,True,1788376200000,435638,29166.8,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,5,True,1788444660000,440241,29285.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,9,True,1788445260000,440273,29351.05,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,5,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
all,corrected,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,3,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
even,implemented,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,1,True,1788325440000,434792,29044.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
even,implemented,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,8,True,1788376200000,435638,29166.8,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
even,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,2,True,1788444660000,440241,29285.0,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
even,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,4,True,1788445320000,440276,29351.05,0,1,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
even,implemented,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,2,False,,,,0,0,independent opportunity; subsequent cancels/gates/queue not resolved; not portfolio bound
