arm_id,opportunity,observed_cancel_updated_at,latest_pre_cancel_snapshot,snapshot_received_age_ms,current_verdict_at_observed_time,action,matched_order_ids,limitation
29,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,2026-09-02 05:31:48.052876346+00:00,,,unknown,no_cancel,,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
30,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S1,2026-09-02 05:07:07.058645402+00:00,,,unknown,no_cancel,,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
31,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,2026-09-02 05:31:48.052988525+00:00,,,unknown,no_cancel,,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
39,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,2026-09-04 14:26:06.286255893+00:00,1398,29354,alive,no_cancel,b083ac38bf7a41bd8cc3a87a63d37c18,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
73,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:40:01.394607446+00:00,1603,23099,alive,no_cancel,299043a487fc44499e1806077a5f28ab,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
75,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:42:01.195667232+00:00,1613,22906,alive,no_cancel,0258b4cb048d4971a5aeef0db025d92b,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
77,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:44:01.240221148+00:00,1623,22901,alive,no_cancel,81b63886467d4620bcb08df09c583c97,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
79,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:46:01.18619857+00:00,1633,22958,alive,no_cancel,5b30d833d96f41cba14541b8652024c0,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
81,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:48:00.742367108+00:00,1643,22299,alive,no_cancel,6a8ca44d43fd44cd932f15a84c6cdb6d,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
83,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:50:00.531285372+00:00,1653,21557,alive,no_cancel,c39974001a914523a8baac57660deddb,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
85,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,2026-09-04 15:52:00.520218777+00:00,1663,21952,alive,no_cancel,4c4cea3b76b54ae788fc3ec8e3367d45,observed cancellation clock; assumes 30s configured interval and cache survived; not counterfactual inventory
