opportunity,checkpoints,statuses,pass_local_count,first_pass_ct,actual_send_checkpoints,corrected_send_checkpoints,guard_values,first_actual_send_ct,fills,pnl_points
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,20,"{""waiting_confirm"": 3, ""passes_known_local_checks"": 7, ""invalidation_refused"": 10}",7,2026-09-02T00:03:00-05:00,2,2,cancel_marketable;outside_band;send_limit,2026-09-02T00:04:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,20,"{""waiting_confirm"": 15, ""invalidation_refused"": 5}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S2,8,"{""waiting_confirm"": 8}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S3,6,"{""waiting_confirm"": 6}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S4,23,"{""waiting_confirm"": 23}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S3,17,"{""waiting_confirm"": 17}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S1,19,"{""waiting_confirm"": 19}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S4,16,"{""waiting_confirm"": 11, ""recorded_dormant_requires_fresh_authorization"": 5}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,9,"{""waiting_confirm"": 9}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S4,24,"{""waiting_confirm"": 24}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,37,"{""waiting_confirm"": 8, ""rr_refused"": 29}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S2,37,"{""waiting_confirm"": 37}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S2,28,"{""waiting_confirm"": 28}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S3,56,"{""rr_refused"": 30, ""waiting_confirm"": 24, ""passes_known_local_checks"": 2}",2,2026-09-02T10:31:00-05:00,0,0,outside_band,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S4,27,"{""waiting_confirm"": 27}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
