date,session,start_ct,end_exclusive_ct,n,expected_wall_minutes,first_bar_rowid,last_bar_rowid,first_open,high,low,last_close,net,volume,availability
2026-09-02,ASIA_carry,2026-09-02T00:00:00-05:00,2026-09-02T02:00:00-05:00,120,120,434788,434907,29059.0,29105.0,29016.5,29076.75,17.75,96627.0,retained final bars; original arrival time unrecorded
2026-09-02,LONDON,2026-09-02T02:00:00-05:00,2026-09-02T08:30:00-05:00,390,390,434908,435297,29076.75,29149.25,28927.25,29098.25,21.5,353638.0,retained final bars; original arrival time unrecorded
2026-09-02,NY,2026-09-02T08:30:00-05:00,2026-09-02T14:45:00-05:00,375,375,435298,435672,29098.25,29211.75,29017.25,29175.0,76.75,1317605.0,retained final bars; original arrival time unrecorded
2026-09-02,ASIA_evening,2026-09-02T17:00:00-05:00,2026-09-03T00:00:00-05:00,420,420,435748,438385,29175.75,29255.0,29132.5,29207.5,31.75,281773.0,retained final bars; original arrival time unrecorded
2026-09-03,ASIA_carry,2026-09-03T00:00:00-05:00,2026-09-03T02:00:00-05:00,120,120,438401,438791,29207.75,29208.75,29075.0,29173.5,-34.25,142706.0,retained final bars; original arrival time unrecorded
2026-09-03,LONDON,2026-09-03T02:00:00-05:00,2026-09-03T08:30:00-05:00,390,390,438803,440096,29173.25,29293.0,29101.75,29248.75,75.5,379459.0,retained final bars; original arrival time unrecorded
2026-09-03,NY,2026-09-03T08:30:00-05:00,2026-09-03T14:45:00-05:00,375,375,440102,441825,29249.5,29585.0,29199.25,29524.0,274.5,1444886.0,retained final bars; original arrival time unrecorded
2026-09-03,ASIA_evening,2026-09-03T17:00:00-05:00,2026-09-04T00:00:00-05:00,420,420,441465,443013,29500.0,29601.0,29481.5,29597.25,97.25,187419.0,retained final bars; original arrival time unrecorded
2026-09-04,ASIA_carry,2026-09-04T00:00:00-05:00,2026-09-04T02:00:00-05:00,120,120,443031,443421,29597.75,29644.25,29573.75,29576.0,-21.75,79870.0,retained final bars; original arrival time unrecorded
2026-09-04,LONDON,2026-09-04T02:00:00-05:00,2026-09-04T08:30:00-05:00,390,390,443433,444723,29577.25,29720.0,29502.0,29588.25,11.0,341180.0,retained final bars; original arrival time unrecorded
2026-09-04,NY,2026-09-04T08:30:00-05:00,2026-09-04T14:45:00-05:00,230,375,444732,445497,29588.5,29692.0,29477.75,29531.5,-57.0,987735.0,retained final bars; original arrival time unrecorded
2026-09-04,ASIA_evening,2026-09-04T17:00:00-05:00,2026-09-05T00:00:00-05:00,0,420,,,,,,,,,retained final bars; original arrival time unrecorded
