id,plan_id,version,session,scenario,side,entry_px,stop_px,target_px,state,state_reason,entry_class,kind,condition,leg_index,leg_count,fill_price,created_ct,updated_ct,boot_id,armed_under_version,placement_seq,raw_created,raw_updated
29,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,ASIA,S1,long,29044.0,29025.0,29099.85,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,limit,"",0,0,0.0,"2026-09-01 23:21:03","2026-09-02 00:31:48","",0,0,"2026-09-01 23:21:03.013182766-05:00","2026-09-02 05:31:48.052876346+00:00"
30,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,ASIA,S1,long,29035.25,29018.0,29071.41,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,"","",1,2,0.0,"2026-09-01 23:49:02","2026-09-02 00:07:07","",0,0,"2026-09-01 23:49:02.907625315-05:00","2026-09-02 05:07:07.058645402+00:00"
31,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,ASIA,S3,long,29068.05,29044.0,29131.66,cancelled,"no order_update within stale window (reconnect/reconcile)",armed_fill,limit,"",0,0,0.0,"2026-09-02 00:16:32","2026-09-02 00:31:48","",0,0,"2026-09-02 00:16:32.809202456-05:00","2026-09-02 05:31:48.052988525+00:00"
32,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S3,long,29070.0,29019.6691311683,29171.25,cancelled,"session ended (EOD flat)",armed_fill,"","",1,2,0.0,"2026-09-02 10:30:30","2026-09-02 14:45:01",2932498-1788354631127,0,0,"2026-09-02 10:30:30.558472118-05:00","2026-09-02 19:45:01.048940843+00:00"
33,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,NY,S3,short,29166.8,29199.5,29058.75,cancelled,"level accepted through — marketable, never placed",armed_fill,limit,"",0,0,0.0,"2026-09-02 14:10:29","2026-09-02 14:10:29",2932498-1788354631127,0,0,"2026-09-02 14:10:29.738953457-05:00","2026-09-02 19:10:29.739748922+00:00"
34,2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,13,ASIA,S1,short,29199.5,29226.0,29132.5,cancelled,"level accepted through — marketable, never placed",armed_fill,limit,"",0,0,0.0,"2026-09-02 22:15:01","2026-09-02 22:15:01",1093919-1788402772643,0,0,"2026-09-02 22:15:01.042240848-05:00","2026-09-03 03:15:01.045828857+00:00"
35,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,NY,S1,short,29285.0,29351.6284728996,29144.5,filled,"",armed_fill,limit,"",0,0,29285.0,"2026-09-03 09:02:54","2026-09-03 10:28:29",1217620-1788409497132,0,0,"2026-09-03 09:02:54.662235809-05:00","2026-09-03 15:28:29.204123431+00:00"
36,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,short,29351.05,29418.9343631416,29209.25,cancelled,"level accepted through — marketable, never placed",armed_fill,limit,"",0,0,0.0,"2026-09-03 09:20:47","2026-09-03 09:20:47",1217620-1788409497132,0,0,"2026-09-03 09:20:47.70823979-05:00","2026-09-03 14:20:47.71075005+00:00"
37,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S3,short,29543.75,29592.5,29397.11,cancelled,"cancelled in NT8",armed_fill,limit,"",0,0,0.0,"2026-09-03 11:58:33","2026-09-03 12:15:01",1654355-1788451833634,7,0,"2026-09-03 11:58:33.110688496-05:00","2026-09-03 17:15:01.127106542+00:00"
38,2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S2,SHORT,29591.02,29645.6203704191,29481.5,cancelled,"gate changed: rr","",stop_entry,sweep_reclaim,0,0,0.0,"2026-09-04 10:05:00","2026-09-04 10:06:05",878451-1788528611847,3,0,"2026-09-04 10:05:00.181030108-05:00","2026-09-04 15:06:05.160526516+00:00"
