plan_id,version,trade_date,session,lifecycle,trigger_reason,degraded,dark_regime_count,created_ct,bias,conviction,day_type,n_scen,longs,shorts,arms_enabled
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,LONDON,no_trade,planner_fail_closed,0,1,"2026-09-01 01:49:31","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,LONDON,active,level_event,0,1,"2026-09-01 02:48:27","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""2x5m close above 29477.00 flips bias long""}",,balance,3,1,2,1
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,LONDON,dormant,"dormant:flip:flip-condition: 2x5m close above 29231.63 (buffer 0.5×ATR14, 2× 5m closes) → bias long",0,1,"2026-09-01 04:52:43","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""2x5m close above 29231.63 flips to long scalp""}",,trend,2,0,2,1
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,LONDON,active,level_event,0,1,"2026-09-01 05:34:30","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""2x5m closes above 29354.00 RTH-L flip to long; any 5m close above 29433.23 VWAP kills the plan""}",,trend-down,3,1,2,3
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,LONDON,active,level_event,0,1,"2026-09-01 07:07:32","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""5m close above 29258.00 flips to long""}",,trend-down,3,2,1,1
2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-01,LONDON,active,level_event,0,1,"2026-09-01 07:56:33","{""direction"":""short"",""conviction"":""medium"",""flip_condition"":""5m close above 29138.00 flips local bias to long/bounce""}",,trend,2,0,2,2
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,NY,active,NY_scheduled_read,0,1,"2026-09-01 08:06:46","{""direction"":""short"",""conviction"":""medium"",""flip_condition"":""Two 5m closes above 29138.00 SWG-L·5m flip to long.""}",,trend-down,4,1,3,2
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,NY,dormant,"dormant:death:death-condition: 2x5m close above 29125.00 (buffer 0.5×ATR14, 2× 5m closes)",0,1,"2026-09-01 08:53:16","{""direction"":""short"",""conviction"":""medium"",""flip_condition"":""5m close above 29095.50 EQL·4h flips bias to long""}",,trend-down,4,2,2,2
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,NY,dormant,"dormant:flip:flip-condition: 2x5m close above 29177.50 (buffer 0.5×ATR14, 8× 5m closes) → bias long",0,1,"2026-09-01 09:20:44","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""2x5m close above 29177.50 flips bias long""}",,trend-down,2,0,2,2
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,NY,active,"rearmed:2x5m close back below 29212.50 (buffer 0.5×ATR14, 2× 5m closes)",0,1,"2026-09-01 10:24:39","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""Two consecutive 5m closes above 29212.50 OB(bull)·1h flip to long.""}",,trend,3,1,2,1
2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,NY,active,level_event,0,1,"2026-09-01 13:00:02","{""direction"":""short"",""conviction"":""low"",""flip_condition"":""5m close above 29162.00""}",,trend,3,1,2,3
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-01,ASIA,no_trade,planner_fail_closed,0,1,"2026-09-01 17:23:14","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-09-01,ASIA,no_trade,planner_fail_closed,0,1,"2026-09-01 18:00:41","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-09-01,ASIA,no_trade,planner_fail_closed,0,1,"2026-09-01 21:14:52","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-09-01,ASIA,no_trade,planner_fail_closed,0,1,"2026-09-01 21:53:46","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-09-01,ASIA,active,owner_reset,0,1,"2026-09-01 23:12:44","{""direction"":""long"",""conviction"":""low"",""flip_condition"":""2x5m close below 29042.25 ONL voids long; 5m close above 29062.75 OR-L confirms/upgrades long""}",,balance,2,2,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-09-01,ASIA,active,level_event,0,1,"2026-09-01 23:20:29","{""direction"":""long"",""conviction"":""low"",""flip_condition"":""5m close below ONL 29035.25 (sweep held, no reclaim) flips bias to short""}",,balance,3,3,0,2
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,2026-09-01,ASIA,active,level_event,0,1,"2026-09-01 23:58:16","{""direction"":""long"",""conviction"":""low"",""flip_condition"":""5m close below 29035.25 flips bias to short""}",,trend,3,3,0,2
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,2026-09-01,ASIA,active,level_event,0,1,"2026-09-02 00:19:46","{""direction"":""long"",""conviction"":""low"",""flip_condition"":""A 5m close below ONL 29035.25 flips the session bias to short.""}",,balance,3,3,0,0
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,2026-09-01,ASIA,active,"rearmed:2x5m close back above 29035.25 (buffer 0.5×ATR14, 2× 5m closes)",0,1,"2026-09-02 00:47:12","{""direction"":""long"",""conviction"":""low"",""flip_condition"":""2x5m close below ONL 29035.25 flips bias to short""}",,balance,2,2,0,0
2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-09-02,LONDON,no_trade,planner_fail_closed,0,1,"2026-09-02 01:37:44","{""direction"":""neutral"",""conviction"":""low"",""flip_condition"":""n/a""}",,no-trade,1,1,0,0
