sess                             n1m  first                last                 open      high      low       close     range   vol      
-------------------------------  ---  -------------------  -------------------  --------  --------  --------  --------  ------  ---------
2026-09-01 ASIA                  540  2026-09-01 17:00:00  2026-09-02 01:59:00  29137.25  29171.25  29016.5   29076.75  154.75  400471.0 
2026-09-02 LONDON                390  2026-09-02 02:00:00  2026-09-02 08:29:00  29076.75  29149.25  28927.25  29098.25  222.0   353638.0 
2026-09-02 NY                    375  2026-09-02 08:30:00  2026-09-02 14:44:00  29098.25  29211.75  29017.25  29175.0   194.5   1317605.0
2026-09-02 NY-late(14:45-17:00)  75   2026-09-02 14:45:00  2026-09-02 15:59:00  29175.5   29212.5   29139.5   29143.0   73.0    105922.0 
2026-09-02 ASIA                  540  2026-09-02 17:00:00  2026-09-03 01:59:00  29175.75  29255.0   29075.0   29173.5   180.0   424479.0 
2026-09-03 LONDON                390  2026-09-03 02:00:00  2026-09-03 08:29:00  29173.25  29293.0   29101.75  29248.75  191.25  379459.0 
2026-09-03 NY                    375  2026-09-03 08:30:00  2026-09-03 14:44:00  29249.5   29585.0   29199.25  29524.0   385.75  1444886.0
2026-09-03 NY-late(14:45-17:00)  75   2026-09-03 14:45:00  2026-09-03 15:59:00  29524.5   29536.25  29498.75  29502.75  37.5    86444.0  
2026-09-03 ASIA                  540  2026-09-03 17:00:00  2026-09-04 01:59:00  29500.0   29644.25  29481.5   29576.0   162.75  267289.0 
2026-09-04 LONDON                390  2026-09-04 02:00:00  2026-09-04 08:29:00  29577.25  29720.0   29502.0   29588.25  218.0   341180.0 
2026-09-04 NY                    230  2026-09-04 08:30:00  2026-09-04 12:19:00  29588.5   29692.0   29477.75  29531.5   214.25  987735.0 
hr             o         h         l         c         n 
-------------  --------  --------  --------  --------  --
2026-09-03 06  29129.0   29187.25  29101.75  29105.25  60
2026-09-03 07  29105.25  29260.0   29104.0   29244.5   60
2026-09-03 08  29244.75  29375.25  29194.5   29332.25  60
2026-09-03 09  29332.25  29367.75  29241.5   29363.25  60
2026-09-03 10  29363.5   29543.75  29362.0   29538.25  60
2026-09-03 11  29538.75  29548.0   29482.5   29527.75  60
2026-09-03 12  29528.5   29553.0   29476.0   29543.5   60
2026-09-03 13  29543.5   29585.0   29543.0   29568.5   60
2026-09-03 14  29568.25  29570.25  29509.0   29531.0   60
2026-09-03 15  29530.5   29536.25  29498.75  29502.75  60
2026-09-03 17  29500.0   29513.0   29481.5   29508.5   60
2026-09-03 18  29508.25  29516.75  29496.0   29504.5   60
2026-09-03 19  29503.75  29542.0   29491.0   29530.25  60
2026-09-03 20  29530.0   29549.25  29516.0   29547.75  60
2026-09-03 21  29548.25  29568.5   29537.0   29564.75  60
2026-09-03 22  29565.0   29579.5   29557.0   29570.25  60
2026-09-03 23  29571.0   29601.0   29556.25  29597.25  60
2026-09-04 00  29597.75  29643.5   29591.5   29619.5   60
2026-09-04 01  29620.0   29644.25  29573.75  29576.0   60
2026-09-04 02  29577.25  29658.75  29575.0   29653.0   60
2026-09-04 03  29653.75  29673.0   29634.75  29658.5   60
2026-09-04 04  29657.5   29661.75  29616.25  29657.25  60
2026-09-04 05  29656.75  29698.5   29654.25  29681.0   60
2026-09-04 06  29681.25  29689.5   29650.5   29681.75  60
2026-09-04 07  29682.25  29720.0   29502.0   29546.5   60
2026-09-04 08  29546.5   29692.0   29523.0   29691.25  60
2026-09-04 09  29691.0   29691.25  29498.5   29520.75  60
2026-09-04 10  29520.5   29543.5   29477.75  29515.25  60
2026-09-04 11  29514.75  29596.0   29504.0   29575.75  60
2026-09-04 12  29576.0   29580.5   29526.5   29531.5   20
