id,ct,cycle_type,cycle_trigger,plan_version,cited_scenario_id,error_class,execution_status,execlog
36164,"2026-09-02 01:51:52","",stale_dodge,10,S2,"","","[""AI call duration: 107225 ms"",""⛔ MNQ open_long refused: last_entry_cutoff: past last-entry 01:45 CT (ASIA)""]"
36640,"2026-09-02 18:48:49","","",6,S2,"","","[""AI call duration: 36043 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29231.00 too close (25.25 \u003c 450.56 = 1.5×ATR5m)""]"
36641,"2026-09-02 18:50:36","","",6,S2,"","","[""AI call duration: 50125 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29226.50 too close (21.00 \u003c 450.56 = 1.5×ATR5m)""]"
36642,"2026-09-02 18:52:33","","",6,S2,"","","[""AI call duration: 29310 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29230.00 too close (22.00 \u003c 450.56 = 1.5×ATR5m)""]"
36645,"2026-09-02 19:00:23","","",6,S2,"","","[""AI call duration: 46385 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.42 below floor 2.00 at execution price 29197.0000 (SL 29228.0000 TP 29153.0000)""]"
36703,"2026-09-02 20:53:52","","",9,S2,"","","[""AI call duration: 79711 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.73 below floor 2.00 at execution price 29159.7500 (SL 29193.2500 TP 29101.7500)""]"
36864,"2026-09-03 02:12:56","","",1,S1,"","","[""AI call duration: 36469 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.76 below floor 2.00 at execution price 29193.2500 (SL 29242.0000 TP 29107.2500)""]"
37304,"2026-09-03 20:35:06","","",5,S1,"","","[""AI call duration: 60074 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37305,"2026-09-03 20:37:51","","",5,S1,"","","[""AI call duration: 31852 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37306,"2026-09-03 20:39:40","","",5,S1,"","","[""AI call duration: 95399 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37307,"2026-09-03 20:42:27","","",5,S1,"","","[""AI call duration: 44451 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37308,"2026-09-03 20:43:53","","",5,S1,"","","[""AI call duration: 41086 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37310,"2026-09-03 20:49:04","","",5,S1,"","","[""AI call duration: 144482 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37311,"2026-09-03 20:52:05","","",5,S1,"","","[""AI call duration: 35594 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37313,"2026-09-03 20:54:28","","",5,S1,"","","[""AI call duration: 85895 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37315,"2026-09-03 20:58:56","","",5,S1,"","","[""AI call duration: 84566 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37318,"2026-09-03 21:03:22","","",5,S1,"","","[""AI call duration: 82148 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37319,"2026-09-03 21:06:44","",stale_dodge,5,S1,"","","[""AI call duration: 98968 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37320,"2026-09-03 21:09:03","","",5,S1,"","","[""AI call duration: 60890 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
37322,"2026-09-03 21:12:40","",stale_dodge,5,S1,"","","[""AI call duration: 123727 ms"",""⛔ MNQ open_short refused: entry_gate: refused: strict — plan_mode=strict executes plan scenarios on the ARM path only, and this is a decision-path market entry""]"
