id,ct,plan_version,cited_scenario_id,action,entry,sl,tp,conf,execution_status,risk_check_passed,execlog,rce
36122,"2026-09-02 00:17:45",7,S3,open_long,,29048,29113.25,62,"",1,"[""AI call duration: 67074 ms"",""✓ MNQ open_long succeeded""]",""
36164,"2026-09-02 01:51:52",10,S2,open_long,,29034.75,29128.25,62,"",0,"[""AI call duration: 107225 ms"",""⛔ MNQ open_long refused: last_entry_cutoff: past last-entry 01:45 CT (ASIA)""]","last_entry_cutoff: past last-entry 01:45 CT (ASIA)"
36336,"2026-09-02 07:41:06",3,S2,open_long,,29050,29165,63,"",1,"[""AI call duration: 45341 ms"",""✓ MNQ open_long succeeded""]",""
36394,"2026-09-02 09:41:05",3,S3,open_long,,29115,29317.25,65,"",1,"[""AI call duration: 55003 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""✓ MNQ open_long succeeded""]",""
36422,"2026-09-02 10:37:18",5,S4,open_long,,29143.75,29317.25,68,"",1,"[""AI call duration: 67092 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""✓ MNQ open_long succeeded""]",""
36640,"2026-09-02 18:48:49",6,S2,open_short,,29231,29149,65,"",0,"[""AI call duration: 36043 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29231.00 too close (25.25 \u003c 450.56 = 1.5×ATR5m)""]","entry_gate: entry_gate: stop 29231.00 too close (25.25 < 450.56 = 1.5×ATR5m)"
36641,"2026-09-02 18:50:36",6,S2,open_short,,29226.5,29162.75,68,"",0,"[""AI call duration: 50125 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29226.50 too close (21.00 \u003c 450.56 = 1.5×ATR5m)""]","entry_gate: entry_gate: stop 29226.50 too close (21.00 < 450.56 = 1.5×ATR5m)"
36642,"2026-09-02 18:52:33",6,S2,open_short,,29230,29149,65,"",0,"[""AI call duration: 29310 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: stop 29230.00 too close (22.00 \u003c 450.56 = 1.5×ATR5m)""]","entry_gate: entry_gate: stop 29230.00 too close (22.00 < 450.56 = 1.5×ATR5m)"
36645,"2026-09-02 19:00:23",6,S2,open_short,,29228,29153,65,"",0,"[""AI call duration: 46385 ms"",""stale_reeval outcome=pass (superseded entry re-validated on the fresh bar)"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.42 below floor 2.00 at execution price 29197.0000 (SL 29228.0000 TP 29153.0000)""]","entry_gate: entry_gate: R:R 1.42 below floor 2.00 at execution price 29197.0000 (SL 29228.0000 TP 29153.0000)"
36703,"2026-09-02 20:53:52",9,S2,open_short,,29193.25,29101.75,61,"",0,"[""AI call duration: 79711 ms"",""⛔ MNQ open_short refused: entry_gate: entry_gate: R:R 1.73 below floor 2.00 at execution price 29159.7500 (SL 29193.2500 TP 29101.7500)""]","entry_gate: entry_gate: R:R 1.73 below floor 2.00 at execution price 29159.7500 (SL 29193.2500 TP 29101.7500)"
