session  level_kind  outcome            n 
-------  ----------  -----------------  --
ASIA     OB          ambiguous_horizon  4 
ASIA     OB          break              2 
ASIA     OB          hold               2 
ASIA     ONH         hold               1 
ASIA     ONL         break              1 
ASIA     ONL         hold               2 
ASIA     PDC         ambiguous_horizon  1 
ASIA     PDC         break              1 
ASIA     PDC         hold               1 
ASIA     PDH         break              1 
ASIA     PDH         hold               2 
ASIA     RTH-H       ambiguous_horizon  1 
ASIA     RTH-H       break              1 
ASIA     RTH-H       hold               1 
ASIA     SWG-H       ambiguous_horizon  14
ASIA     SWG-H       break              6 
ASIA     SWG-H       hold               9 
ASIA     SWG-L       ambiguous_horizon  1 
ASIA     SWG-L       break              1 
ASIA     SWG-L       hold               1 
ASIA     VWAP        ambiguous_horizon  11
ASIA     VWAP        break              6 
ASIA     VWAP        hold               4 
ASIA     VWAP±2σ     break              1 
ASIA     VWAP±2σ     hold               1 
ASIA     eVWAP       ambiguous_horizon  2 
ASIA     eVWAP       break              2 
ASIA     eVWAP       hold               1 
LONDON   DEMAND      ambiguous_horizon  2 
LONDON   DEMAND      break              16
LONDON   DEMAND      hold               18
LONDON   EQL         hold               2 
LONDON   ONH         hold               2 
LONDON   PDC         break              3 
LONDON   PDC         hold               1 
LONDON   PDH         ambiguous_horizon  1 
LONDON   PDH         break              2 
LONDON   PDL         hold               2 
LONDON   RTH-H       ambiguous_horizon  1 
LONDON   RTH-H       break              1 
LONDON   RTH-H       hold               1 
LONDON   RTH-L       ambiguous_horizon  2 
LONDON   RTH-L       break              18
LONDON   RTH-L       hold               8 
LONDON   SUPPLY      ambiguous_horizon  3 
LONDON   SUPPLY      break              3 
LONDON   SUPPLY      hold               2 
LONDON   SWG-L       ambiguous_horizon  7 
LONDON   SWG-L       break              3 
LONDON   SWG-L       hold               3 
LONDON   VWAP        ambiguous_horizon  24
LONDON   VWAP        break              11
LONDON   VWAP        hold               20
LONDON   VWAP±2σ     break              1 
LONDON   VWAP±2σ     hold               1 
LONDON   eVWAP       ambiguous_horizon  3 
LONDON   eVWAP       break              2 
NY       DEMAND      ambiguous_horizon  9 
NY       DEMAND      break              56
NY       DEMAND      hold               38
NY       FVG         break              2 
NY       OB          hold               3 
NY       ONL         hold               1 
NY       OR-H        ambiguous_horizon  4 
NY       OR-H        break              9 
NY       OR-H        hold               9 
NY       OR-L        ambiguous_horizon  4 
NY       OR-L        break              4 
NY       OR-L        hold               4 
NY       PDC         break              2 
NY       PDC         hold               3 
NY       PDH         break              2 
NY       PDH         hold               2 
NY       PDL         hold               6 
NY       POC         ambiguous_horizon  6 
NY       POC         break              5 
NY       POC         hold               9 
NY       RTH-H       break              1 
NY       RTH-H       hold               5 
NY       RTH-L       ambiguous_horizon  14
NY       RTH-L       break              64
NY       RTH-L       hold               34
NY       SUPPLY      ambiguous_horizon  5 
NY       SUPPLY      break              4 
NY       SUPPLY      hold               5 
NY       VWAP        ambiguous_horizon  32
NY       VWAP        break              33
NY       VWAP        hold               58
