trade_date,session,version,created_ct,lifecycle,bias,sid,dir,cond,q,c_rule,c_ref,c_side,arm_en,arm_entry,arm_stop,arm_target,arm_kind,targets,trig,invalid,death,flip
2026-09-01,ASIA,1,"2026-09-01 17:23:14",no_trade,neutral,S0,long,hold,B,,,,,,,,,,none,n/a,"already dead (fail-closed)",n/a
2026-09-01,ASIA,2,"2026-09-01 18:00:41",no_trade,neutral,S0,long,hold,B,,,,,,,,,,none,n/a,"already dead (fail-closed)",n/a
2026-09-01,ASIA,3,"2026-09-01 21:14:52",no_trade,neutral,S0,long,hold,B,,,,,,,,,,none,n/a,"already dead (fail-closed)",n/a
2026-09-01,ASIA,4,"2026-09-01 21:53:46",no_trade,neutral,S0,long,hold,B,,,,,,,,,,none,n/a,"already dead (fail-closed)",n/a
2026-09-01,ASIA,5,"2026-09-01 23:12:44",active,long,S1,long,sweep_reclaim,B,touch,29042.25,below,,,,,,"[29062.75,29072.75,29103]","re-test sweep of 29042.25 ONL, then 1x5m close back above 29045.00","1x5m close below 29042.25 ONL after entry","2x5m closes below 29042.25 ONL invalidate this long plan","2x5m close below 29042.25 ONL voids long; 5m close above 29062.75 OR-L confirms/upgrades long"
2026-09-01,ASIA,5,"2026-09-01 23:12:44",active,long,S2,long,breakout_retest,C,touch,29062.75,above,,,,,,"[29072.75,29103,29113.23]","breakout above 29062.75 OR-L, then retest holds at 29062.75; stop-entry above 29065.00","1x5m close back below 29042.25 ONL","2x5m closes below 29042.25 ONL invalidate this long plan","2x5m close below 29042.25 ONL voids long; 5m close above 29062.75 OR-L confirms/upgrades long"
2026-09-01,ASIA,6,"2026-09-01 23:20:29",active,long,S1,long,sweep_reclaim,A,touch,29035.25,below,1,29035.25,29018,29071.41,,"[29071.41,29113.23,29133,29171.25]","Sweep of ONL 29035.25 (trade through overnight-low stops), then a reclaim: 1m MSS up or a 5m close back above 29035.25.","5m close below 29035.25 with no 1m MSS back above — the sweep held, long void.","Whole plan void on a 5m close below Supply·4h 29029.88 — the sweep held and the tape is running; stand down.","5m close below ONL 29035.25 (sweep held, no reclaim) flips bias to short"
2026-09-01,ASIA,6,"2026-09-01 23:20:29",active,long,S2,long,reject,B,touch,29040.61,below,1,29040.61,29020,29113.23,,"[29071.41,29113.23]","First-touch reaction at VWAP−2σ 29040.61: price dips to the react zone and rejects upward with no 5m acceptance, mean-reverting toward the magnets.","5m close below 29040.61 — acceptance of the zone voids the fade; wait for S1 instead.","Whole plan void on a 5m close below Supply·4h 29029.88 — the sweep held and the tape is running; stand down.","5m close below ONL 29035.25 (sweep held, no reclaim) flips bias to short"
2026-09-01,ASIA,6,"2026-09-01 23:20:29",active,long,S3,long,reclaim,B,1x5m_close,29071.41,above,,,,,,"[29113.23,29133,29171.25]","Reclaim of the lost VWAP−1σ 29071.41: price 5m-closes back above the magnet after a bounce off ONL/VWAP−2σ, turning it to support.","5m close back below 29071.41 after the reclaim — failed reclaim.","Whole plan void on a 5m close below Supply·4h 29029.88 — the sweep held and the tape is running; stand down.","5m close below ONL 29035.25 (sweep held, no reclaim) flips bias to short"
2026-09-01,ASIA,7,"2026-09-01 23:58:16",active,long,S1,long,reject,A,touch,29044,below,1,29044,29025,29099.85,,"[29068.05,29099.85]","Price touches 29044.00 (SWG-L·15m) and rejects upward","5m close below 29029.88 invalidates the bounce","5m close below 29029.88 kills the long plan","5m close below 29035.25 flips bias to short"
2026-09-01,ASIA,7,"2026-09-01 23:58:16",active,long,S2,long,reclaim,C,1x5m_close,29062.75,above,,,,,,"[29068.05,29099.85]","Price reclaims 29062.75 (OR-L) with a 5m close above","5m close below 29044.00 invalidates the reclaim","5m close below 29029.88 kills the long plan","5m close below 29035.25 flips bias to short"
2026-09-01,ASIA,7,"2026-09-01 23:58:16",active,long,S3,long,reject,B,touch,29068.05,below,1,29068.05,29044,29131.66,,"[29099.85,29113.23]","Price touches 29068.05 (VWAP−1σ) and rejects upward","5m close below 29062.75 invalidates the rejection","5m close below 29029.88 kills the long plan","5m close below 29035.25 flips bias to short"
2026-09-01,ASIA,8,"2026-09-02 00:19:46",active,long,S1,long,sweep_reclaim,B,touch,29035.25,below,,,,,,"[29058.75,29065.3,29085,29097.88]","Sweep of ONL 29035.25 followed by a 5m close back above 29035.25; entry on that reclaim close.","A 5m close below 29035.25 before the reclaim close is a breakdown, not a sweep; S1 void.","A 5m close below PDL 29001.75 voids the recovery plan and opens the path toward 28711.25.","A 5m close below ONL 29035.25 flips the session bias to short."
2026-09-01,ASIA,8,"2026-09-02 00:19:46",active,long,S2,long,reclaim,B,1x5m_close,29058.75,above,,,,,,"[29065.3,29085,29097.88,29113.23]","After a dip back under PDC 29058.75, a 5m close back above 29058.75; entry on that close.","A 5m close back below 29035.25 before reaching VWAP−1σ 29065.30 voids S2.","A 5m close below PDL 29001.75 voids the recovery plan and opens the path toward 28711.25.","A 5m close below ONL 29035.25 flips the session bias to short."
2026-09-01,ASIA,8,"2026-09-02 00:19:46",active,long,S3,long,breakout_retest,B,touch,29097.88,above,,,,,,"[29113.23,29130.45,29171.25]","A 5m close above VWAP 29097.88 followed by a retest of 29097.88 that holds; entry at the retest or stop-entry.","A 5m close back below the 1h bull OB 29085.00 voids S3.","A 5m close below PDL 29001.75 voids the recovery plan and opens the path toward 28711.25.","A 5m close below ONL 29035.25 flips the session bias to short."
2026-09-01,ASIA,9,"2026-09-02 00:47:12",active,long,S1,long,sweep_reclaim,B,touch,29035.25,below,,,,,,"[29058.75,29065.05,29085,29096.67]","Price sweeps ONL 29035.25 with a wick below, then closes back above it","5m close below 29001.75 PDL","5m close below PDL 29001.75 kills the whole long plan","2x5m close below ONL 29035.25 flips bias to short"
2026-09-01,ASIA,9,"2026-09-02 00:47:12",active,long,S2,long,reclaim,B,1x5m_close,29058.75,above,,,,,,"[29096.67,29113.23,29128.29,29171.25]","Pullback to PDC 29058.75 and 5m close back above it","5m close below 29035.25 ONL","5m close below PDL 29001.75 kills the whole long plan","2x5m close below ONL 29035.25 flips bias to short"
2026-09-02,LONDON,1,"2026-09-02 01:37:44",no_trade,neutral,S0,long,hold,B,,,,,,,,,,none,n/a,"already dead (fail-closed)",n/a
2026-09-01,ASIA,10,"2026-09-02 01:51:21",active,long,S1,long,sweep_reclaim,B,touch,29016.5,below,,,,,,"[29058.75,29091,29113.23]","Price sweeps 29016.50 ONL, wicks below, then closes back above on 5m (reclaim close on decision TF).","5m close below 28970.38 OB(bull)·4h invalidates the long.","5m close below 29001.75 PDL invalidates the whole plan.","2x5m close below 29016.50 ONL flips bias to short"
