d           reason        n     with_working  maxw
----------  ------------  ----  ------------  ----
2026-09-03  periodic      263   0             0   
2026-09-04  periodic      2875  234           8   
2026-09-04  state_change  133   126           9   
hr             n    w    first                last               
-------------  ---  ---  -------------------  -------------------
2026-09-03 21  24   0    2026-09-03 21:48:22  2026-09-03 21:59:52
2026-09-03 22  120  0    2026-09-03 22:00:22  2026-09-03 22:59:53
2026-09-03 23  119  0    2026-09-03 23:00:23  2026-09-03 23:59:54
2026-09-04 00  120  0    2026-09-04 00:00:24  2026-09-04 00:59:56
2026-09-04 01  120  0    2026-09-04 01:00:26  2026-09-04 01:59:57
2026-09-04 02  120  0    2026-09-04 02:00:27  2026-09-04 02:59:58
2026-09-04 03  120  0    2026-09-04 03:00:28  2026-09-04 03:59:59
2026-09-04 04  119  0    2026-09-04 04:00:29  2026-09-04 04:59:31
2026-09-04 05  120  0    2026-09-04 05:00:01  2026-09-04 05:59:32
2026-09-04 06  120  0    2026-09-04 06:00:02  2026-09-04 06:59:33
2026-09-04 07  120  0    2026-09-04 07:00:03  2026-09-04 07:59:34
2026-09-04 08  120  0    2026-09-04 08:00:04  2026-09-04 08:59:36
2026-09-04 09  127  37   2026-09-04 09:00:06  2026-09-04 09:59:37
2026-09-04 10  242  203  2026-09-04 10:00:07  2026-09-04 10:59:38
2026-09-04 11  123  120  2026-09-04 11:00:08  2026-09-04 11:59:39
2026-09-04 12  117  0    2026-09-04 12:00:09  2026-09-04 12:59:41
2026-09-04 13  120  0    2026-09-04 13:00:11  2026-09-04 13:59:42
2026-09-04 14  120  0    2026-09-04 14:00:12  2026-09-04 14:59:43
2026-09-04 15  120  0    2026-09-04 15:00:13  2026-09-04 15:59:45
2026-09-04 16  120  0    2026-09-04 16:00:15  2026-09-04 16:59:46
2026-09-04 17  120  0    2026-09-04 17:00:16  2026-09-04 17:59:47
2026-09-04 18  120  0    2026-09-04 18:00:17  2026-09-04 18:59:49
2026-09-04 19  120  0    2026-09-04 19:00:19  2026-09-04 19:59:50
2026-09-04 20  120  0    2026-09-04 20:00:20  2026-09-04 20:59:51
2026-09-04 21  120  0    2026-09-04 21:00:21  2026-09-04 21:59:52
2026-09-04 22  120  0    2026-09-04 22:00:22  2026-09-04 22:59:54
2026-09-04 23  120  0    2026-09-04 23:00:24  2026-09-04 23:59:55
