trade_date,session,version,price,label,grade,instr
2026-09-02,LONDON,1,29317.25,RTH-H,A,monitor
2026-09-02,LONDON,1,29171.25,ONH,A,monitor
2026-09-02,LONDON,1,29125.5594423496,"VWAP+1σ",A,monitor
2026-09-02,LONDON,1,29113.228125,POC,A,monitor
2026-09-02,LONDON,1,29091.6860456685,VWAP,A,monitor
2026-09-02,LONDON,1,29070,"SWG-L·5m",A,monitor
2026-09-02,LONDON,1,29065.75,"SWG-H·5m",A,monitor
2026-09-02,LONDON,1,29058.75,PDC,B,monitor
2026-09-02,LONDON,1,29035.25,"SWG-L·5m",A,monitor
2026-09-02,LONDON,1,29023.9392523062,"VWAP−2σ",A,monitor
2026-09-02,LONDON,1,29016.5,ONL,A,monitor
2026-09-02,LONDON,1,29001.75,PDL,A,monitor
2026-09-02,LONDON,2,29571,PDH,A,react_zone
2026-09-02,LONDON,2,29324.5,"OB(bull)·1h (HTF)",A,target_only
2026-09-02,LONDON,2,29317.25,RTH-H,A,react_zone
2026-09-02,LONDON,2,29246.25,"OB(bull)·4h (HTF)",A,target_only
2026-09-02,LONDON,2,29209.25,"Supply·1h",C,confluence_reference
2026-09-02,LONDON,2,29171.25,ONH,A,liquidity_break
2026-09-02,LONDON,2,29113.23,POC,A,target
2026-09-02,LONDON,2,29058.75,PDC,B,target_only
2026-09-02,LONDON,2,29001.75,PDL,A,react_zone
2026-09-02,LONDON,2,28970.38,"OB(bull)·4h (HTF)",A,target_only
2026-09-02,LONDON,2,28927.25,ONL,A,sweep_reclaim
2026-09-02,LONDON,2,28921.5,"OB(bull)·1h (HTF)",A,target_only
2026-09-02,LONDON,3,29571,PDH,A,target
2026-09-02,LONDON,3,29324.5,"OB(bull)·1h (HTF)",A,target
2026-09-02,LONDON,3,29317.25,RTH-H,A,fade
2026-09-02,LONDON,3,29246.25,"OB(bull)·4h (HTF)",A,target
2026-09-02,LONDON,3,29209.25,"Supply·1h",C,watch
2026-09-02,LONDON,3,29171.25,ONH,A,target
2026-09-02,LONDON,3,29117.48,"VWAP+1σ",A,hold
