trade_date,session,version,born_ct,lifecycle,trig,death_cond,death,flip
2026-09-02,LONDON,1,"2026-09-02 01:37:44",no_trade,planner_fail_closed,"already dead (fail-closed)",,
2026-09-02,LONDON,2,"2026-09-02 07:15:26",active,owner_reset,"A 2x5m close below 29001.75 PDL invalidates the whole plan.","{""price"":29001.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29058.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,LONDON,3,"2026-09-02 07:21:59",active,level_event,"A 5m close below 29001.75 RTH-L invalidates this whole plan.","{""price"":29001.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29058.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,LONDON,4,"2026-09-02 07:44:03",active,level_event,"Two consecutive 5m closes below 28927.25","{""price"":28927.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29001.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,LONDON,5,"2026-09-02 08:01:50",active,level_event,"A 5m close below ONL 28927.25 kills the long-bias plan and opens continuation toward 28917.25.","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,1,"2026-09-02 08:09:44",dormant,"dormant:flip:flip-condition: 5m_close close above 29058.75 (","5m close below 28927.25 ONL kills this plan.","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29058.75,""side"":""above"",""rule"":""5m_close"",""flip_to"":""long""}"
2026-09-02,LONDON,6,"2026-09-02 08:20:47",active,level_event,"Plan void on 2x5m close below 28927.25 ONL.","{""price"":28927.25,""side"":""below"",""rule"":""2x5m""}","{""price"":29001.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,NY,2,"2026-09-02 08:45:28",active,level_event,"Two 5m closes below 29001.75 RTH-L kill the long plan; stop entering buys.","{""price"":29001.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29042.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,NY,3,"2026-09-02 09:21:18",active,level_event,"Plan void if a 5m_close prints below 28927.25 ONL.","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,4,"2026-09-02 09:45:52",active,level_event,"Plan invalid if 5m close below 28927.25 ONL","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,5,"2026-09-02 10:22:33",active,level_event,"Two 5m closes below OR-L 29042.75 invalidate the plan — the 15m higher-low structure is broken and no further longs are taken until 29001.75 trades.","{""price"":29042.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,6,"2026-09-02 10:50:53",active,level_event,"A 5m close below 29001.75 RTH-L voids the recovery and this plan.","{""price"":29001.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29058.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,7,"2026-09-02 11:20:19",active,level_event,"Plan void on 2x5m close below 29042.75 OR-L.","{""price"":29042.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29058.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,NY,8,"2026-09-02 11:47:10",active,level_event,"1x5m close below OR-L 29042.75 kills the long plan","{""price"":29042.75,""side"":""below"",""rule"":""5m_close""}","{""price"":29317.25,""side"":""above"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,9,"2026-09-02 12:25:10",active,level_event,"A 2x5m close below 29042.75 OR-L invalidates the whole plan (range low lost).","{""price"":29042.75,""side"":""below"",""rule"":""2x5m""}","{""price"":29001.75,""side"":""below"",""rule"":""5m_close"",""flip_to"":""short""}"
2026-09-02,NY,10,"2026-09-02 13:02:15",active,level_event,"A 5m close below 28927.25 ONL voids the whole plan.","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
2026-09-02,NY,11,"2026-09-02 13:28:36",active,level_event,"A 5m close below 28927.25 ONL kills the long-side plan; downside extension targets 28711.25 OB(bear)·4h.","{""price"":28927.25,""side"":""below"",""rule"":""5m_close""}","{""price"":29001.75,""side"":""below"",""rule"":""2x5m"",""flip_to"":""short""}"
