trade_date,session,version,sid,arm_en,wait_confirm,n_legs,legs,c2_rule,c2_ref,c2_side
2026-09-02,LONDON,2,S3,1,1,,,,,
2026-09-02,LONDON,3,S4,1,1,,,,,
2026-09-02,LONDON,4,S3,1,1,,,,,
2026-09-02,LONDON,5,S1,1,1,,,,,
2026-09-02,NY,1,S4,1,1,,,,,
2026-09-02,LONDON,6,S2,1,1,,,,,
2026-09-02,NY,3,S4,1,1,,,,,
2026-09-02,NY,4,S1,1,1,,,,,
2026-09-02,NY,4,S2,1,1,,,,,
2026-09-02,NY,5,S2,1,1,,,,,
2026-09-02,NY,5,S3,1,1,2,"[{""entry"":29058.75,""stop"":29020,""target"":29143.97,""size"":1,""rule"":""touch""},{""entry"":29070,""stop"":29033,""target"":29171.25,""size"":1,""wait_confirm"":true,""rule"":""1m_mss""}]",1m_mss,29058.75,above
2026-09-02,NY,7,S4,1,1,,,,,
2026-09-02,NY,8,S2,1,1,,,,,
2026-09-02,NY,9,S3,1,1,,,,,
2026-09-02,NY,10,S1,1,1,,,,,
2026-09-02,NY,10,S3,1,1,,,,,
2026-09-02,NY,10,S4,1,1,,,,,
2026-09-02,NY,11,S2,1,1,,,,,
2026-09-02,NY,11,S4,1,1,,,,,
2026-09-02,NY,12,S3,1,1,,,,,
2026-09-02,ASIA,3,S3,1,1,,,,,
2026-09-02,ASIA,4,S1,1,1,,,,,
2026-09-02,ASIA,4,S3,1,1,,,,,
2026-09-02,ASIA,5,S1,1,1,,,,,
2026-09-02,ASIA,6,S2,1,1,,,,,
2026-09-02,ASIA,7,S1,1,1,,,,,
2026-09-02,ASIA,8,S1,1,1,,,,,
2026-09-02,ASIA,8,S2,1,1,,,,,
2026-09-02,ASIA,8,S3,1,1,,,,,
2026-09-02,ASIA,10,S1,1,1,,,,,
2026-09-02,ASIA,11,S1,1,1,,,,,
2026-09-02,ASIA,12,S1,1,1,,,,,
2026-09-02,ASIA,12,S2,1,1,,,,,
2026-09-02,ASIA,13,S1,1,1,,,,,
2026-09-02,ASIA,14,S1,1,1,,,,,
2026-09-02,ASIA,14,S4,1,1,,,,,
2026-09-03,NY,1,S1,1,1,,,,,
2026-09-03,LONDON,2,S1,1,1,,,,,
2026-09-03,NY,2,S1,1,1,,,,,
2026-09-03,NY,3,S2,1,1,,,,,
2026-09-03,NY,6,S2,1,1,,,,,
2026-09-03,NY,6,S3,1,1,,,,,
2026-09-03,NY,7,S3,1,1,,,,,
2026-09-03,ASIA,4,S1,1,1,,,,,
2026-09-03,ASIA,5,S3,1,1,,,,,
2026-09-03,ASIA,6,S3,1,1,,,,,
2026-09-04,LONDON,1,S2,1,1,,,,,
2026-09-04,LONDON,2,S1,1,1,,,,,
2026-09-04,NY,2,S1,1,1,2,"[{""entry"":29611.25,""stop"":29481.5,""target"":29720,""size"":1,""rule"":""touch""},{""entry"":29611.25,""stop"":29481.5,""target"":29720,""size"":1,""wait_confirm"":true,""rule"":""1m_mss""}]",1m_mss,29611.25,above
2026-09-04,NY,2,S2,1,1,2,"[{""entry"":29720,""stop"":29770,""target"":29601,""size"":1,""rule"":""touch""},{""entry"":29720,""stop"":29770,""target"":29601,""size"":1,""wait_confirm"":true,""rule"":""1m_mss""}]",1m_mss,29720,below
2026-09-04,NY,3,S1,1,1,,,,,
2026-09-04,NY,3,S2,1,1,,,,,
2026-09-04,NY,4,S1,1,1,,,,,
2026-09-04,NY,4,S2,1,1,2,"[{""entry"":29720,""stop"":29770,""target"":29585,""size"":1,""rule"":""touch""},{""entry"":29720,""stop"":29770,""target"":29585,""size"":1,""wait_confirm"":true,""rule"":""1m_mss""}]",1m_mss,29720,below
2026-09-04,NY,5,S1,1,1,2,"[{""entry"":29720,""stop"":29765,""target"":29553.75,""size"":1,""rule"":""touch""},{""entry"":29720,""stop"":29765,""target"":29553.75,""size"":1,""wait_confirm"":true,""rule"":""1x5m_close""}]",1x5m_close,29720,below
2026-09-04,NY,6,S1,1,1,,,,,
2026-09-04,NY,6,S2,1,1,2,"[{""entry"":29720,""stop"":29755,""target"":29635,""size"":1,""rule"":""touch""},{""entry"":29720,""stop"":29755,""target"":29635,""size"":1,""wait_confirm"":true,""rule"":""1x5m_close""}]",1x5m_close,29720,below
