td,session,version,scenario,leg_index,stop_px,entry_px,state
2026-09-01,ASIA,6,S1,1,29018.0,29035.25,cancelled
2026-09-01,ASIA,7,S1,0,29025.0,29044.0,cancelled
2026-09-01,ASIA,7,S3,0,29044.0,29068.05,cancelled
2026-09-02,ASIA,13,S1,0,29226.0,29199.5,cancelled
2026-09-02,NY,5,S3,1,29019.6691311683,29070.0,cancelled
2026-09-02,NY,12,S3,0,29199.5,29166.8,cancelled
2026-09-03,NY,2,S1,0,29351.6284728996,29285.0,filled
2026-09-03,NY,3,S2,0,29418.9343631416,29351.05,cancelled
2026-09-03,NY,7,S3,0,29592.5,29543.75,cancelled
2026-09-04,NY,3,S1,0,29720.5,29657.38,cancelled
2026-09-04,NY,3,S2,0,29645.6203704191,29591.02,cancelled
2026-09-04,NY,5,S1,0,29765.0,29720.0,cancelled
2026-09-04,NY,5,S1,1,29765.0,29720.0,cancelled
2026-09-04,NY,6,S2,0,29755.0631468702,29720.0,armed
2026-09-04,NY,6,S2,1,29755.0631468702,29720.0,armed
