armed_at,atr,authored_arm,bias,bound,c_ref,c_rule,c_side,cancel_at,chain,cond,confirm_met_at,entry,fill_px,filled_at,kind,last_refuse,leg,legs,live_guard_would_refuse,placed_at,q,reason,replaces,rr,sess,sid,side,src,state,stop,stop_a,target,td,trigger,v,waiting,warn_bias,wc
,,True,long,,29317.25,touch,above,,"('touch', 29317.25, 'above')",reject,,29317.25,,,limit,,0,,,,B,,0,,LONDON,S3,short,authored,none,,29345.25,29246.25,2026-09-02,,2,True,True,True
,29.683878386871736,False,long,anchor:RTH-L,29058.75,1x5m_close,above,,,reclaim,,29058.75,,,stop_entry,rr 1.02<2.0,0,,,,B,,0,1.0213913043478184,LONDON,S2,long,counterfactual-reclaim,none,29001.25,,29117.48,2026-09-02,,3,,False,False
,,True,long,,29317.25,touch,below,,"('touch', 29317.25, 'below')",reject,,29317.25,,,limit,,0,,,,B,,0,,LONDON,S4,short,authored,none,,29350.0,29246.25,2026-09-02,,3,True,True,True
2026-09-02 07:46:00,28.88502993066661,False,long,atr_floor,29066.56,1x5m_close,above,2026-09-02 07:46:00,,reclaim,,29066.56,,,stop_entry,,0,,False,,B,trigger already traded through — never placed,0,2.416245837406328,LONDON,S1,long,counterfactual-reclaim,cancelled,29023.232455104,,29171.25,2026-09-02,29067.06,4,,False,False
,,True,long,,29001.75,touch,above,,"('touch', 29001.75, 'above')",reject,,29001.75,,,limit,,0,,,,B,,0,,LONDON,S3,long,authored,none,,28927.25,29171.25,2026-09-02,,4,True,False,True
,,True,long,,29014.19,touch,above,,"('touch', 29014.19, 'above')",reject,,29014.19,,,limit,,0,,,,A,,0,,LONDON,S1,long,authored,none,,28985.5,29171.25,2026-09-02,,5,True,False,True
2026-09-02 08:30:00,24.82903156458678,False,neutral,anchor:VWAP−1σ,29058.75,1x5m_close,above,2026-09-02 08:30:00,,reclaim,,29058.75,,,stop_entry,,0,,False,,B,trigger already traded through — never placed,0,2.4939037907337296,NY,S2,long,counterfactual-reclaim,cancelled,29013.64,,29171.25,2026-09-02,29059.25,1,,False,False
,,True,neutral,,29317.25,touch,below,,"('touch', 29317.25, 'below')",reject,,29317.25,,,limit,,0,,,,B,,0,,NY,S4,short,authored,none,,29343.0,29246.25,2026-09-02,,1,True,False,True
,,True,long,,29001.75,touch,above,,"('touch', 29001.75, 'above')",reject,,29001.75,,,limit,,0,,,,B,,0,,LONDON,S2,long,authored,none,,28975.75,29058.75,2026-09-02,,6,True,False,True
,37.183812449716015,False,long,atr_floor,29102.0,1x5m_close,above,,,reclaim,,29102.0,,,stop_entry,rr 0.23<2.0,0,,,,C,,0,0.2348692282466378,NY,S3,long,counterfactual-reclaim,none,29046.224281325427,,29115.1,2026-09-02,,2,,False,False
