plan_id,version,trade_date,session,trigger_reason,lifecycle,created_at
2026-08-15:NY,1,2026-08-15,NY,planner_fail_closed,expired,2026-08-16 00:44:31.82593151+00:00
2026-08-15:NY,2,2026-08-15,NY,NY_scheduled_read,expired,2026-08-16 00:52:04.526901259+00:00
2026-08-16:ASIA,1,2026-08-16,ASIA,ASIA_scheduled_read,active,2026-08-16 22:12:46.855270958+00:00
2026-08-16:ASIA,2,2026-08-16,ASIA,ASIA_scheduled_read,active,2026-08-16 22:19:02.222047603+00:00
2026-08-16:ASIA,3,2026-08-16,ASIA,ASIA_scheduled_read,active,2026-08-16 22:23:34.425930715+00:00
2026-08-16:ASIA,4,2026-08-16,ASIA,ASIA_scheduled_read,active,2026-08-16 22:26:19.609223908+00:00
2026-08-16:ASIA,5,2026-08-16,ASIA,ASIA_scheduled_read,active,2026-08-16 22:32:28.65488385+00:00
2026-08-16:ASIA,6,2026-08-16,ASIA,replans_exhausted,no_trade,2026-08-16 22:37:29.565412773+00:00
2026-08-16:NY,1,2026-08-16,NY,demo_seed,active,2026-08-16 05:12:57.845253755+00:00
2026-08-16:NY,2,2026-08-16,NY,demo_seed,active,2026-08-16 05:12:57.846862026+00:00
2026-08-17:ASIA,1,2026-08-17,ASIA,ASIA_scheduled_read,active,2026-08-17 05:07:03.45321488+00:00
2026-08-17:ASIA,2,2026-08-17,ASIA,ASIA_scheduled_read,active,2026-08-17 22:13:56.022482235+00:00
2026-08-17:ASIA,3,2026-08-17,ASIA,owner_reset,active,2026-08-18 00:18:14.747334528+00:00
2026-08-17:ASIA,4,2026-08-17,ASIA,planner_fail_closed,no_trade,2026-08-18 04:29:41.440955777+00:00
2026-08-17:ASIA,5,2026-08-17,ASIA,owner_reset,active,2026-08-18 04:49:55.208765251+00:00
2026-08-17:ASIA,6,2026-08-17,ASIA,owner_reset,active,2026-08-18 05:22:08.330378519+00:00
2026-08-17:LONDON,1,2026-08-17,LONDON,LONDON_scheduled_read,active,2026-08-17 06:58:03.410851218+00:00
2026-08-17:NY,1,2026-08-17,NY,NY_scheduled_read,active,2026-08-17 13:28:57.840373516+00:00
2026-08-17:NY,2,2026-08-17,NY,owner_reset,active,2026-08-17 14:54:53.378996968+00:00
2026-08-17:NY,3,2026-08-17,NY,NY_scheduled_read,active,2026-08-17 16:57:35.576932755+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-18,ASIA,ASIA_scheduled_read,active,2026-08-18 22:13:02.27154806+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-18,ASIA,ASIA_scheduled_read,active,2026-08-19 01:25:39.444141686+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-18,ASIA,planner_fail_closed,no_trade,2026-08-19 06:04:25.350771239+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-18,ASIA,planner_fail_closed,no_trade,2026-08-19 06:08:51.642911582+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-08-18,ASIA,planner_fail_closed,no_trade,2026-08-19 06:30:04.473817919+00:00
2026-08-18:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,2026-08-18,ASIA,owner_reset,active,2026-08-19 06:34:55.506229335+00:00
2026-08-18:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-18,LONDON,LONDON_scheduled_read,active,2026-08-18 06:58:40.966516258+00:00
2026-08-18:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-18,NY,NY_scheduled_read,active,2026-08-18 13:31:50.114965839+00:00
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-19,ASIA,ASIA_scheduled_read,active,2026-08-19 22:02:41.871481737+00:00
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-19,ASIA,owner_reset,active,2026-08-20 00:21:12.332961185+00:00
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-19,ASIA,ASIA_scheduled_read,active,2026-08-20 00:32:51.515243903+00:00
2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-19,ASIA,ASIA_scheduled_read,active,2026-08-20 00:47:30.128119909+00:00
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-19,LONDON,LONDON_scheduled_read,active,2026-08-19 06:58:20.565149883+00:00
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-19,LONDON,LONDON_scheduled_read,active,2026-08-19 07:32:34.885719432+00:00
2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-19,LONDON,LONDON_scheduled_read,active,2026-08-19 08:20:20.739709599+00:00
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-19,NY,NY_scheduled_read,active,2026-08-19 13:29:41.885857535+00:00
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-19,NY,NY_scheduled_read,active,2026-08-19 14:04:08.963411863+00:00
2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-19,NY,NY_scheduled_read,active,2026-08-19 14:51:07.657876816+00:00
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-20,ASIA,ASIA_scheduled_read,active,2026-08-20 22:04:04.018260557+00:00
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-20,ASIA,ASIA_scheduled_read,active,2026-08-21 00:19:45.447590103+00:00
2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-20,ASIA,ASIA_scheduled_read,active,2026-08-21 02:33:40.408252017+00:00
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-20,LONDON,LONDON_scheduled_read,active,2026-08-20 06:59:34.192926848+00:00
2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-20,LONDON,LONDON_scheduled_read,active,2026-08-20 08:22:22.600950202+00:00
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-20,NY,NY_scheduled_read,active,2026-08-20 13:28:09.531478227+00:00
2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-20,NY,NY_scheduled_read,active,2026-08-20 13:47:52.571533715+00:00
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-21,LONDON,LONDON_scheduled_read,active,2026-08-21 07:03:07.589373413+00:00
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-21,LONDON,LONDON_scheduled_read,active,2026-08-21 07:17:15.594780226+00:00
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-21,LONDON,LONDON_scheduled_read,active,2026-08-21 09:49:07.693947337+00:00
2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-21,LONDON,LONDON_scheduled_read,active,2026-08-21 13:22:47.022470282+00:00
2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-21,NY,NY_scheduled_read,active,2026-08-21 13:29:29.366795645+00:00
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-23,ASIA,planner_fail_closed,no_trade,2026-08-23 22:11:56.406644899+00:00
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-23,ASIA,planner_fail_closed,no_trade,2026-08-23 23:27:11.973478276+00:00
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-23,ASIA,planner_fail_closed,no_trade,2026-08-23 23:53:10.129808167+00:00
2026-08-23:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-23,ASIA,planner_fail_closed,no_trade,2026-08-24 03:56:59.292436422+00:00
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-24,ASIA,ASIA_scheduled_read,active,2026-08-24 22:04:54.594992218+00:00
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-24,ASIA,planner_fail_closed,no_trade,2026-08-24 22:37:26.362318031+00:00
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-24,ASIA,owner_reset,active,2026-08-24 23:02:25.240555871+00:00
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-24,ASIA,ASIA_scheduled_read,active,2026-08-25 03:39:02.56080742+00:00
2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-08-24,ASIA,ASIA_scheduled_read,active,2026-08-25 06:38:15.571644676+00:00
2026-08-24:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-24,LONDON,planner_fail_closed,no_trade,2026-08-24 07:07:53.64794165+00:00
2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,2026-08-24,NY,NY_scheduled_read,active,2026-08-24 13:31:43.341351022+00:00
2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,2026-08-24,NY,structure_mss,active,2026-08-24 13:54:57.009446899+00:00
2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,2026-08-24,NY,NY_scheduled_read,active,2026-08-24 14:52:27.586423847+00:00
2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,2026-08-24,NY,owner_reset,active,2026-08-24 15:38:29.871355877+00:00
2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,2026-08-24,NY,owner_reset,active,2026-08-24 15:56:32.744553308+00:00
