id,entry_time,exit_time,plan_id,plan_session,source,side,pnl_corrected,fee,mae,mfe,cme_open_day,entry_ct,hold_minutes
521,1787127723941,1787132616909,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,138.0,0.0,16.0,71.25,2026-08-18,2026-08-19T03:22:03.941000-05:00,81.54946666666666
522,1787141851173,1787142784995,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-60.5,0.0,49.25,10.25,2026-08-18,2026-08-19T07:17:31.173000-05:00,15.5637
523,1787148412409,1787148669853,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,118.0,0.0,11.5,79.5,2026-08-18,2026-08-19T09:06:52.409000-05:00,4.290733333333334
524,1787156295776,1787160091498,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,273.5,0.0,16.5,137.5,2026-08-18,2026-08-19T11:18:15.776000-05:00,63.262033333333335
525,1787181724764,1787183980456,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,LONG,-43.0,0.0,21.75,19.75,2026-08-19,2026-08-19T18:22:04.764000-05:00,37.59486666666667
526,1787189302092,1787192187436,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-69.42857199999708,0.0,57.5,2.75,2026-08-19,2026-08-19T20:28:22.092000-05:00,48.08906666666667
527,1787197048862,1787198834030,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-88.0,0.0,44.25,5.0,2026-08-19,2026-08-19T22:37:28.862000-05:00,29.7528
528,1787214391412,1787220704886,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,-97.5,0.0,49.0,48.0,2026-08-19,2026-08-20T03:26:31.412000-05:00,105.22456666666666
529,1787221593307,1787224917648,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,LONDON,system,SHORT,168.0,0.0,43.75,91.0,2026-08-19,2026-08-20T05:26:33.307000-05:00,55.405683333333336
531,1787233297689,1787233704110,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,LONG,-147.5,0.0,75.0,16.25,2026-08-19,2026-08-20T08:41:37.689000-05:00,6.7736833333333335
532,1787236917055,1787249147278,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,NY,system,SHORT,311.0,0.0,61.5,156.75,2026-08-19,2026-08-20T09:41:57.055000-05:00,203.83705
533,1787266758375,1787271163275,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-54.5,0.0,30.25,36.0,2026-08-20,2026-08-20T17:59:18.375000-05:00,73.415
534,1787271748349,1787276995308,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-66.0,0.0,36.75,40.5,2026-08-20,2026-08-20T19:22:28.349000-05:00,87.44931666666666
535,1787278123499,1787278857194,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,-31.0,0.0,17.75,7.0,2026-08-20,2026-08-20T21:08:43.499000-05:00,12.22825
536,1787279779762,1787286454106,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,ASIA,system,SHORT,124.0,0.0,6.75,62.25,2026-08-20,2026-08-20T21:36:19.762000-05:00,111.23906666666667
