id,plan_id,version,bias_regime,bias_ai,bias_tree,tokens_in
1,,0,up/NORMAL,,,0
2,,0,up/NORMAL,,,0
3,,0,up/NORMAL,,,0
4,,0,up/NORMAL,,,0
5,,0,up/NORMAL,,,0
6,,0,up/NORMAL,,,0
7,,0,up/NORMAL,,,0
8,,0,up/NORMAL,,,0
9,,0,up/NORMAL,,,0
10,,0,up/NORMAL,,,0
11,,0,up/NORMAL,,,0
12,,0,up/NORMAL,,,0
13,,0,up/NORMAL,,,0
14,,0,up/NORMAL,,,0
15,,0,up/NORMAL,,,0
16,,0,up/NORMAL,,,0
17,,0,up/NORMAL,,,0
18,,0,up/NORMAL,,,0
19,,0,up/NORMAL,,,0
20,,0,up/NORMAL,,,0
21,,0,up/NORMAL,,,0
22,,0,up/NORMAL,,,0
23,,0,up/NORMAL,,,0
24,,0,up/NORMAL,,,0
25,,0,up/NORMAL,,,0
26,,0,up/NORMAL,,,0
27,,0,up/NORMAL,,,0
28,,0,up/NORMAL,,,0
29,,0,up/NORMAL,,,0
30,,0,up/NORMAL,,,0
31,,0,up/NORMAL,,,0
32,,0,up/NORMAL,,,0
