kind,price,opened_at_ms,ids,outcomes
VWAP±2σ,29622.17165419221,1788498840000,1,break
OB,29633.25,1788499080000,2,hold
PDH,29601.0,1788496440000,3,hold
PDH,29601.0,1788498240000,4,break
ONH,29643.5,1788499200000,5,hold
PDC,29597.25,1788496260000,6,ambiguous_horizon
PDC,29597.25,1788497880000,7,break
RTH-H,29585.0,1788459300000,8,hold
RTH-H,29585.0,1788496020000,9,break
RTH-H,29585.0,1788497220000,10,ambiguous_horizon
SWG-H,29579.5,1788459300000,11,hold
SWG-H,29579.5,1788459960000,12,hold
SWG-H,29579.5,1788460500000,13,hold
SWG-H,29579.5,1788461400000,14,hold
SWG-H,29579.5,1788493140000,15,hold
SWG-H,29579.5,1788495840000,16,break
SWG-H,29568.5,1788458460000,17,ambiguous_horizon
SWG-H,29568.5,1788459540000,18,ambiguous_horizon
SWG-H,29568.5,1788460800000,19,ambiguous_horizon
SWG-H,29568.5,1788461940000,20,hold
SWG-H,29568.5,1788490440000,21,ambiguous_horizon
SWG-H,29568.5,1788491760000,22,ambiguous_horizon
SWG-H,29568.5,1788493440000,23,ambiguous_horizon
SWG-H,29568.5,1788494400000,24,ambiguous_horizon
SWG-H,29568.5,1788495420000,25,hold
VWAP,29509.089576892293,1788449160000,26,break
VWAP,29509.089576892293,1788450000000,27,hold
VWAP,29509.089576892293,1788450240000,28,hold
VWAP,29509.089576892293,1788451560000,29,ambiguous_horizon
VWAP,29509.089576892293,1788452520000,30,break
VWAP,29509.089576892293,1788453480000,31,break
VWAP,29509.089576892293,1788454980000,32,break
VWAP,29509.089576892293,1788456600000,33,break
VWAP,29509.089576892293,1788465300000,34,hold
VWAP,29509.089576892293,1788465600000,35,ambiguous_horizon
VWAP,29509.089576892293,1788466860000,36,ambiguous_horizon
VWAP,29509.089576892293,1788468360000,37,ambiguous_horizon
VWAP,29509.089576892293,1788472800000,38,hold
VWAP,29509.089576892293,1788476340000,39,ambiguous_horizon
VWAP,29509.089576892293,1788478020000,40,ambiguous_horizon
VWAP,29509.089576892293,1788478920000,41,ambiguous_horizon
VWAP,29509.089576892293,1788480060000,42,ambiguous_horizon
OB,29490.875,1788448980000,43,break
OB,29490.875,1788452760000,44,hold
OB,29490.875,1788455400000,45,ambiguous_horizon
OB,29490.875,1788456300000,46,break
OB,29490.875,1788472860000,47,ambiguous_horizon
OB,29490.875,1788473700000,48,ambiguous_horizon
OB,29490.875,1788474540000,49,ambiguous_horizon
ONL,29481.5,1788448920000,50,break
ONL,29481.5,1788456000000,51,hold
ONL,29481.5,1788473460000,52,hold
VWAP±2σ,29637.522083992048,1788499080000,53,hold
PDH,29601.0,1788500940000,54,hold
PDC,29597.25,1788501000000,55,hold
SWG-L,29591.5,1788496020000,56,ambiguous_horizon
SWG-L,29591.5,1788497700000,57,break
SWG-L,29591.5,1788501000000,58,hold
VWAP,29554.195227116023,1788458400000,59,break
VWAP,29554.195227116023,1788462000000,60,ambiguous_horizon
VWAP,29554.195227116023,1788488580000,61,ambiguous_horizon
VWAP,29554.195227116023,1788489660000,62,ambiguous_horizon
eVWAP,29549.24923737589,1788457920000,63,break
eVWAP,29549.24923737589,1788462480000,64,break
eVWAP,29549.24923737589,1788485820000,65,hold
eVWAP,29549.24923737589,1788487860000,66,ambiguous_horizon
eVWAP,29549.24923737589,1788489240000,67,ambiguous_horizon
SWG-H,29513.0,1788449160000,68,break
SWG-H,29513.0,1788449880000,69,ambiguous_horizon
SWG-H,29513.0,1788451440000,70,ambiguous_horizon
SWG-H,29513.0,1788452520000,71,break
SWG-H,29513.0,1788453480000,72,break
SWG-H,29513.0,1788454920000,73,break
SWG-H,29513.0,1788456660000,74,break
