id,side,pnl_c,exit_reason_log,mae,mfe
521,SHORT,138.0,tp,16.0,71.25
522,SHORT,-60.5,sl,49.25,10.25
523,SHORT,118.0,tp,11.5,79.5
524,SHORT,273.5,tp,16.5,137.5
525,LONG,-43.0,sl,21.75,19.75
526,SHORT,-69.42857199999708,manual,57.5,2.75
527,SHORT,-88.0,sl,44.25,5.0
528,SHORT,-97.5,sl,49.0,48.0
529,SHORT,168.0,tp,43.75,91.0
530,SHORT,13.0,manual,6.25,10.0
531,LONG,-147.5,sl,75.0,16.25
532,SHORT,311.0,tp,61.5,156.75
533,SHORT,-54.5,sl,30.25,36.0
534,SHORT,-66.0,sl,36.75,40.5
535,SHORT,-31.0,sl,17.75,7.0
536,SHORT,124.0,tp,6.75,62.25
537,SHORT,-79.5,sl,42.0,20.25
538,SHORT,30.5,manual,2.75,16.25
539,SHORT,-84.5,sl,43.0,42.25
540,LONG,-98.0,sl,50.0,6.5
541,LONG,-83.0,sl,42.25,28.0
542,SHORT,0.0,sl,35.5,89.75
543,SHORT,-88.5,sl,45.0,25.0
544,SHORT,-61.5,sl,31.5,19.5
545,LONG,-29.5,sl,15.25,3.0
546,LONG,-88.5,sl,51.0,9.75
547,SHORT,-139.5,sl,73.25,15.25
548,SHORT,-54.5,sl,44.75,58.5
549,SHORT,169.5,tp,10.5,85.5
550,SHORT,-84.5,sl,42.5,20.25
551,SHORT,0.0,sl,0.5,69.75
552,SHORT,-7.5,sl,5.5,10.0
553,SHORT,-27.0,sl,18.0,0.0
554,SHORT,-62.0,sl,58.75,58.0
555,LONG,168.0,tp,22.5,92.0
556,LONG,-40.0,sl,33.5,0.75
557,LONG,46.5,sl,17.25,71.75
558,LONG,-22.5,limit,27.5,5.75
559,LONG,-78.5,sl,100.75,23.5
560,SHORT,81.0,limit,3.0,50.5
561,LONG,-52.0,sl,30.0,17.5
562,SHORT,-98.5,sl,51.25,25.75
563,LONG,-49.5,sl,29.5,34.75
564,SHORT,-69.0,sl,36.75,6.75
565,SHORT,-62.5,sl,32.75,4.25
566,LONG,97.0,tp,,
567,SHORT,-42.0,sl,21.5,28.5
568,SHORT,-32.0,sl,17.0,1.75
569,SHORT,63.0,limit,0.0,36.0
570,LONG,17.0,sl,14.5,66.25
571,LONG,-44.5,sl,22.5,17.0
575,SHORT,32.5,manual,6.0,41.5
580,SHORT,39.5,tp,0.0,20.75
581,SHORT,190.5,tp,2.5,73.5
582,SHORT,129.5,tp,11.25,69.25
583,LONG,-82.5,sl,43.25,25.0
584,SHORT,106.0,tp,0.0,58.0
585,SHORT,-77.5,sl,38.75,0.0
586,LONG,-54.0,sl,27.5,0.0
587,LONG,-62.5,sl,33.0,25.75
588,LONG,-65.0,sl,33.25,0.0
589,LONG,-155.0,sl,80.5,10.25
590,LONG,-99.0,sl,49.75,1.0
591,SHORT,-140.0,sl,75.0,43.5
