plan_rowid,plan_id,version,session,scenario,condition,evaluations,met_flips,record_supported_met_flips,arm_confirm_flips,validation_pass_flips,first_changed_decision,coverage
1,2026-08-15:NY,1,NY,S0,hold,0,0,0,0,0,,NOT_REPLAYED
2,2026-08-15:NY,2,NY,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
2,2026-08-15:NY,2,NY,S2,reject,0,0,0,0,0,,NOT_REPLAYED
2,2026-08-15:NY,2,NY,S3,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
3,2026-08-16:NY,1,NY,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
3,2026-08-16:NY,1,NY,S2,reject,0,0,0,0,0,,NOT_REPLAYED
3,2026-08-16:NY,1,NY,S3,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
4,2026-08-16:NY,2,NY,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
4,2026-08-16:NY,2,NY,S2,reject,0,0,0,0,0,,NOT_REPLAYED
4,2026-08-16:NY,2,NY,S3,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
5,2026-08-16:ASIA,1,ASIA,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
5,2026-08-16:ASIA,1,ASIA,S2,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
5,2026-08-16:ASIA,1,ASIA,S3,reject,0,0,0,0,0,,NOT_REPLAYED
6,2026-08-16:ASIA,2,ASIA,S1,reject,0,0,0,0,0,,NOT_REPLAYED
6,2026-08-16:ASIA,2,ASIA,S2,hold,0,0,0,0,0,,NOT_REPLAYED
6,2026-08-16:ASIA,2,ASIA,S3,acceptance,0,0,0,0,0,,NOT_REPLAYED
7,2026-08-16:ASIA,3,ASIA,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
7,2026-08-16:ASIA,3,ASIA,S2,hold,0,0,0,0,0,,NOT_REPLAYED
7,2026-08-16:ASIA,3,ASIA,S3,reject,0,0,0,0,0,,NOT_REPLAYED
8,2026-08-16:ASIA,4,ASIA,S1,hold,0,0,0,0,0,,NOT_REPLAYED
8,2026-08-16:ASIA,4,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
8,2026-08-16:ASIA,4,ASIA,S3,acceptance,0,0,0,0,0,,NOT_REPLAYED
9,2026-08-16:ASIA,5,ASIA,S1,hold,0,0,0,0,0,,NOT_REPLAYED
9,2026-08-16:ASIA,5,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
10,2026-08-16:ASIA,6,ASIA,S0,hold,0,0,0,0,0,,NOT_REPLAYED
11,2026-08-17:ASIA,1,ASIA,S1,hold,0,0,0,0,0,,NOT_REPLAYED
11,2026-08-17:ASIA,1,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
11,2026-08-17:ASIA,1,ASIA,S3,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
12,2026-08-17:LONDON,1,LONDON,S1,hold,0,0,0,0,0,,NOT_REPLAYED
12,2026-08-17:LONDON,1,LONDON,S2,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
12,2026-08-17:LONDON,1,LONDON,S3,reject,0,0,0,0,0,,NOT_REPLAYED
13,2026-08-17:NY,1,NY,S1,hold,0,0,0,0,0,,NOT_REPLAYED
13,2026-08-17:NY,1,NY,S2,acceptance,0,0,0,0,0,,NOT_REPLAYED
13,2026-08-17:NY,1,NY,S3,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
14,2026-08-17:NY,2,NY,S1,hold,0,0,0,0,0,,NOT_REPLAYED
14,2026-08-17:NY,2,NY,S2,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
14,2026-08-17:NY,2,NY,S3,reject,0,0,0,0,0,,NOT_REPLAYED
15,2026-08-17:NY,3,NY,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
15,2026-08-17:NY,3,NY,S2,breakout_retest,0,0,0,0,0,,NOT_REPLAYED
15,2026-08-17:NY,3,NY,S3,reject,0,0,0,0,0,,NOT_REPLAYED
16,2026-08-17:ASIA,2,ASIA,S1,sweep_reclaim,0,0,0,0,0,,NOT_REPLAYED
16,2026-08-17:ASIA,2,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
17,2026-08-17:ASIA,3,ASIA,S1,reclaim,0,0,0,0,0,,NOT_REPLAYED
17,2026-08-17:ASIA,3,ASIA,S2,reject,0,0,0,0,0,,NOT_REPLAYED
