level_key,plan_row,session,date,label,kind,grade,machine_grade,price,narrative_distance_pts,narrative_distance_atr,publication_distance_pts,publication_distance_atr
p2:L0,2,NY,2026-08-15,GATE 30150,other,A,,30150,,,,
p2:L1,2,NY,2026-08-15,PDC,PDC,A,,30154.75,,,,
p2:L2,2,NY,2026-08-15,EQH,EQH,A,,30218,,,,
p2:L3,2,NY,2026-08-15,EQH,EQH,A,,30219.5,,,,
p2:L4,2,NY,2026-08-15,EQL,EQL,A,,30223.5,,,,
p2:L5,2,NY,2026-08-15,RTH-H,RTH-H,A,,30280.75,,,,
p2:L6,2,NY,2026-08-15,PDH,PDH,A,,30287.25,,,,
p2:L7,2,NY,2026-08-15,PDL/RTH-L,composite,A,,30025,,,,
p3:L0,3,NY,2026-08-16,PDH,PDH,A,,30287.25,,,,
p3:L1,3,NY,2026-08-16,RTH-H,RTH-H,B,,30280.75,,,,
p3:L2,3,NY,2026-08-16,RN,RN,B,,30200,,,,
p3:L3,3,NY,2026-08-16,PDC,PDC,A,,30154.75,,,,
p3:L4,3,NY,2026-08-16,👤 D-zone 📝 [S1],other,A,,30120,,,,
p3:L5,3,NY,2026-08-16,nPOC·Thu,NPOC,C,,30075.5,,,,
p3:L6,3,NY,2026-08-16,PDL,PDL,A,,30025,,,,
p3:L7,3,NY,2026-08-16,ONL,ONL,C,,29980,,,,
p4:L0,4,NY,2026-08-16,PDH,PDH,A,,30287.25,,,,
p4:L1,4,NY,2026-08-16,RTH-H,RTH-H,A,,30280.75,,,,
p4:L2,4,NY,2026-08-16,RN,RN,A,,30200,,,,
p4:L3,4,NY,2026-08-16,PDC,PDC,B,,30154.75,,,,
p4:L4,4,NY,2026-08-16,👤 D-zone 📝 [S1],other,A,,30120,,,,
p4:L5,4,NY,2026-08-16,nPOC·Thu,NPOC,B,,30075.5,,,,
p4:L6,4,NY,2026-08-16,PDL,PDL,A,,30025,,,,
p4:L7,4,NY,2026-08-16,ONL,ONL,C,,29980,,,,
p5:L0,5,ASIA,2026-08-16,ONH,ONH,A,,30200.5,8.25,2.0008245822520796,,
p5:L1,5,ASIA,2026-08-16,EQL,EQL,A,,30192.25,0.0,0.0,,
p5:L2,5,ASIA,2026-08-16,ONL,ONL,A,,30166.25,26.0,6.305628986491402,,
p5:L3,5,ASIA,2026-08-16,PDH,PDH,A,,30148.25,44.0,10.671064438677757,,
p5:L4,5,ASIA,2026-08-16,PDC/RTH-H/RTH-L,composite,A,,30147.5,44.75,10.852957582518854,,
p5:L5,5,ASIA,2026-08-16,PDL,PDL,A,,30146.75,45.5,11.034850726359954,,
p6:L0,6,ASIA,2026-08-16,ONH,ONH,A,,30203,,,,
p6:L1,6,ASIA,2026-08-16,EQL,EQL,A,,30192.25,,,,
p6:L2,6,ASIA,2026-08-16,ONL,ONL,A,,30166.25,,,,
p6:L3,6,ASIA,2026-08-16,PDH,PDH,A,,30148.25,,,,
p6:L4,6,ASIA,2026-08-16,PDC,PDC,A,,30147.5,,,,
p6:L5,6,ASIA,2026-08-16,PDL,PDL,A,,30146.75,,,,
p7:L0,7,ASIA,2026-08-16,EQL,EQL,A,,30191.25,,,,
p7:L1,7,ASIA,2026-08-16,ONH,ONH,A,,30203,,,,
p7:L2,7,ASIA,2026-08-16,ONL,ONL,A,,30166.25,,,,
p7:L3,7,ASIA,2026-08-16,PDH,PDH,A,,30148.25,,,,
p7:L4,7,ASIA,2026-08-16,PDC,PDC,A,,30147.5,,,,
p7:L5,7,ASIA,2026-08-16,PDL,PDL,A,,30146.75,,,,
p8:L0,8,ASIA,2026-08-16,ONH,ONH,A,,30203,,,,
p8:L1,8,ASIA,2026-08-16,EQL,EQL,A,,30191.25,,,,
p8:L2,8,ASIA,2026-08-16,ONL,ONL,A,,30166.25,,,,
p8:L3,8,ASIA,2026-08-16,PDH,PDH,A,,30148.25,,,,
p8:L4,8,ASIA,2026-08-16,PDC,PDC,A,,30147.5,,,,
p8:L5,8,ASIA,2026-08-16,PDL,PDL,A,,30146.75,,,,
p9:L0,9,ASIA,2026-08-16,EQL,EQL,A,,30199.5,6.0,1.1219776726443145,,
p9:L1,9,ASIA,2026-08-16,ONH,ONH,A,,30203,9.5,1.7764646483534978,,
p9:L2,9,ASIA,2026-08-16,ONL,ONL,A,,30166.25,27.25,5.095648596592928,,
p9:L3,9,ASIA,2026-08-16,PDH,PDH,A,,30148.25,45.25,8.46158161452587,,
p9:L4,9,ASIA,2026-08-16,PDC,PDC,A,,30147.5,46.0,8.60182882360641,,
p9:L5,9,ASIA,2026-08-16,PDL,PDL,A,,30146.75,46.75,8.74207603268695,,
p11:L0,11,ASIA,2026-08-17,PDH/ONH,composite,A,,30254.75,19.5,2.536882366716103,,
p11:L1,11,ASIA,2026-08-17,PDC,PDC,A,,30234.5,0.75,0.09757239871985013,,
p11:L2,11,ASIA,2026-08-17,EQH,EQH,A,,30219.5,15.75,2.0490203731168526,,
p11:L3,11,ASIA,2026-08-17,EQH,EQH,A,,30218,17.25,2.244165170556553,,
p11:L4,11,ASIA,2026-08-17,EQH,EQH,A,,30214.75,20.5,2.66697889834257,,
p11:L5,11,ASIA,2026-08-17,PDL/ONL,composite,A,,30166.25,69.0,8.976660682226212,,
p12:L0,12,LONDON,2026-08-17,ONH,ONH,A,,30327.5,,,,
