plan_row,plan_key,session,date,created_ct,day_type,day_type_group,bias,regime,scenario_n,atr5m_saved,narrative_price,price_quote,publication_price_proxy,publication_bar_ms
1,2026-08-15:NY:v1,NY,2026-08-15,2026-08-15T19:44:31.825000-05:00,no-trade,no-trade,neutral,not-recorded,1,12.641,,,,
2,2026-08-15:NY:v2,NY,2026-08-15,2026-08-15T19:52:04.526000-05:00,balance,balance,neutral,not-recorded,3,12.641,,,,
3,2026-08-16:NY:v1,NY,2026-08-16,2026-08-16T00:12:57.845000-05:00,balance,balance,long,not-recorded,3,,,,,
4,2026-08-16:NY:v2,NY,2026-08-16,2026-08-16T00:12:57.846000-05:00,balance,balance,long,not-recorded,3,,,,,
5,2026-08-16:ASIA:v1,ASIA,2026-08-16,2026-08-16T17:12:46.855000-05:00,trend,trend,long,not-recorded,3,4.1233,30192.25,Price is 30192.25,,
6,2026-08-16:ASIA:v2,ASIA,2026-08-16,2026-08-16T17:19:02.222000-05:00,balance,balance,neutral,not-recorded,3,5.1157,,,,
7,2026-08-16:ASIA:v3,ASIA,2026-08-16,2026-08-16T17:23:34.425000-05:00,trend,trend,long,not-recorded,3,5.4787,,,,
8,2026-08-16:ASIA:v4,ASIA,2026-08-16,2026-08-16T17:26:19.609000-05:00,balance,balance,neutral,not-recorded,3,5.1945,,,,
9,2026-08-16:ASIA:v5,ASIA,2026-08-16,2026-08-16T17:32:28.654000-05:00,balance,balance,long,not-recorded,2,5.3477,30193.5,Price is 30193.50,,
10,2026-08-16:ASIA:v6,ASIA,2026-08-16,2026-08-16T17:37:29.565000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,,
11,2026-08-17:ASIA:v1,ASIA,2026-08-17,2026-08-17T00:07:03.453000-05:00,balance,balance,long,not-recorded,3,7.6866,30235.25,Price 30235.25,,
12,2026-08-17:LONDON:v1,LONDON,2026-08-17,2026-08-17T01:58:03.410000-05:00,trend,trend,long,not-recorded,3,11.4204,,,,
13,2026-08-17:NY:v1,NY,2026-08-17,2026-08-17T08:28:57.840000-05:00,trend,trend,long,not-recorded,3,19.6283,,,,
14,2026-08-17:NY:v2,NY,2026-08-17,2026-08-17T09:54:53.378000-05:00,trend,trend,long,not-recorded,3,31.6951,,,,
15,2026-08-17:NY:v3,NY,2026-08-17,2026-08-17T11:57:35.576000-05:00,trend,trend,long,not-recorded,3,21.4829,,,,
16,2026-08-17:ASIA:v2,ASIA,2026-08-17,2026-08-17T17:13:56.022000-05:00,balance,balance,neutral,not-recorded,2,15.0332,30085.25,Price 30085.25,,
17,2026-08-17:ASIA:v3,ASIA,2026-08-17,2026-08-17T19:18:14.747000-05:00,balance,balance,neutral,not-recorded,3,12.3672,30100.25,Price is 30100.25,,
18,2026-08-17:ASIA:v4,ASIA,2026-08-17,2026-08-17T23:29:41.440000-05:00,no-trade,no-trade,neutral,not-recorded,1,22.7639,,,,
19,2026-08-17:ASIA:v5,ASIA,2026-08-17,2026-08-17T23:49:55.208000-05:00,balance,balance,neutral,not-recorded,3,22.3875,,,,
20,2026-08-17:ASIA:v6,ASIA,2026-08-17,2026-08-18T00:22:08.330000-05:00,balance/breakdown attempt,balance,short,not-recorded,2,21.5564,29878.75,Price 29878.75,,
21,2026-08-18:LONDON:v1,LONDON,2026-08-18,2026-08-18T01:58:40.966000-05:00,balance,balance,neutral,not-recorded,3,20.3808,,,,
22,2026-08-18:NY:v1,NY,2026-08-18,2026-08-18T08:31:50.114000-05:00,balance,balance,neutral,not-recorded,3,21.2965,,,,
23,2026-08-18:ASIA:v1,ASIA,2026-08-18,2026-08-18T17:13:02.271000-05:00,trend,trend,short,not-recorded,3,18.3264,29573.5,Price 29573.50,,
24,2026-08-18:ASIA:v2,ASIA,2026-08-18,2026-08-18T20:25:39.444000-05:00,trend-down,trend,short,not-recorded,3,26.4919,,,,
25,2026-08-18:ASIA:v3,ASIA,2026-08-18,2026-08-19T01:04:25.350000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,,
26,2026-08-18:ASIA:v4,ASIA,2026-08-18,2026-08-19T01:08:51.642000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,,
27,2026-08-18:ASIA:v5,ASIA,2026-08-18,2026-08-19T01:30:04.473000-05:00,no-trade,no-trade,neutral,not-recorded,1,,,,,
