scenario_key,plan_row,plan_id,version,scenario,date,session,session_day,created_ct,hour_ct,day_type,day_type_group,bias,regime,condition,family,side,quality,trigger,anchor,anchor_source,level_keys,level_labels,level_kind,level_grade,arm_enabled,arm_ids,has_arm_evidence,placed_arm_ids,position_ids,complete_geometry,entry,stop,target,stop_pts,target_R,first_target_R,atr5m_saved,stop_atr,reached,reach_bar_ids,window_start_ct,window_end_ct,window_bars_n,expected_bars_n,window_complete,narrative_distance_pts,narrative_distance_atr,publication_distance_pts,publication_distance_atr
p1:S0:0,1,2026-08-15:NY,1,S0,2026-08-15,NY,2026-08-15:NY,2026-08-15T19:44:31.825000-05:00,19,no-trade,no-trade,neutral,not-recorded,hold,stand-aside,long,B,none,,unresolved,[],[],unresolved,unresolved,False,[],False,[],[],False,,,,,,,12.641,,unknown,[],2026-08-15T19:44:31.825000-05:00,2026-08-15T14:45:00-05:00,0,0,False,,,,
p2:S1:0,2,2026-08-15:NY,2,S1,2026-08-15,NY,2026-08-15:NY,2026-08-15T19:52:04.526000-05:00,19,balance,balance,neutral,not-recorded,reclaim,follow,long,B,5m close above PDC 30154.75 and holds 30150 as floor,30154.75,first trigger price matching a seated level,"[""p2:L1""]","[""PDC""]",PDC,A,False,[],False,[],[],False,,,,,,,12.641,,unknown,[],2026-08-15T19:52:04.526000-05:00,2026-08-15T14:45:00-05:00,0,0,False,,,,
p2:S2:1,2,2026-08-15:NY,2,S2,2026-08-15,NY,2026-08-15:NY,2026-08-15T19:52:04.526000-05:00,19,balance,balance,neutral,not-recorded,reject,fade,short,B,Rally into 30218-30223.5 cluster and 5m RSI roll/rejection,30218.0,first trigger price matching a seated level,"[""p2:L2""]","[""EQH""]",EQH,A,False,[],False,[],[],False,,,,,,,12.641,,unknown,[],2026-08-15T19:52:04.526000-05:00,2026-08-15T14:45:00-05:00,0,0,False,,,,
p2:S3:2,2,2026-08-15:NY,2,S3,2026-08-15,NY,2026-08-15:NY,2026-08-15T19:52:04.526000-05:00,19,balance,balance,neutral,not-recorded,breakout_retest,follow,short,B,5m close below 30150 gate and failed retest,30150.0,first trigger price matching a seated level,"[""p2:L0""]","[""GATE 30150""]",other,A,False,[],False,[],[],False,,,,,,,12.641,,unknown,[],2026-08-15T19:52:04.526000-05:00,2026-08-15T14:45:00-05:00,0,0,False,,,,
p3:S1:0,3,2026-08-16:NY,1,S1,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.845000-05:00,0,balance,balance,long,not-recorded,sweep_reclaim,fade,long,A,"sweep PDL 30025.00 and reclaim it on a 5m close, holding the 30120.00 owner zone as the first bid",30025.0,first trigger price matching a seated level,"[""p3:L6""]","[""PDL""]",PDL,A,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.845000-05:00,2026-08-16T00:12:57.846000-05:00,0,0,False,,,,
p3:S2:1,3,2026-08-16:NY,1,S2,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.845000-05:00,0,balance,balance,long,not-recorded,reject,fade,short,B,rally into 30280.75-30287.25 and reject it with a 5m RSI roll,30280.75,first trigger price matching a seated level,"[""p3:L1""]","[""RTH-H""]",RTH-H,B,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.845000-05:00,2026-08-16T00:12:57.846000-05:00,0,0,False,,,,
p3:S3:2,3,2026-08-16:NY,1,S3,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.845000-05:00,0,balance,balance,long,not-recorded,breakout_retest,follow,long,B,acceptance above RN 30200.00 then a held retest of it as support,30200.0,first trigger price matching a seated level,"[""p3:L2""]","[""RN""]",RN,B,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.845000-05:00,2026-08-16T00:12:57.846000-05:00,0,0,False,,,,
p4:S1:0,4,2026-08-16:NY,2,S1,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.846000-05:00,0,balance,balance,long,not-recorded,sweep_reclaim,fade,long,A,30025.00 sweep reclaimed — hold 30120.00 and continue up,30025.0,first trigger price matching a seated level,"[""p4:L6""]","[""PDL""]",PDL,A,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.846000-05:00,2026-08-16T14:45:00-05:00,0,872,False,,,,
p4:S2:1,4,2026-08-16:NY,2,S2,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.846000-05:00,0,balance,balance,long,not-recorded,reject,fade,short,B,rally into 30280.75-30287.25 and reject it with a 5m RSI roll,30280.75,first trigger price matching a seated level,"[""p4:L1""]","[""RTH-H""]",RTH-H,A,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.846000-05:00,2026-08-16T14:45:00-05:00,0,872,False,,,,
p4:S3:2,4,2026-08-16:NY,2,S3,2026-08-16,NY,2026-08-16:NY,2026-08-16T00:12:57.846000-05:00,0,balance,balance,long,not-recorded,breakout_retest,follow,long,A,acceptance above RN 30200.00 then a held retest of it as support,30200.0,first trigger price matching a seated level,"[""p4:L2""]","[""RN""]",RN,A,False,[],False,[],[],False,,,,,,,,,unknown,[],2026-08-16T00:12:57.846000-05:00,2026-08-16T14:45:00-05:00,0,872,False,,,,
p5:S1:0,5,2026-08-16:ASIA,1,S1,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:12:46.855000-05:00,17,trend,trend,long,not-recorded,reclaim,follow,long,B,5m reclaims 30166.25 ONL after a pullback holds above 30148.25/30147.50,30166.25,first trigger price matching a seated level,"[""p5:L2""]","[""ONL""]",ONL,A,False,[],False,[],[],False,,,,,,,4.1233,,unknown,[],2026-08-16T17:12:46.855000-05:00,2026-08-16T17:19:02.222000-05:00,0,6,False,26.0,6.305628986491402,,
p5:S2:1,5,2026-08-16:ASIA,1,S2,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:12:46.855000-05:00,17,trend,trend,long,not-recorded,breakout_retest,follow,long,B,"Break above 30200.50 ONH with 1m/5m close above, then retest holds",30200.5,first trigger price matching a seated level,"[""p5:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,4.1233,,unknown,[],2026-08-16T17:12:46.855000-05:00,2026-08-16T17:19:02.222000-05:00,0,6,False,8.25,2.0008245822520796,,
p5:S3:2,5,2026-08-16:ASIA,1,S3,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:12:46.855000-05:00,17,trend,trend,long,not-recorded,reject,fade,short,B,Reject at 30200.50 ONH then losing 30166.25 ONL on 5m,30200.5,first trigger price matching a seated level,"[""p5:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,4.1233,,unknown,[],2026-08-16T17:12:46.855000-05:00,2026-08-16T17:19:02.222000-05:00,0,6,False,8.25,2.0008245822520796,,
p6:S1:0,6,2026-08-16:ASIA,2,S1,2026-08-16,ASIA,2026-08-16:ASIA,2026-08-16T17:19:02.222000-05:00,17,balance,balance,neutral,not-recorded,reject,fade,short,B,15m stall/rejection at ONH 30203 with RSI stretched,30203.0,first trigger price matching a seated level,"[""p6:L0""]","[""ONH""]",ONH,A,False,[],False,[],[],False,,,,,,,5.1157,,unknown,[],2026-08-16T17:19:02.222000-05:00,2026-08-16T17:23:34.425000-05:00,0,3,False,,,,
