ID,Day,Session,Era,Cell,Fill,Reason,ConfiguredAdmission,Filled,Entry,Stop,Target,RiskUSD,Net,NetUpper,Time,ExitTime,Exit,FillBarAmbiguous
read-000000-zone-0007,2022-04-10,LONDON,in_sample,legacy_corrected,A_touch,,,True,14219.25,14198.5,14232,45.5,-22.75,10.75,1649661120000,1649661360000,stop,True
read-000000-zone-0014,2022-04-10,LONDON,in_sample,legacy_corrected,A_touch,,,True,14250,14270.75,14240,45.5,8,8,1649660520000,1649660880000,target,False
read-000001-zone-0017,2022-04-10,NY,in_sample,legacy_corrected,A_touch,,,True,14167.75,14192.25,14156.25,53,9.5,9.5,1649684220000,1649684220000,target,False
read-000001-zone-0023,2022-04-10,NY,in_sample,legacy_corrected,A_touch,,,True,14176.25,14200.75,14176.25,53,-2,-2,1649683860000,1649683860000,target,False
read-000001-zone-0027,2022-04-10,NY,in_sample,legacy_corrected,A_touch,,,True,14185,14209.5,14181,53,2,2,1649684820000,1649684820000,target,False
read-000003-zone-0060,2022-04-11,LONDON,in_sample,legacy_corrected,A_touch,,,True,13962,13946.25,13964.25,35.5,0.25,0.25,1649747100000,1649747520000,target,True
read-000004-zone-0177,2022-04-11,NY,in_sample,legacy_corrected,A_touch,,,True,14219.25,14261.75,14212.75,89,4.5,4.5,1649771280000,1649771280000,target,False
read-000004-zone-0189,2022-04-11,NY,in_sample,legacy_corrected,A_touch,,,True,14251.75,14294.25,14238.75,89,11,11,1649771640000,1649771760000,target,True
read-000006-zone-0225,2022-04-12,LONDON,in_sample,legacy_corrected,A_touch,,,True,14049,14031.25,14051.5,39.5,0.5,0.5,1649833500000,1649833560000,target,True
read-000006-zone-0235,2022-04-12,LONDON,in_sample,legacy_corrected,A_touch,,,True,14066,14083.75,14066,39.5,-2,-2,1649833380000,1649833380000,target,False
read-000006-zone-0245,2022-04-12,LONDON,in_sample,legacy_corrected,A_touch,,,True,14075,14092.75,14073.75,39.5,-0.75,-0.75,1649837160000,1649837160000,target,False
read-000008-zone-0636,2022-04-12,ASIA,in_sample,legacy_corrected,A_touch,,,True,14219.75,14236.5,14219.5,37.5,-1.75,-1.75,1649887260000,1649887260000,target,False
read-000010-zone-0175,2022-04-13,NY,in_sample,legacy_corrected,A_touch,,,True,14205.5,14181,14210.75,53,3.25,3.25,1649943060000,1649943060000,target,False
read-000020-zone-0026,2022-04-16,ASIA,in_sample,legacy_corrected,A_touch,,,True,13884,13864.25,13892.25,43.5,-21.75,6.25,1650232860000,1650232860000,stop,True
read-000021-zone-0066,2022-04-17,LONDON,in_sample,legacy_corrected,A_touch,,,True,13786,13798.75,13786,29.5,-2,-2,1650266760000,1650266820000,target,True
read-000021-zone-0072,2022-04-17,LONDON,in_sample,legacy_corrected,A_touch,,,True,13798,13810.75,13796.5,29.5,-14.75,-0.5,1650268920000,1650268920000,stop,True
read-000022-zone-0114,2022-04-17,NY,in_sample,legacy_corrected,A_touch,,,True,13838,13818.75,13838.75,42.5,-1.25,-1.25,1650290040000,1650290040000,target,False
read-000022-zone-0117,2022-04-17,NY,in_sample,legacy_corrected,A_touch,,,True,13842.5,13823.25,13848.5,42.5,4,4,1650290040000,1650290280000,target,True
read-000022-zone-0121,2022-04-17,NY,in_sample,legacy_corrected,A_touch,,,True,13858.5,13877.75,13858.5,42.5,-21.25,-2,1650288660000,1650288660000,stop,True
read-000023-zone-0237,2022-04-17,ASIA,in_sample,legacy_corrected,A_touch,,,True,13973.25,14001.25,13971.5,60,-0.25,-0.25,1650319260000,1650319260000,target,False
read-000023-zone-0259,2022-04-17,ASIA,in_sample,legacy_corrected,A_touch,,,True,13993.75,14021.75,13991,60,0.75,0.75,1650325740000,1650328980000,target,True
read-000024-zone-0288,2022-04-18,LONDON,in_sample,legacy_corrected,A_touch,,,True,13974,13957.75,13975.5,36.5,-0.5,-0.5,1650351660000,1650351840000,target,True
read-000024-zone-0302,2022-04-18,LONDON,in_sample,legacy_corrected,A_touch,,,True,13979,13962.75,13979.25,36.5,-1.75,-1.75,1650351660000,1650351840000,target,True
read-000025-zone-0134,2022-04-18,NY,in_sample,legacy_corrected,A_touch,,,True,13888,13912.5,13888,53,-2,-2,1650375060000,1650375120000,target,True
read-000025-zone-0155,2022-04-18,NY,in_sample,legacy_corrected,A_touch,,,True,13905,13929.5,13904.25,53,-1.25,-1.25,1650375120000,1650375120000,target,False
read-000025-zone-0161,2022-04-18,NY,in_sample,legacy_corrected,A_touch,,,True,13917,13941.5,13916.25,53,-1.25,-1.25,1650375300000,1650375300000,target,False
read-000027-zone-0261,2022-04-19,LONDON,in_sample,legacy_corrected,A_touch,,,True,14070.5,14051.75,14073.25,41.5,0.75,0.75,1650438180000,1650438180000,target,False
read-000027-zone-0276,2022-04-19,LONDON,in_sample,legacy_corrected,A_touch,,,True,14080.25,14061.5,14081,41.5,-1.25,-1.25,1650438120000,1650438240000,target,True
read-000030-zone-0204,2022-04-20,LONDON,in_sample,legacy_corrected,A_touch,,,True,14070.75,14051.75,14072.5,42,-0.25,-0.25,1650524460000,1650524460000,target,False
read-000030-zone-0223,2022-04-20,LONDON,in_sample,legacy_corrected,A_touch,,,True,14076.75,14057.75,14077.75,42,-1,-1,1650524460000,1650524460000,target,False
read-000030-zone-0269,2022-04-20,LONDON,in_sample,legacy_corrected,A_touch,,,True,14091.5,14110.5,14091.5,42,-2,-2,1650524640000,1650524640000,target,False
read-000031-zone-0409,2022-04-20,NY,in_sample,legacy_corrected,A_touch,,,True,14178.5,14160,14182.5,41,2,2,1650550020000,1650550080000,target,True
read-000031-zone-0433,2022-04-20,NY,in_sample,legacy_corrected,A_touch,,,True,14197,14215.5,14194,41,-20.5,1,1650547860000,1650547920000,stop,True
