ID,Read,Day,Session,Contract,Era,Side,Outcome,TF,Families,Time,Entry,Lo,Hi,ATR
read-000000-zone-0007,0,2022-04-10,LONDON,MNQ 06-22,in_sample,long,break,,2,1649661120000,14219.25,14218.25,14226,13.814959912536443
read-000000-zone-0014,0,2022-04-10,LONDON,MNQ 06-22,in_sample,short,break,,2,1649660520000,14250,14249,14253.75,13.814959912536443
read-000000-zone-0017,0,2022-04-10,LONDON,MNQ 06-22,in_sample,short,hold,,1,1649660580000,14260.5,14258.5,14262.5,13.814959912536443
read-000001-zone-0013,1,2022-04-10,NY,MNQ 06-22,in_sample,long,hold,,2,1649683860000,14144.125,14141.5,14152,16.345509530326932
read-000001-zone-0017,1,2022-04-10,NY,MNQ 06-22,in_sample,short,hold,,3,1649684220000,14167.75,14164.5,14176,16.345509530326932
read-000001-zone-0023,1,2022-04-10,NY,MNQ 06-22,in_sample,short,hold,,2,1649683860000,14176.125,14173.75,14186.5,16.345509530326932
read-000001-zone-0027,1,2022-04-10,NY,MNQ 06-22,in_sample,short,hold,,2,1649684820000,14185,14182.5,14193.586377382582,16.345509530326932
read-000002-zone-0023,2,2022-04-10,ASIA,MNQ 06-22,in_sample,long,hold,5m,2,1649719380000,13991,13987.644716847924,13996.25,13.421132608303868
read-000002-zone-0026,2,2022-04-10,ASIA,MNQ 06-22,in_sample,long,hold,,3,1649715000000,13998,13996.25,14008,13.421132608303868
read-000002-zone-0029,2,2022-04-10,ASIA,MNQ 06-22,in_sample,long,hold,5m,2,1649718000000,14006.75,14003.394716847924,14016,13.421132608303868
read-000002-zone-0034,2,2022-04-10,ASIA,MNQ 06-22,in_sample,short,hold,,1,1649714580000,14019.5,14016,14023,13.421132608303868
read-000003-zone-0048,3,2022-04-11,LONDON,MNQ 06-22,in_sample,long,hold,,2,1649747160000,13942.75,13939.5,13949.75,10.553754845326127
read-000003-zone-0050,3,2022-04-11,LONDON,MNQ 06-22,in_sample,long,hold,,3,1649747160000,13947.25,13943.75,13954,10.553754845326127
read-000003-zone-0060,3,2022-04-11,LONDON,MNQ 06-22,in_sample,long,break,5m,2,1649747100000,13962,13959.361561288668,13969.75,10.553754845326127
read-000003-zone-0063,3,2022-04-11,LONDON,MNQ 06-22,in_sample,short,hold,15m,3,1649747640000,13974.25,13969.474763376938,13979.025236623062,10.553754845326127
