ID,Era,Session,Day,Cell,Reason,ConfiguredAdmission,Entry,Stop,Target,RiskUSD
read-000000-zone-0007,in_sample,LONDON,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14219.25,14218,14229.75,6.5
read-000000-zone-0007,in_sample,LONDON,2022-04-10,p90,geometry_pass,risk_cap_missing,14219.25,14217,14229.75,8.5
read-000000-zone-0007,in_sample,LONDON,2022-04-10,p95,rr,rr,14219.25,14213.75,14229.75,15
read-000000-zone-0014,in_sample,LONDON,2022-04-10,p50_p75_tick_floor,net_nonpositive,net_nonpositive,14250,14254,14248,12
read-000000-zone-0014,in_sample,LONDON,2022-04-10,p90,net_nonpositive,net_nonpositive,14250,14255,14248,14
read-000000-zone-0014,in_sample,LONDON,2022-04-10,p95,net_nonpositive,net_nonpositive,14250,14258.25,14248,20.5
read-000000-zone-0017,in_sample,LONDON,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14260.5,14262.75,14253.75,8.5
read-000000-zone-0017,in_sample,LONDON,2022-04-10,p90,geometry_pass,risk_cap_missing,14260.5,14263.75,14253.75,10.5
read-000000-zone-0017,in_sample,LONDON,2022-04-10,p95,rr,rr,14260.5,14267,14253.75,17
read-000001-zone-0013,in_sample,NY,2022-04-10,p50_p75_tick_floor,geometry_pass,risk_cap_missing,14144.25,14141.25,14154.25,10
read-000001-zone-0013,in_sample,NY,2022-04-10,p90,geometry_pass,risk_cap_missing,14144.25,14140.25,14154.25,12
read-000001-zone-0013,in_sample,NY,2022-04-10,p95,rr,rr,14144.25,14137,14154.25,18.5
read-000001-zone-0017,in_sample,NY,2022-04-10,p50_p75_tick_floor,rr,rr,14167.75,14176.25,14164.25,21
read-000001-zone-0017,in_sample,NY,2022-04-10,p90,rr,rr,14167.75,14177.25,14164.25,23
read-000001-zone-0017,in_sample,NY,2022-04-10,p95,rr,rr,14167.75,14180.5,14164.25,29.5
read-000001-zone-0023,in_sample,NY,2022-04-10,p50_p75_tick_floor,rr,rr,14176.25,14186.75,14164.25,25
read-000001-zone-0023,in_sample,NY,2022-04-10,p90,rr,rr,14176.25,14187.75,14164.25,27
read-000001-zone-0023,in_sample,NY,2022-04-10,p95,rr,rr,14176.25,14191,14164.25,33.5
read-000001-zone-0027,in_sample,NY,2022-04-10,p50_p75_tick_floor,rr,rr,14185,14194,14176,22
