id	path	package	name	receiver	kind	start_line	end_line	is_test	source_sha256	syntactic_call_count
agent/active_session.go:37:1:activeSkillSessionKey	agent/active_session.go	agent	activeSkillSessionKey		declaration	37	39	false	a63da04f318fd4b840ea5bd769b90fdbb55f5e227e33d5ca4f4d0e42d0e24622	1
agent/active_session.go:41:1:pendingProposalSessionKey	agent/active_session.go	agent	pendingProposalSessionKey		declaration	41	43	false	e5dc911b2236a858ef567c22dd395475743b53bb3942b8f0f8f9457b0b0ab3ee	1
agent/active_session.go:45:1:getActiveSkillSession	agent/active_session.go	agent	getActiveSkillSession	*Agent	declaration	45	62	false	477749c46f216b5b6c712c0b89c7dc4ae4fb332ee3988b32f784e1a73bb09e7c	6
agent/active_session.go:64:1:saveActiveSkillSession	agent/active_session.go	agent	saveActiveSkillSession	*Agent	declaration	64	72	false	fed9e09003e77b4d3df1612146aba0ad11db84f31fdf16d77b39c3dc481f984b	8
agent/active_session.go:74:1:clearActiveSkillSession	agent/active_session.go	agent	clearActiveSkillSession	*Agent	declaration	74	79	false	7cda37172e2e42e9df3d67cc0fc966cb1c683d8190534756a2ffb1f499d0f94a	2
agent/active_session.go:81:1:getPendingProposalSession	agent/active_session.go	agent	getPendingProposalSession	*Agent	declaration	81	97	false	c64262c16f95f3bdac24d6376d97e242e01ee0ee3c2606c9ec4e0818be727a65	6
agent/active_session.go:99:1:savePendingProposalSession	agent/active_session.go	agent	savePendingProposalSession	*Agent	declaration	99	106	false	2c8acc1bbfee567d636f2aa5ae438a4b06fdce35703bf15bcec8f43a39ee810e	7
agent/active_session.go:108:1:clearPendingProposalSession	agent/active_session.go	agent	clearPendingProposalSession	*Agent	declaration	108	113	false	256a607821f60e02b991fd03704e3dbdb4228d914a9013d46be74e0fa0a88431	2
agent/active_session.go:115:1:newActiveSkillSession	agent/active_session.go	agent	newActiveSkillSession		declaration	115	127	false	91688a94d8fa4782bcfa2acd13340441dd31f9f01eba0a0698566b15bdfc031f	6
agent/active_session.go:129:1:normalizePendingHint	agent/active_session.go	agent	normalizePendingHint		declaration	129	142	false	65f7a4fc37463828d85a89bcd69624bb21172d15f668eb29150dd7b98bc10814	2
agent/active_session.go:144:1:pendingHintFromAssistantReply	agent/active_session.go	agent	pendingHintFromAssistantReply		declaration	144	162	false	55c4025eed7786c3512950d4af284e4e3cd3e7145ab5c425ef777432a0da6567	9
agent/active_session.go:164:1:setActiveSessionPendingHint	agent/active_session.go	agent	setActiveSessionPendingHint		declaration	164	169	false	349b4c3a576fed6e58f08b75fb9f409ccc107c15b34b26fed9a8267281f2c36f	1
agent/active_session.go:171:1:clearActiveSessionPendingHint	agent/active_session.go	agent	clearActiveSessionPendingHint		declaration	171	176	false	0a8b4a3ecb8d04b5266386a1911e1ba32bf820a8b2cf23350ecb9a683827a532	0
agent/active_session.go:178:1:currentPendingHintText	agent/active_session.go	agent	currentPendingHintText	*Agent	declaration	178	189	false	8a2fa79d0e16fd6271be6bfcfa2ff61df9b1b823c2f806c12f2b163234502a72	11
agent/active_session.go:191:1:activeSessionHasField	agent/active_session.go	agent	activeSessionHasField		declaration	191	227	false	babe452f67813fa2046063241a2b134eedd74a55cc0ef89ca42fca31399f76fd	15
agent/active_session.go:230:1:missingRequiredFields	agent/active_session.go	agent	missingRequiredFields		declaration	230	246	false	9f3ff09effd3b0c0c51b4a3affe794a7aeb02df5233c4d1a9249d9dde8b249f3	3
agent/active_session.go:249:1:fieldConstraintSummary	agent/active_session.go	agent	fieldConstraintSummary		declaration	249	272	false	5a6a2dbfb7a8029e7bd5fb43ce25aeeead8251e0edae0bcf2948f38d60c65677	13
agent/agent.go:64:1:DefaultConfig	agent/agent.go	agent	DefaultConfig		declaration	64	74	false	790e1734e0818d99316d0de42844a0a235588b0d60cc4efe894b8d40f8c67a2b	0
agent/agent.go:76:1:New	agent/agent.go	agent	New		declaration	76	81	false	73269cfdeba499ca74e139fac79f11b537a7ab786d4621ce21edf925a95a8f0a	4
