level_id,kind,day,period,price,band,k,delta,ordinal,session,entry_side,exit_side,outcome,bars_to_exit,mfe,mae,opened_at
ONH:2026-08-20:29686.75,ONH,2026-08-20,exploration,29686.75,16.11,3,5.3707,1,ASIA,below,below,hold,1,0.0,-32.25,1787180460000
ONH:2026-08-20:29686.75,ONH,2026-08-20,exploration,29686.75,16.11,3,5.3707,2,ASIA,below,below,hold,8,0.0,-34.0,1787208720000
ONL:2026-08-20:29240.25,ONL,2026-08-20,exploration,29240.25,16.11,3,5.3707,1,LONDON,above,above,hold,1,0.0,-21.75,1787229360000
ONL:2026-08-20:29240.25,ONL,2026-08-20,exploration,29240.25,16.11,3,5.3707,2,NY,above,below,break,5,24.75,-8.25,1787249100000
ONL:2026-08-20:29240.25,ONL,2026-08-20,exploration,29240.25,16.11,3,5.3707,3,NY,below,below,hold,6,8.0,-17.5,1787250000000
ONL:2026-08-20:29240.25,ONL,2026-08-20,exploration,29240.25,16.11,3,5.3707,4,NY,below,,ambiguous_horizon,13,19.0,-0.5,1787251620000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,1,LONDON,above,above,hold,3,5.75,-35.25,1787214780000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,2,LONDON,above,above,hold,4,15.0,-20.5,1787215560000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,3,LONDON,above,above,hold,6,3.5,-31.75,1787216100000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,4,LONDON,above,above,hold,1,0.0,-20.0,1787224380000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,5,LONDON,above,below,break,2,23.25,-3.0,1787224740000
RTH-H:2026-08-20:29470.25,RTH-H,2026-08-20,exploration,29470.25,16.11,3,5.3707,6,NY,below,below,hold,1,0.0,-39.25,1787233020000
RTH-L:2026-08-20:29202.50,RTH-L,2026-08-20,exploration,29202.5,16.11,3,5.3707,1,NY,above,above,hold,2,0.0,-28.25,1787249760000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,1,LONDON,above,below,break,8,20.0,-12.75,1787226360000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,2,NY,below,above,break,1,41.5,-50.5,1787232600000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,3,NY,above,above,hold,1,2.25,-62.75,1787233200000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,4,NY,above,below,break,2,25.5,-10.75,1787233560000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,5,NY,below,below,hold,1,16.5,-54.25,1787234100000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,6,NY,below,below,hold,1,0.0,-34.0,1787234400000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,7,NY,below,below,hold,2,15.25,-23.5,1787234940000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,8,NY,below,below,hold,3,20.75,-33.5,1787235780000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,9,NY,below,above,break,1,26.5,-8.5,1787236680000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,10,NY,above,below,break,4,25.75,-10.5,1787237220000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,11,NY,below,below,hold,1,6.25,-17.0,1787237520000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,12,NY,below,above,break,2,56.75,-4.0,1787237940000
OR30-H:2026-08-20:29392.25,OR30-H,2026-08-20,exploration,29392.25,16.11,3,5.3707,13,NY,above,below,break,1,27.5,0.0,1787238300000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,1,LONDON,above,below,break,1,38.5,0.0,1787227380000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,2,LONDON,below,above,break,7,29.75,-3.75,1787230380000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,3,LONDON,above,,ambiguous_horizon,13,14.5,-10.25,1787231460000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,4,LONDON,above,above,hold,4,0.25,-95.25,1787232420000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,5,NY,above,below,break,1,18.25,-27.75,1787233860000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,6,NY,above,above,hold,2,15.25,-25.75,1787234160000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,7,NY,above,above,hold,4,22.5,-43.0,1787234520000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,8,NY,above,above,hold,1,0.0,-53.75,1787234880000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,9,NY,above,below,break,4,25.0,-14.5,1787235300000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,10,NY,below,above,break,1,53.5,0.0,1787235600000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,11,NY,above,above,hold,3,4.25,-37.25,1787236020000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,12,NY,above,above,hold,1,9.5,-19.75,1787236440000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,13,NY,above,above,hold,2,7.0,-39.5,1787238660000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,14,NY,above,below,break,3,23.5,-8.5,1787239200000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,15,NY,below,below,hold,5,11.75,-41.5,1787239680000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,16,NY,below,below,hold,1,0.0,-19.75,1787241600000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,17,NY,below,below,hold,2,7.5,-26.75,1787241720000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,18,NY,below,below,hold,2,0.25,-28.75,1787242260000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,19,NY,below,below,hold,7,18.0,-27.25,1787242980000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,20,NY,below,above,break,4,22.25,0.0,1787243640000
OR30-L:2026-08-20:29338.50,OR30-L,2026-08-20,exploration,29338.5,16.11,3,5.3707,21,NY,above,below,break,7,18.0,-15.75,1787245680000
VWAP:2026-08-20:29456.22,VWAP,2026-08-20,exploration,29456.22,16.11,3,5.3707,1,LONDON,above,above,hold,1,0.0,-18.53,1787215680000
VWAP:2026-08-20:29456.22,VWAP,2026-08-20,exploration,29456.22,16.11,3,5.3707,2,LONDON,above,below,break,6,25.72,-11.03,1787224860000
VWAP:2026-08-20:29456.22,VWAP,2026-08-20,exploration,29456.22,16.11,3,5.3707,3,NY,below,below,hold,3,14.03,-25.22,1787232900000
VWAP:2026-08-20:29456.22,VWAP,2026-08-20,exploration,29456.22,16.11,3,5.3707,4,NY,below,below,hold,3,3.78,-62.47,1787233320000
VWAP:2026-08-20:29456.22,VWAP,2026-08-20,exploration,29456.22,16.11,3,5.3707,5,NY,below,below,hold,1,0.0,-42.97,1787238120000
VWAP+1s:2026-08-20:29583.22,VWAP+1s,2026-08-20,exploration,29583.22,16.11,3,5.3707,1,ASIA,below,above,break,1,31.28,0.0,1787176920000
VWAP+1s:2026-08-20:29583.22,VWAP+1s,2026-08-20,exploration,29583.22,16.11,3,5.3707,2,ASIA,above,above,hold,3,0.0,-23.78,1787184480000
