level_id,kind,day,period,price,band,k,delta,ordinal,session,entry_side,exit_side,outcome,bars_to_exit,mfe,mae,opened_at
ONH:2026-05-05,ONH,2026-05-05,exploration,28407.75,28.0,0.5,56.0084,1,NY,below,above,break,4,55.75,-79.75,1777986000000
ONH:2026-05-05,ONH,2026-05-05,exploration,28407.75,28.0,0.5,56.0084,2,NY,above,above,hold,1,7.25,-135.0,1778007600000
ONL:2026-05-05,ONL,2026-05-05,exploration,28114.25,28.0,0.5,56.0084,1,ASIA,below,above,break,4,40.75,-17.0,1777942800000
ONL:2026-05-05,ONL,2026-05-05,exploration,28114.25,28.0,0.5,56.0084,2,ASIA,above,above,hold,1,0.0,-108.0,1777960800000
ONH:2026-05-06,ONH,2026-05-06,exploration,28930.5,28.0,0.5,56.0084,1,LONDON,below,below,hold,1,0.0,-208.75,1778065200000
ONH:2026-05-06,ONH,2026-05-06,exploration,28930.5,28.0,0.5,56.0084,2,NY,below,above,break,1,91.0,0.0,1778090400000
ONL:2026-05-06,ONL,2026-05-06,exploration,28595.75,28.0,0.5,56.0084,1,ASIA,above,above,hold,4,37.5,-44.5,1778025600000
ONL:2026-05-06,ONL,2026-05-06,exploration,28595.75,28.0,0.5,56.0084,2,ASIA,above,above,hold,1,0.0,-52.5,1778047200000
PDH:2026-05-07,PDH,2026-05-07,exploration,29095.75,28.0,0.5,56.0084,1,LONDON,below,below,hold,1,14.75,-71.25,1778137200000
PDH:2026-05-07,PDH,2026-05-07,exploration,29095.75,28.0,0.5,56.0084,2,NY,below,above,break,1,145.0,-21.0,1778158800000
PDC:2026-05-07,PDC,2026-05-07,exploration,29008.75,28.0,0.5,56.0084,1,ASIA,below,above,break,6,92.0,-60.75,1778115600000
PDC:2026-05-07,PDC,2026-05-07,exploration,29008.75,28.0,0.5,56.0084,2,LONDON,above,above,hold,3,20.25,-47.0,1778144400000
PDC:2026-05-07,PDC,2026-05-07,exploration,29008.75,28.0,0.5,56.0084,3,NY,above,above,hold,1,0.0,-232.0,1778158800000
PDC:2026-05-07,PDC,2026-05-07,exploration,29008.75,28.0,0.5,56.0084,4,NY,above,below,break,2,159.5,-3.5,1778169600000
PDC:2026-05-07,PDC,2026-05-07,exploration,29008.75,28.0,0.5,56.0084,5,NY,below,,ambiguous_horizon,1,0.0,0.0,1778184000000
ONH:2026-05-07,ONH,2026-05-07,exploration,29110.5,28.0,0.5,56.0084,1,LONDON,below,below,hold,1,0.0,-102.0,1778140800000
ONH:2026-05-07,ONH,2026-05-07,exploration,29110.5,28.0,0.5,56.0084,2,NY,below,below,hold,1,115.75,-42.0,1778162400000
ONL:2026-05-07,ONL,2026-05-07,exploration,28986.75,28.0,0.5,56.0084,1,NY,above,below,break,2,137.5,-25.5,1778169600000
PDH:2026-05-08,PDH,2026-05-08,exploration,29240.75,28.0,0.5,56.0084,1,LONDON,below,above,break,1,165.75,-82.75,1778241600000
ONH:2026-05-08,ONH,2026-05-08,exploration,29406.5,28.0,0.5,56.0084,1,NY,below,above,break,1,62.75,-37.75,1778245200000
ONL:2026-05-08,ONL,2026-05-08,exploration,29074.75,28.0,0.5,56.0084,1,ASIA,below,below,hold,1,0.0,-69.5,1778202000000
ONL:2026-05-08,ONL,2026-05-08,exploration,29074.75,28.0,0.5,56.0084,2,ASIA,below,above,break,2,59.25,0.0,1778212800000
PDH:2026-05-11,PDH,2026-05-11,exploration,29679.0,28.0,0.5,56.0084,1,ASIA,below,below,hold,1,0.0,-132.75,1778457600000
PDH:2026-05-11,PDH,2026-05-11,exploration,29679.0,28.0,0.5,56.0084,2,LONDON,below,below,hold,1,0.0,-124.25,1778497200000
PDH:2026-05-11,PDH,2026-05-11,exploration,29679.0,28.0,0.5,56.0084,3,NY,below,above,break,2,92.0,-136.25,1778504400000
PDH:2026-05-11,PDH,2026-05-11,exploration,29679.0,28.0,0.5,56.0084,4,NY,above,,ambiguous_horizon,2,62.5,-47.25,1778526000000
PDC:2026-05-11,PDC,2026-05-11,exploration,29631.25,28.0,0.5,56.0084,1,ASIA,below,below,hold,1,67.0,-69.5,1778454000000
PDC:2026-05-11,PDC,2026-05-11,exploration,29631.25,28.0,0.5,56.0084,2,LONDON,below,below,hold,1,0.0,-47.25,1778490000000
PDC:2026-05-11,PDC,2026-05-11,exploration,29631.25,28.0,0.5,56.0084,3,LONDON,below,below,hold,1,18.0,-76.5,1778497200000
PDC:2026-05-11,PDC,2026-05-11,exploration,29631.25,28.0,0.5,56.0084,4,NY,above,,ambiguous_horizon,1,0.0,0.0,1778529600000
ONH:2026-05-11,ONH,2026-05-11,exploration,29733.0,28.0,0.5,56.0084,1,NY,below,below,hold,1,0.0,-190.25,1778504400000
ONH:2026-05-11,ONH,2026-05-11,exploration,29733.0,28.0,0.5,56.0084,2,NY,below,below,hold,1,43.25,-69.5,1778511600000
ONL:2026-05-11,ONL,2026-05-11,exploration,29554.75,28.0,0.5,56.0084,1,ASIA,above,above,hold,1,0.0,-102.25,1778461200000
ONL:2026-05-11,ONL,2026-05-11,exploration,29554.75,28.0,0.5,56.0084,2,LONDON,above,above,hold,1,0.0,-178.25,1778500800000
ONL:2026-05-11,ONL,2026-05-11,exploration,29554.75,28.0,0.5,56.0084,3,NY,above,above,hold,1,0.0,-216.25,1778508000000
