kind,exp_n,exp_p,exp_lo,exp_hi,exp_amb,hold_n,hold_p,hold_lo,hold_hi,hold_amb,hold_hold,hold_break,boot_p,boot_n,osler_null,osler_n,p_vs_boot
VWAP-1s,92,0.5217,0.4209,0.6209,0.098,63,0.5714,0.4486,0.686,0.2222,36,27,0.5165,848,0.5206,32749,
OR30-L,73,0.5616,0.4476,0.6695,0.131,58,0.5862,0.458,0.7037,0.1594,34,24,0.5129,850,0.523,32420,
OR30-H,89,0.5506,0.4473,0.6497,0.1759,51,0.5294,0.3952,0.6595,0.2031,27,24,0.5172,1048,0.5182,32544,
VWAP,91,0.5275,0.4259,0.6268,0.1495,48,0.5208,0.3833,0.6553,0.3239,25,23,0.5232,992,0.5192,33003,
VWAP+1s,66,0.3939,0.285,0.5145,0.2326,44,0.5455,0.4007,0.6829,0.1538,24,20,0.525,1118,0.5175,32948,
PDC,43,0.5116,0.3675,0.6538,0.2586,39,0.5385,0.3857,0.6843,0.339,21,18,0.5097,1187,0.5185,33382,
PDL,12,0.6667,0.3906,0.8619,0.2941,32,0.5312,0.3645,0.6913,0.1795,17,15,0.5166,842,0.5169,32351,
SETTLE,45,0.5333,0.3908,0.6707,0.3284,30,0.5667,0.392,0.7262,0.4,17,13,0.5392,1046,0.5197,32963,
ONH,20,0.7,0.481,0.8545,0.3548,26,0.5,0.3206,0.6794,0.2353,13,13,0.5412,935,0.5224,32698,
RND-500,23,0.2609,0.1255,0.4647,0.08,24,0.4583,0.2789,0.6493,0.4545,11,13,0.5397,780,0.5179,32565,
ONL,30,0.5667,0.392,0.7262,0.2308,23,0.4783,0.2924,0.6704,0.0417,11,12,0.5532,526,0.5172,32318,
RTH-L,22,0.7273,0.5185,0.8685,0.12,16,0.625,0.3864,0.8152,0.2,10,6,0.546,522,0.5247,32252,
RND-250,45,0.3778,0.2511,0.5237,0.2105,10,0.5,0.2366,0.7634,0.0,5,5,0.5102,737,0.5174,70665,
PDH,3,0.6667,0.2077,0.9385,0.4,8,0.5,0.2152,0.7848,0.2,4,4,0.5147,272,0.5203,32559,
RTH-H,22,0.5909,0.3873,0.7674,0.2414,7,0.8571,0.4869,0.9743,0.0,6,1,0.5173,897,0.5142,32357,
RND-1000,8,0.375,0.1368,0.6943,0.0,5,0.2,0.0362,0.6245,0.0,1,4,0.4642,349,0.5145,40653,
