symbol,tf,open_time_ms,o,h,l,c,v
MNQ,1m,1788336000000,29062.25,29070.25,29052.0,29055.0,1779.0
MNQ,1m,1788336060000,29054.25,29068.25,29051.25,29056.75,919.0
MNQ,1m,1788336120000,29056.5,29069.75,29056.5,29062.75,1265.0
MNQ,1m,1788336180000,29063.0,29081.5,29058.25,29076.0,1273.0
MNQ,1m,1788336240000,29076.0,29098.0,29072.5,29094.75,1438.0
MNQ,1m,1788336300000,29094.75,29097.5,29080.0,29085.75,1122.0
MNQ,1m,1788336360000,29085.75,29086.75,29066.5,29076.0,1026.0
MNQ,1m,1788336420000,29076.5,29081.0,29071.25,29081.0,562.0
MNQ,1m,1788336480000,29081.25,29086.0,29073.0,29079.25,721.0
MNQ,1m,1788336540000,29078.5,29078.5,29068.5,29075.0,577.0
MNQ,1m,1788336600000,29074.75,29087.5,29071.0,29086.0,589.0
MNQ,1m,1788336660000,29086.5,29088.5,29071.5,29074.5,596.0
MNQ,1m,1788336720000,29074.25,29079.5,29070.0,29079.0,408.0
MNQ,1m,1788336780000,29078.25,29079.25,29075.0,29078.5,266.0
MNQ,1m,1788336840000,29078.0,29080.5,29068.25,29074.5,570.0
MNQ,1m,1788336900000,29074.0,29088.5,29072.5,29073.25,700.0
MNQ,1m,1788336960000,29073.0,29081.5,29072.75,29078.0,504.0
MNQ,1m,1788337020000,29077.5,29078.25,29070.25,29075.0,237.0
MNQ,1m,1788337080000,29075.25,29076.5,29067.25,29069.25,334.0
MNQ,1m,1788337140000,29068.25,29071.75,29056.0,29057.0,688.0
MNQ,1m,1788337200000,29057.5,29062.0,29049.75,29051.5,1093.0
MNQ,1m,1788337260000,29051.0,29051.75,29038.75,29044.5,1056.0
MNQ,1m,1788337320000,29045.5,29054.5,29045.5,29052.5,595.0
MNQ,1m,1788337380000,29052.5,29055.75,29048.75,29050.0,322.0
MNQ,1m,1788337440000,29050.5,29051.5,29043.0,29046.0,539.0
MNQ,1m,1788337500000,29046.0,29050.0,29040.5,29040.5,379.0
MNQ,1m,1788337560000,29041.25,29051.5,29041.0,29049.5,333.0
MNQ,1m,1788337620000,29049.75,29060.5,29049.25,29058.75,631.0
MNQ,1m,1788337680000,29058.75,29062.0,29049.5,29051.25,680.0
MNQ,1m,1788337740000,29051.0,29057.0,29045.5,29052.0,351.0
MNQ,1m,1788337800000,29052.5,29062.25,29046.0,29060.25,423.0
MNQ,1m,1788337860000,29060.0,29068.0,29053.5,29056.5,851.0
MNQ,1m,1788337920000,29057.0,29068.75,29055.0,29055.25,905.0
MNQ,1m,1788337980000,29055.75,29063.0,29050.75,29052.5,559.0
MNQ,1m,1788338040000,29053.25,29056.5,29047.75,29049.5,430.0
MNQ,1m,1788338100000,29049.5,29050.5,29036.0,29046.5,1045.0
MNQ,1m,1788338160000,29046.5,29057.25,29044.0,29048.5,692.0
MNQ,1m,1788338220000,29048.5,29056.5,29047.0,29055.0,406.0
MNQ,1m,1788338280000,29054.5,29055.0,29042.5,29045.5,514.0
MNQ,1m,1788338340000,29046.5,29055.5,29045.5,29048.0,365.0
MNQ,1m,1788338400000,29048.25,29054.75,29045.5,29049.5,441.0
MNQ,1m,1788338460000,29050.0,29055.5,29045.25,29046.75,548.0
MNQ,1m,1788338520000,29046.25,29046.75,29038.0,29041.75,476.0
MNQ,1m,1788338580000,29042.0,29044.0,29032.75,29035.75,929.0
MNQ,1m,1788338640000,29036.75,29038.0,29032.0,29035.5,471.0
MNQ,1m,1788338700000,29036.25,29037.25,29031.5,29033.0,331.0
MNQ,1m,1788338760000,29033.0,29034.25,29030.5,29031.0,244.0
MNQ,1m,1788338820000,29030.75,29031.5,29024.0,29024.75,673.0
MNQ,1m,1788338880000,29025.0,29025.75,29021.25,29021.5,601.0
MNQ,1m,1788338940000,29022.25,29025.5,29020.75,29022.5,450.0
MNQ,1m,1788339000000,29023.0,29025.25,29017.25,29021.25,847.0
MNQ,1m,1788339060000,29020.0,29020.75,28997.25,29002.0,3232.0
MNQ,1m,1788339120000,29002.5,29003.0,28987.0,28988.5,1808.0
MNQ,1m,1788339180000,28988.5,28989.75,28966.5,28967.25,2072.0
