plan_id,version,session,label,price,grade,instruction
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,VWAP−1σ,29110.38445990343,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,ONL,29101.5,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,SWG-L·5m,29092.75,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,VWAP,29119.947115604296,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,OR-H,29125,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,SWG-L·5m,29086,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,VWAP+1σ,29129.509771305162,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,VWAP+2σ,29139.072427006024,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,OR-L,29062.75,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,ONH,29150.5,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,RTH-L,29354,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,ASIA,PDC,29473.25,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,VWAP+1σ,29129.817656473806,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,OR-H,29125,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,VWAP+2σ,29138.800562797758,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,VWAP,29120.834750149854,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,POC,29113.228125,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,ONH,29150.5,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,SWG-H·5m,29160.25,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,ONL,29101.5,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,SWG-L·5m,29086,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,OR-L,29062.75,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,RTH-L,29354,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,ASIA,PDC,29473.25,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,OR-L,29062.75,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,VWAP−2σ,29057.492701128256,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,VWAP−1σ,29085.164745716716,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,SWG-L·5m,29047.25,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,ONL,29044,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,SWG-L·15m,29101.5,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,VWAP,29112.836790305177,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,eVWAP,29117.550640875677,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,OR-H,29125,C,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,SWG-L·15m,29001.75,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,VWAP+1σ,29140.508834893637,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,ASIA,ONH,29171.25,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,SWG-L·5m,29086,A,monitor
2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,ASIA,VWAP−1σ,29080.928456787282,A,monitor
