era,buffer,min_r,n_touches,n_a,exp_a,pf_a,win_a,stop_a,target_a,flat_a,n_b,rate_b,exp_b,n_c,exp_c,r2_share,r2_exp_a
all,1 tick,0.5,11302,11302,0.6290,1.253,0.6540,0.267,0.732,0.001,3586,0.3173,-3.2909,11302,0.8790,0.0905,3.5146
all,1 tick,1,11302,11302,1.9996,1.652,0.6664,0.322,0.676,0.002,3586,0.3173,-2.5909,11302,2.2496,0.1201,3.5526
all,1 tick,1.5,11302,11302,2.8408,1.766,0.6129,0.385,0.612,0.002,3586,0.3173,-2.1423,11302,3.0908,0.2768,3.4781
all,1 tick,2,11302,11302,3.4095,1.796,0.5536,0.446,0.551,0.003,3586,0.3173,-1.8591,11302,3.6595,1.0000,3.4095
all,2 ticks,0.5,11302,11302,0.6744,1.268,0.6693,0.263,0.736,0.001,3586,0.3173,-3.3128,11302,0.9244,0.0825,3.6264
all,2 ticks,1,11302,11302,2.0734,1.658,0.6709,0.322,0.676,0.002,3586,0.3173,-2.5956,11302,2.3234,0.1104,3.5817
all,2 ticks,1.5,11302,11302,2.9185,1.762,0.6110,0.389,0.609,0.003,3586,0.3173,-2.1434,11302,3.1685,0.2623,3.5427
all,2 ticks,2,11302,11302,3.4662,1.780,0.5474,0.452,0.545,0.003,3586,0.3173,-1.8494,11302,3.7162,1.0000,3.4662
all,0.25×width,0.5,11302,11302,1.3053,1.448,0.7266,0.237,0.762,0.001,3586,0.3173,-3.4403,11302,1.5553,0.0401,3.6832
all,0.25×width,1,11302,11302,2.7999,1.671,0.6694,0.329,0.669,0.003,3586,0.3173,-2.6754,11302,3.0499,0.0566,3.4200
all,0.25×width,1.5,11302,11302,3.5328,1.665,0.5803,0.419,0.577,0.004,3586,0.3173,-2.3231,11302,3.7828,0.1778,3.8375
all,0.25×width,2,11302,11302,4.1105,1.667,0.5095,0.490,0.506,0.005,3586,0.3173,-2.0258,11302,4.3605,1.0000,4.1105
all,0.5×width,0.5,11302,11302,1.9553,1.549,0.7599,0.227,0.771,0.002,3586,0.3173,-3.3439,11302,2.2053,0.0217,1.3356
all,0.5×width,1,11302,11302,3.3338,1.598,0.6488,0.350,0.646,0.003,3586,0.3173,-2.6502,11302,3.5838,0.0323,1.6124
all,0.5×width,1.5,11302,11302,4.0798,1.572,0.5474,0.451,0.543,0.006,3586,0.3173,-2.3806,11302,4.3298,0.1193,4.5872
all,0.5×width,2,11302,11302,4.7662,1.582,0.4774,0.520,0.470,0.010,3586,0.3173,-1.6877,11302,5.0162,1.0000,4.7662
in_sample,1 tick,0.5,8639,8639,0.3920,1.179,0.6362,0.266,0.733,0.001,2709,0.3136,-3.0636,8639,0.6420,0.0875,2.7659
in_sample,1 tick,1,8639,8639,1.5942,1.589,0.6660,0.320,0.678,0.002,2709,0.3136,-2.5640,8639,1.8442,0.1168,2.7313
in_sample,1 tick,1.5,8639,8639,2.3705,1.719,0.6133,0.385,0.613,0.002,2709,0.3136,-2.1547,8639,2.6205,0.2729,2.8487
in_sample,1 tick,2,8639,8639,2.8583,1.749,0.5545,0.445,0.552,0.003,2709,0.3136,-1.9408,8639,3.1083,1.0000,2.8583
in_sample,2 ticks,0.5,8639,8639,0.4423,1.199,0.6546,0.261,0.738,0.001,2709,0.3136,-3.1039,8639,0.6923,0.0792,2.8483
in_sample,2 ticks,1,8639,8639,1.6557,1.592,0.6711,0.321,0.678,0.002,2709,0.3136,-2.6078,8639,1.9057,0.1064,2.8124
in_sample,2 ticks,1.5,8639,8639,2.4559,1.719,0.6115,0.388,0.609,0.003,2709,0.3136,-2.1725,8639,2.7059,0.2578,2.9277
in_sample,2 ticks,2,8639,8639,2.9100,1.731,0.5476,0.452,0.545,0.003,2709,0.3136,-1.9955,8639,3.1600,1.0000,2.9100
in_sample,0.25×width,0.5,8639,8639,0.9904,1.390,0.7167,0.237,0.762,0.002,2709,0.3136,-3.0966,8639,1.2404,0.0387,2.6039
