buffer,min_r,n,mean,se,stat,p_maxT,p_bonf,net_positive
1 tick,0.5,8639,0.3920,0.0772,5.0771,0.0000,0.0000,true
1 tick,1,8639,1.5942,0.1000,15.9387,0.0000,0.0000,true
1 tick,1.5,8639,2.3705,0.1232,19.2448,0.0000,0.0000,true
1 tick,2,8639,2.8583,0.1442,19.8271,0.0000,0.0000,true
2 ticks,0.5,8639,0.4423,0.0781,5.6619,0.0000,0.0000,true
2 ticks,1,8639,1.6557,0.1020,16.2352,0.0000,0.0000,true
2 ticks,1.5,8639,2.4559,0.1257,19.5372,0.0000,0.0000,true
2 ticks,2,8639,2.9100,0.1472,19.7652,0.0000,0.0000,true
0.25×width,0.5,8639,0.9904,0.0936,10.5838,0.0000,0.0000,true
0.25×width,1,8639,2.3207,0.1326,17.5077,0.0000,0.0000,true
0.25×width,1.5,8639,2.9635,0.1657,17.8859,0.0000,0.0000,true
0.25×width,2,8639,3.5570,0.1971,18.0452,0.0000,0.0000,true
0.5×width,0.5,8639,1.5595,0.1152,13.5417,0.0000,0.0000,true
0.5×width,1,8639,2.6914,0.1679,16.0262,0.0000,0.0000,true
0.5×width,1.5,8639,3.4766,0.2134,16.2927,0.0000,0.0000,true
0.5×width,2,8639,4.2082,0.2536,16.5953,0.0000,0.0000,true
