k,merge,cap,stop_mult,horizon,n,mean,se,stat,p_maxT,p_bonf,net_positive
0.25,0.25,2,1,,8912,-1.6274,0.0815,19.9597,0.0000,0.0000,false
0.25,0.25,2,1.5,,8912,-1.4957,0.0965,15.5027,0.0000,0.0000,false
0.25,0.25,2,2,,8912,-1.4209,0.1088,13.0547,0.0000,0.0000,false
0.25,0.25,3,1,,9101,-1.6154,0.0810,19.9482,0.0000,0.0000,false
0.25,0.25,3,1.5,,9101,-1.4751,0.0957,15.4062,0.0000,0.0000,false
0.25,0.25,3,2,,9101,-1.3911,0.1080,12.8842,0.0000,0.0000,false
0.25,0.25,5,1,,9101,-1.6154,0.0810,19.9482,0.0000,0.0000,false
0.25,0.25,5,1.5,,9101,-1.4751,0.0957,15.4062,0.0000,0.0000,false
0.25,0.25,5,2,,9101,-1.3911,0.1080,12.8842,0.0000,0.0000,false
0.25,0.5,2,1,,8295,-1.0320,0.0943,10.9477,0.0000,0.0000,false
0.25,0.5,2,1.5,,8295,-0.9274,0.1104,8.4011,0.0000,0.0000,false
0.25,0.5,2,2,,8295,-0.8474,0.1247,6.7970,0.0000,0.0000,false
0.25,0.5,3,1,,8662,-1.0359,0.0943,10.9904,0.0000,0.0000,false
0.25,0.5,3,1.5,,8662,-0.9115,0.1108,8.2265,0.0000,0.0000,false
0.25,0.5,3,2,,8662,-0.8241,0.1257,6.5573,0.0000,0.0000,false
0.25,0.5,5,1,,8664,-1.0374,0.0943,11.0062,0.0000,0.0000,false
0.25,0.5,5,1.5,,8664,-0.9137,0.1108,8.2468,0.0000,0.0000,false
0.25,0.5,5,2,,8664,-0.8272,0.1257,6.5813,0.0000,0.0000,false
0.25,1,2,1,,8224,-0.7876,0.0968,8.1333,0.0000,0.0000,false
0.25,1,2,1.5,,8224,-0.7372,0.1120,6.5851,0.0000,0.0000,false
0.25,1,2,2,,8224,-0.7179,0.1268,5.6600,0.0000,0.0000,false
0.25,1,3,1,,8583,-0.8107,0.0967,8.3840,0.0000,0.0000,false
0.25,1,3,1.5,,8583,-0.7269,0.1120,6.4918,0.0000,0.0000,false
0.25,1,3,2,,8583,-0.6606,0.1260,5.2430,0.0000,0.0000,false
0.25,1,5,1,,8584,-0.8110,0.0967,8.3877,0.0000,0.0000,false
0.25,1,5,1.5,,8584,-0.7275,0.1120,6.4971,0.0000,0.0000,false
0.25,1,5,2,,8584,-0.6615,0.1260,5.2495,0.0000,0.0000,false
0.5,0.25,2,1,,8877,-1.5353,0.0800,19.1870,0.0000,0.0000,false
0.5,0.25,2,1.5,,8877,-1.4304,0.0955,14.9785,0.0000,0.0000,false
0.5,0.25,2,2,,8877,-1.3655,0.1079,12.6553,0.0000,0.0000,false
0.5,0.25,3,1,,9063,-1.5193,0.0795,19.1112,0.0000,0.0000,false
0.5,0.25,3,1.5,,9063,-1.4031,0.0947,14.8113,0.0000,0.0000,false
0.5,0.25,3,2,,9063,-1.3292,0.1070,12.4272,0.0000,0.0000,false
0.5,0.25,5,1,,9063,-1.5193,0.0795,19.1112,0.0000,0.0000,false
0.5,0.25,5,1.5,,9063,-1.4031,0.0947,14.8113,0.0000,0.0000,false
0.5,0.25,5,2,,9063,-1.3292,0.1070,12.4272,0.0000,0.0000,false
0.5,0.5,2,1,,8317,-0.9941,0.0921,10.7913,0.0000,0.0000,false
0.5,0.5,2,1.5,,8317,-0.8931,0.1070,8.3435,0.0000,0.0000,false
0.5,0.5,2,2,,8317,-0.8170,0.1203,6.7908,0.0000,0.0000,false
0.5,0.5,3,1,,8639,-0.9599,0.0921,10.4270,0.0000,0.0000,false
0.5,0.5,3,1.5,,8639,-0.8431,0.1073,7.8613,0.0000,0.0000,false
0.5,0.5,3,2,,8639,-0.7601,0.1212,6.2697,0.0000,0.0000,false
0.5,0.5,5,1,,8640,-0.9622,0.0921,10.4523,0.0000,0.0000,false
0.5,0.5,5,1.5,,8640,-0.8463,0.1073,7.8899,0.0000,0.0000,false
0.5,0.5,5,2,,8640,-0.7641,0.1213,6.3012,0.0000,0.0000,false
0.5,1,2,1,,8254,-0.7745,0.0940,8.2416,0.0000,0.0000,false
0.5,1,2,1.5,,8254,-0.7072,0.1083,6.5290,0.0000,0.0000,false
0.5,1,2,2,,8254,-0.6370,0.1211,5.2582,0.0000,0.0000,false
0.5,1,3,1,,8585,-0.7819,0.0935,8.3619,0.0000,0.0000,false
0.5,1,3,1.5,,8585,-0.7212,0.1087,6.6373,0.0000,0.0000,false
0.5,1,3,2,,8585,-0.6417,0.1223,5.2453,0.0000,0.0000,false
0.5,1,5,1,,8585,-0.7832,0.0935,8.3745,0.0000,0.0000,false
0.5,1,5,1.5,,8585,-0.7227,0.1087,6.6501,0.0000,0.0000,false
0.5,1,5,2,,8585,-0.6434,0.1224,5.2585,0.0000,0.0000,false
1,0.25,2,1,,8125,-1.7618,0.0848,20.7781,0.0000,0.0000,false
1,0.25,2,1.5,,8125,-1.6584,0.1014,16.3579,0.0000,0.0000,false
1,0.25,2,2,,8125,-1.6306,0.1161,14.0393,0.0000,0.0000,false
1,0.25,3,1,,8202,-1.7382,0.0843,20.6289,0.0000,0.0000,false
1,0.25,3,1.5,,8202,-1.6282,0.1005,16.1932,0.0000,0.0000,false
1,0.25,3,2,,8202,-1.5989,0.1151,13.8901,0.0000,0.0000,false
1,0.25,5,1,,8202,-1.7382,0.0843,20.6289,0.0000,0.0000,false
1,0.25,5,1.5,,8202,-1.6282,0.1005,16.1932,0.0000,0.0000,false
1,0.25,5,2,,8202,-1.5989,0.1151,13.8901,0.0000,0.0000,false
1,0.5,2,1,,7618,-1.2977,0.0938,13.8405,0.0000,0.0000,false
1,0.5,2,1.5,,7618,-1.2211,0.1112,10.9766,0.0000,0.0000,false
1,0.5,2,2,,7618,-1.1383,0.1258,9.0463,0.0000,0.0000,false
1,0.5,3,1,,7731,-1.2675,0.0927,13.6668,0.0000,0.0000,false
1,0.5,3,1.5,,7731,-1.1897,0.1099,10.8270,0.0000,0.0000,false
1,0.5,3,2,,7731,-1.1035,0.1242,8.8867,0.0000,0.0000,false
1,0.5,5,1,,7733,-1.2664,0.0927,13.6579,0.0000,0.0000,false
1,0.5,5,1.5,,7733,-1.1886,0.1099,10.8197,0.0000,0.0000,false
1,0.5,5,2,,7733,-1.1024,0.1241,8.8803,0.0000,0.0000,false
1,1,2,1,,7550,-1.1595,0.0936,12.3892,0.0000,0.0000,false
1,1,2,1.5,,7550,-1.0700,0.1086,9.8551,0.0000,0.0000,false
1,1,2,2,,7550,-1.0651,0.1244,8.5608,0.0000,0.0000,false
1,1,3,1,,7654,-1.1134,0.0927,12.0166,0.0000,0.0000,false
