k,merge,cap,stop_mult,horizon,n,mean,se,stat,p_maxT,p_bonf,net_positive
0.25,0.25,2,0,12@1m,8658,0.7111,0.0049,0.0202,0.0085,0.6885,false
0.25,0.25,2,0,10@5m,8295,0.6363,0.0053,0.0145,0.3375,1.0000,false
0.25,0.25,2,0,20@5m,8361,0.6340,0.0053,0.0143,0.3670,1.0000,false
0.25,0.25,3,0,12@1m,8843,0.7090,0.0048,0.0223,0.0015,0.1215,false
0.25,0.25,3,0,10@5m,8475,0.6362,0.0052,0.0146,0.3280,1.0000,false
0.25,0.25,3,0,20@5m,8544,0.6341,0.0052,0.0142,0.3885,1.0000,false
0.25,0.25,5,0,12@1m,8843,0.7090,0.0048,0.0223,0.0015,0.1215,false
0.25,0.25,5,0,10@5m,8475,0.6362,0.0052,0.0146,0.3280,1.0000,false
0.25,0.25,5,0,20@5m,8544,0.6341,0.0052,0.0142,0.3885,1.0000,false
0.25,0.5,2,0,12@1m,8028,0.7344,0.0049,0.0031,1.0000,1.0000,false
0.25,0.5,2,0,10@5m,7725,0.6506,0.0054,0.0002,1.0000,1.0000,false
0.25,0.5,2,0,20@5m,7804,0.6483,0.0054,0.0001,1.0000,1.0000,false
0.25,0.5,3,0,12@1m,8392,0.7364,0.0048,0.0051,1.0000,1.0000,false
0.25,0.5,3,0,10@5m,8080,0.6521,0.0053,0.0013,1.0000,1.0000,false
0.25,0.5,3,0,20@5m,8161,0.6499,0.0053,0.0016,1.0000,1.0000,false
0.25,0.5,5,0,12@1m,8395,0.7363,0.0048,0.0049,1.0000,1.0000,false
0.25,0.5,5,0,10@5m,8082,0.6521,0.0053,0.0013,1.0000,1.0000,false
0.25,0.5,5,0,20@5m,8163,0.6499,0.0053,0.0016,1.0000,1.0000,false
0.25,1,2,0,12@1m,7940,0.7456,0.0049,0.0142,0.3760,1.0000,false
0.25,1,2,0,10@5m,7665,0.6571,0.0054,0.0064,1.0000,1.0000,false
0.25,1,2,0,20@5m,7748,0.6545,0.0054,0.0062,1.0000,1.0000,false
